Restaurant,Latitude,Longitude,Address,PlaceID,URL,AverageExposure,Stars,ZIP,Count,White,ofWhite,WN,Black,ofBlack,BN,AmericanIndaian,ofAI,AIN,Asian,ofAisan,AN,NativeHawiian,ofNativeHawiian,NHN,Edu,ofEDU,HED,Unemployment,HUne,Wealth,HWe,Attraction,Hotspot
Southside Bistro,61.1097545,-149.8575437,"1320 Huffman Park Dr, Anchorage, AK 99515, United States",ChIJGRTkk5qZyFYRBhIaNXe6448,/biz/southside-bistro-anchorage-2?osq=Restaurants,0.15744722860405,4.2,99577,32,22970,84,1,425,1.6,0,638,2.3,0,588,2.2,0,175,0.6,0,1801,39,1,3.5,1,111388,1,1,0
Blaine's Kitchen,61.1796658,-149.8562609,"1436 E Tudor Rd, Anchorage, AK 99507, United States",ChIJIzzLpQWXyFYRPCb8lDgEr6A,/biz/blaines-kitchen-anchorage?osq=Restaurants,0.038249993003196,3,99501,77,9223,57.8,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,0
Bread and Brew Alaska,61.180326,-149.8535783,"1450 E Tudor Rd STE 100, Anchorage, AK 99507, United States",ChIJv_WokqOXyFYR2JBEcmv78To,/biz/bread-and-brew-alaska-anchorage?osq=Restaurants,0.19262954365029,4,99507,46,20110,55.2,0,1159,3.2,0,3042,8.4,1,6913,19,1,623,1.7,0,2127,30.2,0,4.7,1,88485,0,1,0
TaTu BBQ,61.0982203387752,-149.850767044854,"13500 Old Seward Hwy, Anchorage, AK 99515, United States",ChIJn7uZ5RIhnlQRfwM9QNSaksU,/biz/tatu-bbq-anchorage?osq=Restaurants,0.0169584769027015,3.8,99577,32,22970,84,1,425,1.6,0,638,2.3,0,588,2.2,0,175,0.6,0,1801,39,1,3.5,1,111388,1,1,0
Davons' Place House of Soul,61.0980399,-149.8505007,"13500 Old Seward Hwy, Anchorage, AK 99515, United States",ChIJY7goQ5GZyFYRLSPCUWDSodc,/biz/davons-place-house-of-soul-anchorage?osq=Restaurants,0.008507733552156,3.7,99503,121,6167,47.4,0,1429,11,1,1206,9.3,1,1859,14.3,1,155,1.2,0,990,36.1,0,7.9,1,63338,0,0,0
Long Branch Saloon,61.1451017,-149.8493037,"1737 E Dimond Blvd, Anchorage, AK 99507, United States",ChIJz9sF59iZyFYRVfNRaIMlr60,/biz/long-branch-saloon-anchorage?osq=Restaurants,0.119554639093409,3.8,99508,30,15722,41.3,0,3106,8.2,1,5326,14,1,5151,13.5,1,2930,7.7,1,1605,25.3,0,6.5,1,65430,0,1,0
Seward's Folly Bar & Grill,61.1407056,-149.8466362,"1811 Abbott Rd, Anchorage, AK 99507, United States",ChIJcZK6gt6ZyFYRQzE1qsaXOzg,/biz/sewards-folly-bar-and-grill-anchorage?osq=Restaurants,0.112984393456824,4.9,99503,121,6167,47.4,0,1429,11,1,1206,9.3,1,1859,14.3,1,155,1.2,0,990,36.1,0,7.9,1,63338,0,0,0
Rice Garden Anchorage,61.2183732,-149.8459737,"400 Sitka St, Anchorage, AK 99501, United States",ChIJRfpiZc-XyFYR0QJDIIz28Uc,/biz/rice-garden-anchorage-anchorage-2?osq=Restaurants,0.159454071803167,4.4,99501,77,9223,57.8,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,0
Los Arcos,61.1661773,-149.8453373,"2000 E Dowling Rd, Anchorage, AK 99507, United States",ChIJT8ImqXaXyFYRLWdq7ti3B0A,/biz/los-arcos-anchorage?osq=Restaurants,0.063692395926738,3.8,99504,62,21807,52.2,0,4213,10.1,1,2973,7.1,0,4912,11.8,1,1703,4.1,1,1965,27.5,0,5.4,1,75956,0,0,0
Lahn Pad Thai,61.138298,-149.843428,"2101 Abbott Rd #7, Anchorage, AK 99507, United States",ChIJAbZO2d2ZyFYRhdcoNtCeVjg,/biz/lahn-pad-thai-anchorage?osq=Restaurants,0.118583413694322,4,99507,46,20110,55.2,0,1159,3.2,0,3042,8.4,1,6913,19,1,623,1.7,0,2127,30.2,0,4.7,1,88485,0,1,0
Turkish Delight,61.19512,-149.83975,"2210 E Northern Lights Blvd, Ste 110, Anchorage, AK 99508",-,/biz/turkish-delight-anchorage?osq=Restaurants,0.214489654003144,4.6,99508,30,15722,41.3,0,3106,8.2,1,5326,14,1,5151,13.5,1,2930,7.7,1,1605,25.3,0,6.5,1,65430,0,1,0
Little Italy Restaurante,61.140744,-149.8391631,"2300 E 88th Ave, Anchorage, AK 99507, United States",ChIJwc9KId6ZyFYReCk9hR2v8vg,/biz/little-italy-restaurante-anchorage?osq=Restaurants,0.154039478933012,3.8,99503,121,6167,47.4,0,1429,11,1,1206,9.3,1,1859,14.3,1,155,1.2,0,990,36.1,0,7.9,1,63338,0,0,0
Golden Donuts,61.181058,-149.8391475,"2213 E Tudor Rd, Anchorage, AK 99508, United States",ChIJGSrE4qaXyFYRpAJ3koWm05M,/biz/golden-donuts-anchorage?osq=Restaurants,0.100860375101456,3.3,99577,32,22970,84,1,425,1.6,0,638,2.3,0,588,2.2,0,175,0.6,0,1801,39,1,3.5,1,111388,1,1,0
Thai Orchid,61.1672431,-149.8376657,"5905 Lake Otis Pkwy A, Anchorage, AK 99507, United States",ChIJEeVnwNKZyFYR7NuQG_qjjmk,/biz/thai-orchid-anchorage-2?osq=Restaurants,0.131183083452581,4,99515,80,15252,68.6,1,471,2.1,0,1002,4.5,0,1635,7.4,0,711,3.2,1,1098,39,1,4,1,106755,1,0,0
Josie's Bakery,61.1672464,-149.8364348,"5915 Lake Otis Pkwy #5, Anchorage, AK 99507, United States",ChIJ461nGqSXyFYRNlNzE7wlkMo,/biz/josie-s-bakery-anchorage?osq=Restaurants,0.148152290544219,5,99515,80,15252,68.6,1,471,2.1,0,1002,4.5,0,1635,7.4,0,711,3.2,1,1098,39,1,4,1,106755,1,0,0
Lalo's Pizza Take Out,61.1672331,-149.8363495,"5915 Lake Otis Pkwy # 6, Anchorage, AK 99507, United States",ChIJ4b1VBnOXyFYRhF6GC-m-34U,/biz/lalos-pizza-take-out-anchorage?osq=Restaurants,0.116660603598376,4.6,99515,80,15252,68.6,1,471,2.1,0,1002,4.5,0,1635,7.4,0,711,3.2,1,1098,39,1,4,1,106755,1,0,0
Namaste Shangri-La,61.1802475,-149.8357509,"2446 E Tudor Rd, Anchorage, AK 99507, United States",ChIJzU1jJgiXyFYRzpfqkRoyNMo,/biz/namaste-shangri-la-anchorage?osq=Restaurants,0.146555210740995,4,99507,46,20110,55.2,0,1159,3.2,0,3042,8.4,1,6913,19,1,623,1.7,0,2127,30.2,0,4.7,1,88485,0,1,0
Ichiban Japanese Restaurant,61.1802886,-149.8349665,"2488 E Tudor Rd, Anchorage, AK 99507, United States",ChIJLfokOwiXyFYResER49NEM9w,/biz/ichiban-japanese-restaurant-anchorage?osq=Restaurants,0.110286300419007,3.5,99503,121,6167,47.4,0,1429,11,1,1206,9.3,1,1859,14.3,1,155,1.2,0,990,36.1,0,7.9,1,63338,0,0,0
Mo's Deli and Catering,61.1363878,-149.8348514,"9220 Lake Otis Pkwy, Anchorage, AK 99507, United States",ChIJjyLZZAuZyFYRTtqq7ADKLpw,/biz/mos-deli-and-catering-anchorage?osq=Restaurants,0.0297312215762437,4.3,99515,80,15252,68.6,1,471,2.1,0,1002,4.5,0,1635,7.4,0,711,3.2,1,1098,39,1,4,1,106755,1,0,0
Lucy's,61.1901131,-149.8322363,"Cuddy Hall, 3400, Seawolf Dr, Anchorage, AK 99508, United States",ChIJgf_1DQCXyFYRKhIMIvHaw6E,/biz/lucys-anchorage?osq=Restaurants,0.130291551026382,4.7,99577,32,22970,84,1,425,1.6,0,638,2.3,0,588,2.2,0,175,0.6,0,1801,39,1,3.5,1,111388,1,1,0
MVP Sports Deli & Eatery,61.1806016,-149.8285731,"2808 E Tudor Rd, Anchorage, AK 99507, United States",ChIJSV6taUeXyFYRi2dPlg71wkg,/biz/mvp-sports-deli-and-eatery-anchorage?osq=Restaurants,0.12976028884604,4.5,99504,62,21807,52.2,0,4213,10.1,1,2973,7.1,0,4912,11.8,1,1703,4.1,1,1965,27.5,0,5.4,1,75956,0,0,0
Ghost Kitchen,61.1804684,-149.8277557,"2844 E Tudor Rd, Anchorage, AK 99507, United States",ChIJN6-icfGXyFYRjQytBrr16bU,/biz/ghost-kitchen-anchorage?osq=Restaurants,0.107297407484152,3.3,99503,121,6167,47.4,0,1429,11,1,1206,9.3,1,1859,14.3,1,155,1.2,0,990,36.1,0,7.9,1,63338,0,0,0
Spinz Pollo A La Brasa,61.2194904,-149.8229577,"3024 Mountain View Dr #108, Anchorage, AK 99501, United States",ChIJtcnxcP2XyFYRbufmn6pI-p4,/biz/spinz-pollo-a-la-brasa-anchorage?osq=Restaurants,0.158773004232116,4,99501,77,9223,57.8,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,0
Waffle Rush,61.2201592,-149.8203804,"3048 Mountain View Dr #101, Anchorage, AK 99508, United States",ChIJr4FnKpKWyFYRPKG6fLR2G_o,/biz/waffle-rush-anchorage-4?osq=Restaurants,0.153446356258913,4.3,99517,17,10461,66.2,1,581,3.7,0,1160,7.3,1,1605,10.2,1,259,1.6,0,1255,47.1,1,6.4,1,82619,0,1,0
Xalos Mexican Grill,61.2201638,-149.818739,"3048 Mountain View Dr #140, Anchorage, AK 99501, United States",ChIJS6p1l2mWyFYR4RS11-VzsBw,/biz/xalos-mexican-grill-anchorage?osq=Restaurants,0.077141528471224,4,99515,80,15252,68.6,1,471,2.1,0,1002,4.5,0,1635,7.4,0,711,3.2,1,1098,39,1,4,1,106755,1,0,0
Kriner's Burgers & Pies,61.220445,-149.8183209,"3074 Mountain View Dr #151, Anchorage, AK 99508, United States",ChIJX4jHn2mWyFYRwLWB2MY7G7M,/biz/kriners-burgers-and-pies-anchorage?osq=Restaurants,0.0423984003229277,3.8,99515,80,15252,68.6,1,471,2.1,0,1002,4.5,0,1635,7.4,0,711,3.2,1,1098,39,1,4,1,106755,1,0,0
Thai Kitchen,61.1816621,-149.8162067,"3421 E Tudor Rd #A, Anchorage, AK 99507, United States",ChIJ1SlSpAWXyFYRzNU9f-q9qTU,/biz/thai-kitchen-anchorage?osq=Restaurants,0.025612924244963,3.4,99507,46,20110,55.2,0,1159,3.2,0,3042,8.4,1,6913,19,1,623,1.7,0,2127,30.2,0,4.7,1,88485,0,1,0
Golden Gate Restaurant,61.1816662,-149.8146538,"3471 E Tudor Rd, Anchorage, AK 99507, United States",ChIJK4CRBgWXyFYR4P0cuzSvZvs,/biz/golden-gate-restaurant-anchorage?osq=Restaurants,0.125160204174997,3.7,99517,17,10461,66.2,1,581,3.7,0,1160,7.3,1,1605,10.2,1,259,1.6,0,1255,47.1,1,6.4,1,82619,0,1,0
Varsity Sports Grill,61.1884394,-149.8139897,"3550 Providence Dr, Anchorage, AK 99508, United States",ChIJc5S9kwGXyFYRQZbwURxofcc,/biz/varsity-sports-grill-anchorage-2?osq=Restaurants,0.0168920413559437,2.2,99515,80,15252,68.6,1,471,2.1,0,1002,4.5,0,1635,7.4,0,711,3.2,1,1098,39,1,4,1,106755,1,0,0
Napoli's Pizza,61.2071716,-149.8076938,"1565 Bragaw St STE 101, Anchorage, AK 99508, United States",ChIJcRi-HlmWyFYR8u_zbe7Qaxo,/biz/napolis-pizza-anchorage?osq=Restaurants,0.0084674018624224,3.9,99501,77,9223,57.8,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,0
West Berlin,61.2243227,-149.8029845,"4133 Mountain View Dr, Anchorage, AK 99508, United States",ChIJTScliG-WyFYR6htENC7i8kI,/biz/west-berlin-anchorage?osq=Restaurants,0.159073885305492,4.2,99508,30,15722,41.3,0,3106,8.2,1,5326,14,1,5151,13.5,1,2930,7.7,1,1605,25.3,0,6.5,1,65430,0,1,0
Hula Hands Restaurant 4630,61.2259616,-149.7938753,"4630 Mountain View Dr, Anchorage, AK 99508, United States",ChIJdRPcH3uWyFYRRixZuaLrv5A,/biz/hula-hands-restaurant-4630-anchorage?osq=Restaurants,0.135804262351039,4.1,99503,121,6167,47.4,0,1429,11,1,1206,9.3,1,1859,14.3,1,155,1.2,0,990,36.1,0,7.9,1,63338,0,0,0
Meraki Hellenic Grill,61.2213762,-149.7792466,"360 Boniface Pkwy, Anchorage, AK 99504, United States",ChIJk90N6YnryFYR0jcracPcOZg,/biz/meraki-hellenic-grill-anchorage-3?osq=Restaurants,0.185946626282898,4.7,99504,62,21807,52.2,0,4213,10.1,1,2973,7.1,0,4912,11.8,1,1703,4.1,1,1965,27.5,0,5.4,1,75956,0,0,0
Smokehouse BBQ,61.2092802,-149.7780386,"5500 DeBarr Rd, Anchorage, AK 99504, United States",ChIJ4bIz5IyWyFYRl_g5Ocv82hE,/biz/smokehouse-bbq-anchorage-3?osq=Restaurants,0.100719737470743,4.8,99503,121,6167,47.4,0,1429,11,1,1206,9.3,1,1859,14.3,1,155,1.2,0,990,36.1,0,7.9,1,63338,0,0,0
Tropical Latin Food,61.2212348,-149.7777421,"341 Boniface Pkwy, Anchorage, AK 99504, United States",ChIJE6ZI4YeWyFYR6pORWouMLOg,/biz/tropical-latin-food-anchorage?osq=Restaurants,0.0637233114588543,3.6,99577,32,22970,84,1,425,1.6,0,638,2.3,0,588,2.2,0,175,0.6,0,1801,39,1,3.5,1,111388,1,1,0
Charleys Cheesesteaks,61.2358293,-149.7663437,"Joint Military Mall, 5800 Westover Ave, Elmendorf AFB, AK 99506, United States",ChIJT2zJ6NSVyFYRvMQcG1A83Zk,/biz/charleys-philly-steaks-anchorage-3?osq=Restaurants,0.0982817678814087,4.8,99503,121,6167,47.4,0,1429,11,1,1206,9.3,1,1859,14.3,1,155,1.2,0,990,36.1,0,7.9,1,63338,0,0,0
Cafecito Bonito,61.2100641,-149.7631398,"6307 DeBarr Rd A, Anchorage, AK 99504, United States",ChIJ5SNNaRSXyFYRmyLOzn6YZnQ,/biz/cafecito-bonito-anchorage?osq=Restaurants,0.064977682404333,3.4,99507,46,20110,55.2,0,1159,3.2,0,3042,8.4,1,6913,19,1,623,1.7,0,2127,30.2,0,4.7,1,88485,0,1,0
The Hott Spot,61.2104955,-149.7626081,"6311 DeBarr Rd F, Anchorage, AK 99504, United States",ChIJRwKXL_aXyFYRUMDLC_fK4WQ,/biz/the-hott-spot-anchorage-2?osq=Restaurants,0.239019137577396,4.4,99504,62,21807,52.2,0,4213,10.1,1,2973,7.1,0,4912,11.8,1,1703,4.1,1,1965,27.5,0,5.4,1,75956,0,0,0
Ryuu Bowl,61.2286525,-149.7423992,"1142 N Muldoon Rd #120, Anchorage, AK 99504, United States",ChIJgYuJVNCVyFYRKHxYnVYZ5fk,/biz/ryuu-bowl-anchorage-2?osq=Restaurants,0.114312043299573,4.1,99503,121,6167,47.4,0,1429,11,1,1206,9.3,1,1859,14.3,1,155,1.2,0,990,36.1,0,7.9,1,63338,0,0,0
Raising Cane's Chicken Fingers,61.229949,-149.741059,"1172 N Muldoon Rd J, Anchorage, AK 99504, United States",ChIJzxketmeVyFYRCyABUMBoi08,/biz/raising-canes-chicken-fingers-anchorage-2?osq=Restaurants,0.0337682046406197,3.5,99507,46,20110,55.2,0,1159,3.2,0,3042,8.4,1,6913,19,1,623,1.7,0,2127,30.2,0,4.7,1,88485,0,1,0
Texas Roadhouse,61.22955,-149.7409001,"1154 N Muldoon Rd, Anchorage, AK 99504, United States",ChIJY95WvSeUyFYR9-HamI4_-UQ,/biz/texas-roadhouse-anchorage-8?osq=Restaurants,0.123439799761313,3.5,99504,62,21807,52.2,0,4213,10.1,1,2973,7.1,0,4912,11.8,1,1703,4.1,1,1965,27.5,0,5.4,1,75956,0,0,0
Top Bop - Muldoon,61.2218343,-149.7351549,"220 Muldoon Rd, Anchorage, AK 99504, United States",ChIJn2ruOp6WyFYRzccnd8-jcDA,/biz/top-bop-muldoon-anchorage-6?osq=Restaurants,0.122316724072138,3.4,99515,80,15252,68.6,1,471,2.1,0,1002,4.5,0,1635,7.4,0,711,3.2,1,1098,39,1,4,1,106755,1,0,0
Kava's Pancake House,61.2239794,-149.7346597,"100 Muldoon Rd, Anchorage, AK 99504, United States",ChIJb718vSCUyFYReCZrpl7CBvE,/biz/kavas-pancake-house-anchorage-2?osq=Restaurants,0.0253592335844613,3.8,99501,77,9223,57.8,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,0
Waffles and Whatnot,61.218058,-149.7341934,"500 Muldoon Rd #5, Anchorage, AK 99504, United States",ChIJawFM3gSXyFYR9yyQGlitmxQ,/biz/waffles-and-whatnot-anchorage-5?osq=Restaurants,0.144841947392973,4.2,99508,30,15722,41.3,0,3106,8.2,1,5326,14,1,5151,13.5,1,2930,7.7,1,1605,25.3,0,6.5,1,65430,0,1,0
Ronnie 2,61.2139402,-149.7341088,"924 Muldoon Rd, Anchorage, AK 99504, United States",ChIJxcDwQqKWyFYRIkTmj-QO59A,/biz/ronnie-2-anchorage?osq=Restaurants,0.042489069752138,3.9,99515,80,15252,68.6,1,471,2.1,0,1002,4.5,0,1635,7.4,0,711,3.2,1,1098,39,1,4,1,106755,1,0,0
Oriental Garden,61.2154329,-149.734088,"720 Muldoon Rd, Anchorage, AK 99504, United States",ChIJFSaWGqKWyFYRh8umWl-ThJ8,/biz/oriental-garden-anchorage?osq=Restaurants,0.139229112540668,3.9,99501,77,9223,57.8,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,0
Mr. Darryl's Southern BBQ,61.210513,-149.7323432,"1241 Muldoon Rd, Anchorage, AK 99504, United States",ChIJ6XGuQKOWyFYRfSfUAG6e1sw,/biz/mr-darryls-southern-bbq-anchorage?osq=Restaurants,0.110732605338047,4.5,99503,121,6167,47.4,0,1429,11,1,1206,9.3,1,1859,14.3,1,155,1.2,0,990,36.1,0,7.9,1,63338,0,0,0
Eagle River Fried Rice Express,61.3302008,-149.5706949,"12110 Business Blvd #2, Eagle River, AK 99577, United States",ChIJUyKUcUnryFYRxNunV7ra_dE,/biz/eagle-river-fried-rice-express-anchorage?osq=Restaurants,0.0042189463692342,3.9,99517,17,10461,66.2,1,581,3.7,0,1160,7.3,1,1605,10.2,1,259,1.6,0,1255,47.1,1,6.4,1,82619,0,1,0
Mike's Quality Meats,61.3302233,-149.57013,"12110 Business Blvd, Eagle River, AK 99577, United States",ChIJw98zg3PryFYRyqhoX9xyjps,/biz/mikes-quality-meats-eagle-river?osq=Restaurants,0.0558733801493923,4,99515,80,15252,68.6,1,471,2.1,0,1002,4.5,0,1635,7.4,0,711,3.2,1,1098,39,1,4,1,106755,1,0,0
Da J3rk Spot,61.3302266,-149.5694881,"12110 Business Blvd, Eagle River, AK 99577, United States",ChIJgwdL1-PryFYRo1xS3yxQDls,/biz/da-j3rk-spot-eagle-river?osq=Restaurants,0.168059573623022,4.5,99518,22,6234,58.1,0,259,2.4,0,553,5.2,0,1298,12.1,1,192,1.8,0,587,21.2,0,3,0,84045,0,1,0
EL Pastor,61.3318263,-149.5684545,"12300 Old Glenn Hwy, Eagle River, AK 99577, United States",ChIJe1SlBe7ryFYRwyPA7yFyNRk,/biz/el-pastor-eagle-river?osq=Restaurants,0.145687600046913,4.4,99515,80,15252,68.6,1,471,2.1,0,1002,4.5,0,1635,7.4,0,711,3.2,1,1098,39,1,4,1,106755,1,0,0
Lexie's Cafe,61.3283641,-149.5682486,"11925 Old Glenn Hwy, Eagle River, AK 99577, United States",ChIJrZSvtPvryFYRM3U3DB5yzX4,/biz/lexie-s-cafe-eagle-river?osq=Restaurants,0.0481151771714033,4.5,99515,80,15252,68.6,1,471,2.1,0,1002,4.5,0,1635,7.4,0,711,3.2,1,1098,39,1,4,1,106755,1,0,0
Pete's Barbecue,61.3322323,-149.5650619,"12349 Old Glenn Hwy, Eagle River, AK 99577, United States",ChIJT51vNXTryFYRZObY_Tv6LlQ,/biz/petes-barbecue-eagle-river?osq=Restaurants,0.127100894370086,4.1,99501,77,9223,57.8,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,0
Tinker's Rainforest Deli,61.335569,-149.5642244,"12812 Old Glenn Hwy # A-6, Eagle River, AK 99577, United States",ChIJO3kcYHXryFYRUKiBCa1mBfM,/biz/tinkers-rainforest-deli-eagle-river?osq=Restaurants,0.123781331552418,4.4,99503,121,6167,47.4,0,1429,11,1,1206,9.3,1,1859,14.3,1,155,1.2,0,990,36.1,0,7.9,1,63338,0,0,0
Corks & Hops,61.3341264,-149.5635497,"12551 Old Glenn Hwy Unit A, Eagle River, AK 99577, United States",ChIJY2uO51XtyFYR_ZpbLsnUVhk,/biz/corks-and-hops-anchorage?osq=Restaurants,0.157334518115121,4,99503,121,6167,47.4,0,1429,11,1,1206,9.3,1,1859,14.3,1,155,1.2,0,990,36.1,0,7.9,1,63338,0,0,0
Pomodoro Restaurant,61.3364759,-149.5617365,"12801 Old Glenn Hwy, Eagle River, AK 99577, United States",ChIJNZta4STryFYR3MZWLgvLot8,/biz/pomodoro-restaurant-eagle-river?osq=Restaurants,0.143452885556441,3.8,99501,77,9223,57.8,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,0
El Senor Moose,61.3132846294356,-149.550250214713,"Eagle river, AK 99577, United States",ChIJlVsbE45PMlERih-F5qxtzTc,/biz/el-senor-moose-eagle-river?osq=Restaurants,0.132726201245215,4.3,99504,62,21807,52.2,0,4213,10.1,1,2973,7.1,0,4912,11.8,1,1703,4.1,1,1965,27.5,0,5.4,1,75956,0,0,0
Birch & Alder,60.9875187,-149.5168105,"27635 Seward Hwy, Anchorage, AK 99540, United States",ChIJ5Q9SgbaHyFYRvc4RF1WxE8U,/biz/birch-and-alder-anchorage?osq=Restaurants,0.300275751106455,4.8,99540,4,282,93.7,1,10,3.3,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,80938,0,1,0
Brown Bear Saloon & Hotel,60.9857177,-149.4979858,"28065 Seward Hwy, Indian, AK 99540, United States",ChIJyXPNq1yHyFYRRLlCC8w1zR8,/biz/brown-bear-saloon-and-hotel-anchorage?osq=Restaurants,0.17865618356201,4.3,99540,4,282,93.7,1,10,3.3,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,80938,0,1,0