Name_x,URL,ZIP,Avg. Exposure,Stars,Latitude,Longitude,Address,Place-ID,White,ofWhite,Black,ofBlack,AmericanIndaian,ofAI,Asian,ofAisan,NativeHawiian,ofNativeHawiian,Edu,ofEDU,Unemployment,Wealth,Attractions,Hotspot
Poesia,/biz/poesia-san-francisco?osq=Restaurants,94114,0.134828549333333,4.5,37.7611211,-122.4343513,"4072 18th St, San Francisco, CA 94114, United States",ChIJKUx3PBt-j4ARoP2S2YVI8NE,24366,70.7,964,2.8,154,0.4,4777,13.9,105,0.3,6822,89.2,4.3,169459,1,0
Poesia Caf%C3%A9,/biz/poesia-caf%C3%A9-san-francisco?osq=Restaurants,94114,0.0088782743333333,3.9,37.7611211,-122.4343513,"4072 18th St, San Francisco, CA 94114, United States",ChIJKUx3PBt-j4ARoP2S2YVI8NE,24366,70.7,964,2.8,154,0.4,4777,13.9,105,0.3,6822,89.2,4.3,169459,1,0
Pizzeria Delfina - Pacific Heights,/biz/pizzeria-delfina-pacific-heights-san-francisco?osq=Restaurants,94115,0.122880492,3.9,37.7889807,-122.4343217,"2406 California St, San Francisco, CA 94115, United States",ChIJ4zlZM8aAhYARRTqiavm0Xcs,18358,53.7,3687,10.8,124,0.4,6742,19.7,21,0.1,9017,91.1,3.7,138023,0,0
Birch & Rye,/biz/birch-and-rye-san-francisco-2?osq=Restaurants,94114,0.112733837666667,3.9,37.7509101,-122.4342714,"1320 Castro St, San Francisco, CA 94114, United States",ChIJQ6Z_bkR_j4ARN9KgrmqrPEs,24366,70.7,964,2.8,154,0.4,4777,13.9,105,0.3,6822,89.2,4.3,169459,1,0
Lark,/biz/lark-san-francisco-2?osq=Restaurants,94114,0.141338786,4,37.7610908,-122.4342546,"4068 18th St, San Francisco, CA 94114, United States",ChIJU4vRPBt-j4AR6-UHDqsgoy0,24366,70.7,964,2.8,154,0.4,4777,13.9,105,0.3,6822,89.2,4.3,169459,1,0
Blind Butcher,/biz/blind-butcher-san-francisco-2?osq=Restaurants,94114,0.172025646333333,4.1,37.7611311,-122.4341746,"4058 18th St A, San Francisco, CA 94114, United States",ChIJ2eGrYB9_j4ARQ20xMQCbGiM,24366,70.7,964,2.8,154,0.4,4777,13.9,105,0.3,6822,89.2,4.3,169459,1,1
Troya,/biz/troya-san-francisco-3?osq=Restaurants,94115,0.153595975666667,3.9,37.7893985,-122.4341527,"2125 Fillmore St, San Francisco, CA 94115, United States",ChIJZUcfNsaAhYARZ4b7QZiwaRc,18358,53.7,3687,10.8,124,0.4,6742,19.7,21,0.1,9017,91.1,3.7,138023,0,1
Jane on Fillmore,/biz/jane-on-fillmore-san-francisco-2?osq=Restaurants,94115,0.106763607,3.9,37.7893607,-122.4341389,"2123 Fillmore St, San Francisco, CA 94115, United States",ChIJ7ctrNsaAhYARdwAVqJAAjlQ,18358,53.7,3687,10.8,124,0.4,6742,19.7,21,0.1,9017,91.1,3.7,138023,0,1
The Tailor's Son,/biz/the-tailors-son-san-francisco?osq=Restaurants,94115,0.226194599666667,4.1,37.7886107,-122.4340502,"2049 Fillmore St, San Francisco, CA 94115, United States",ChIJywavgtqBhYARA9MeXMJWREA,18358,53.7,3687,10.8,124,0.4,6742,19.7,21,0.1,9017,91.1,3.7,138023,0,0
Tacorgasmico,/biz/tacorgasmico-san-francisco-2?osq=Restaurants,94114,0.101858994333333,4,37.7632756,-122.433836,"2337 Market St, San Francisco, CA 94114, United States",ChIJJ2TnmBx-j4ARpk5wewbcSYc,24366,70.7,964,2.8,154,0.4,4777,13.9,105,0.3,6822,89.2,4.3,169459,1,1
Noosh,/biz/noosh-san-francisco?osq=Restaurants,94115,0.068200829,3.4,37.7880414,-122.4338098,"2001 Fillmore St, San Francisco, CA 94115, United States",ChIJhyFhqpCBhYARKlrgo8g4cEA,18358,53.7,3687,10.8,124,0.4,6742,19.7,21,0.1,9017,91.1,3.7,138023,0,0
Super Duper Burgers,/biz/super-duper-burgers-san-francisco-4?osq=Restaurants,94114,0.0751343003333333,4,37.7640394,-122.4337128,"2304 Market St, San Francisco, CA 94114, United States",ChIJE8IQlBx-j4ARurzdrE3v_Lk,24366,70.7,964,2.8,154,0.4,4777,13.9,105,0.3,6822,89.2,4.3,169459,1,0
MaMo,/biz/mamo-san-francisco?osq=Restaurants,94123,0.14434448,4.3,37.8038361,-122.4336798,"3659 Buchanan St, San Francisco, CA 94123, United States",ChIJoVEAqcGBhYARkuDyPliiSlk,20187,77.6,242,0.9,59,0.2,2447,9.4,107,0.4,8563,94.6,2.5,194098,1,0
Bonita Taqueria Y Rotisserie,/biz/bonita-taqueria-y-rotisserie-san-francisco-3?osq=Restaurants,94114,0.096703127,3.9,37.7643342,-122.433563,"3600 16th St, San Francisco, CA 94114, United States",ChIJadJlfGV_j4AR6JGDm-vUxis,24366,70.7,964,2.8,154,0.4,4777,13.9,105,0.3,6822,89.2,4.3,169459,1,1
Otra,/biz/otra-san-francisco-3?osq=Restaurants,94117,0.217598753,4.5,37.7718487,-122.4334671,"682 Haight St, San Francisco, CA 94117, United States",ChIJn9ZvU6qBhYARJAR_zFFWuP8,28656,70.4,2120,5.2,204,0.5,4957,12.2,0,0,12173,86.4,2.8,174419,1,1
La Mediterranee,/biz/la-mediterranee-san-francisco-8?osq=Restaurants,94115,0.0042189463333333,4.2,37.7644861,-122.4333556,"288 Noe St, San Francisco, CA 94114, United States",ChIJ5zBG8hx-j4ARMlRDyaao1os,18358,53.7,3687,10.8,124,0.4,6742,19.7,21,0.1,9017,91.1,3.7,138023,0,1
La Mediterranee,/biz/la-mediterranee-san-francisco-7?osq=Restaurants,94114,0.012713516,3.9,37.7644861,-122.4333556,"288 Noe St, San Francisco, CA 94114, United States",ChIJ5zBG8hx-j4ARMlRDyaao1os,24366,70.7,964,2.8,154,0.4,4777,13.9,105,0.3,6822,89.2,4.3,169459,1,1
Village Rotisserie,/biz/village-rotisserie-san-francisco-4?osq=Restaurants,94114,0.111759230666667,4,37.7512497,-122.433258,"4063 24th St, San Francisco, CA 94114, United States",ChIJw4Gvn21_j4ARiAu_ba6YLb4,24366,70.7,964,2.8,154,0.4,4777,13.9,105,0.3,6822,89.2,4.3,169459,1,0
The Anchovy Bar,/biz/the-anchovy-bar-san-francisco?osq=Restaurants,94115,0.0301725306666667,4.2,37.7834015,-122.4332076,"1740 O'Farrell St, San Francisco, CA 94115, United States",ChIJN1jrY56BhYAROCDrviZM73k,18358,53.7,3687,10.8,124,0.4,6742,19.7,21,0.1,9017,91.1,3.7,138023,0,1
Kitchen Woori,/biz/kitchen-woori-san-francisco?osq=Restaurants,94115,0.027441869,2.9,37.7838476,-122.4330165,"1545 Fillmore St, San Francisco, CA 94115, United States",ChIJt88jTTGBhYAR8OErj8psu7A,18358,53.7,3687,10.8,124,0.4,6742,19.7,21,0.1,9017,91.1,3.7,138023,0,1
L'Ardoise Bistro,/biz/l-ardoise-bistro-san-francisco?osq=Restaurants,94114,0.148830558,4.5,37.7665737,-122.4330147,"151 Noe St, San Francisco, CA 94114, United States",ChIJ59pRbR1-j4ARKfQUFqmo33o,24366,70.7,964,2.8,154,0.4,4777,13.9,105,0.3,6822,89.2,4.3,169459,1,1
State Bird Provisions,/biz/state-bird-provisions-san-francisco?osq=Restaurants,94115,0.155585459,4.2,37.7836806,-122.4330028,"1529 Fillmore St, San Francisco, CA 94115, United States",ChIJQ7kGpLmAhYARKeCe2pDobWk,18358,53.7,3687,10.8,124,0.4,6742,19.7,21,0.1,9017,91.1,3.7,138023,0,0
Palm House,/biz/palm-house-san-francisco?osq=Restaurants,94123,0.085732734,3.9,37.7976358,-122.4328896,"2032 Union St, San Francisco, CA 94123, United States",ChIJtX1s3tqAhYAR8RDMpH2eHbw,20187,77.6,242,0.9,59,0.2,2447,9.4,107,0.4,8563,94.6,2.5,194098,1,1
Dumpling House,/biz/dumpling-house-san-francisco?osq=Restaurants,94114,0.379695898666667,4.3,37.7635606,-122.4328039,"335 Noe St, San Francisco, CA 94114, United States",ChIJidaiT9N_j4ARM84-udN1z2s,24366,70.7,964,2.8,154,0.4,4777,13.9,105,0.3,6822,89.2,4.3,169459,1,1
Shabusen Authentic Japanese Shabu Shabu,/biz/shabusen-authentic-japanese-shabu-shabu-san-francisco-5?osq=Restaurants,94115,0.0922906143333333,4.1,37.782449,-122.4326928,"1401 Fillmore St, San Francisco, CA 94115, United States",ChIJo0r4gLmAhYARzkQqz2lPv-E,18358,53.7,3687,10.8,124,0.4,6742,19.7,21,0.1,9017,91.1,3.7,138023,0,1
Merchant Roots,/biz/merchant-roots-san-francisco?osq=Restaurants,94115,0.0171178086666667,4.7,37.7820748,-122.4326567,"1365 Fillmore St, San Francisco, CA 94115, United States",ChIJdzrG1LuAhYARwq4upU3rdw8,18358,53.7,3687,10.8,124,0.4,6742,19.7,21,0.1,9017,91.1,3.7,138023,0,0
Scott's Chowder House,/biz/scott-s-chowder-house-san-francisco?osq=Restaurants,94115,0.131325663,4.4,37.7819622,-122.4326419,"1325 Fillmore St, San Francisco, CA 94115, United States",ChIJWU_CcxGBhYARjC7YcMZbw28,18358,53.7,3687,10.8,124,0.4,6742,19.7,21,0.1,9017,91.1,3.7,138023,0,1
Bansang,/biz/bansang-san-francisco-3?osq=Restaurants,94115,0.148452310333333,4.1,37.7840967,-122.4326346,"1560 Fillmore St, San Francisco, CA 94115, United States",ChIJ354nKUKBhYARoBM0TlVYt5E,18358,53.7,3687,10.8,124,0.4,6742,19.7,21,0.1,9017,91.1,3.7,138023,0,0
Starbelly,/biz/starbelly-san-francisco?osq=Restaurants,94114,0.453917335666667,3.8,37.7641605,-122.4326144,"3583 16th St, San Francisco, CA 94114, United States",ChIJs6YBYhx-j4AR4LUJq9SFQt0,24366,70.7,964,2.8,154,0.4,4777,13.9,105,0.3,6822,89.2,4.3,169459,1,1
Flores,/biz/flores-san-francisco?osq=Restaurants,94123,0.140074627666667,4.6,37.7976161,-122.4325806,"2030 Union St, San Francisco, CA 94123, United States",ChIJA9Sm39qAhYAROoPf_BHbBlY,20187,77.6,242,0.9,59,0.2,2447,9.4,107,0.4,8563,94.6,2.5,194098,1,0
Vive La Tarte,/biz/vive-la-tarte-san-francisco-5?osq=Restaurants,94114,0.0610711023333333,3.9,37.7514997,-122.4325566,"4026 24th St, San Francisco, CA 94114, United States",ChIJScPJx6B_j4ARf5kqtF8dJ8c,24366,70.7,964,2.8,154,0.4,4777,13.9,105,0.3,6822,89.2,4.3,169459,1,1
Canela Bistro & Wine Bar,/biz/canela-bistro-and-wine-bar-san-francisco?osq=Restaurants,94114,0.0376440033333333,4.3,37.7649365,-122.432551,"2272 Market St, San Francisco, CA 94114, United States",ChIJh8PT9xx-j4ARqcz9si6Mv-E,24366,70.7,964,2.8,154,0.4,4777,13.9,105,0.3,6822,89.2,4.3,169459,1,1
Arang,/biz/arang-san-francisco?osq=Restaurants,94115,0.158111673333333,4.6,37.7835633,-122.4323464,"1506 Fillmore St, San Francisco, CA 94115, United States",ChIJO6-jn7mAhYARsf7sUl066is,18358,53.7,3687,10.8,124,0.4,6742,19.7,21,0.1,9017,91.1,3.7,138023,0,0
Pa'ina Lounge & Restaurant,/biz/paina-lounge-and-restaurant-san-francisco?osq=Restaurants,94115,0.0085221143333333,3.9,37.7849896,-122.4323324,"1865 Post St, San Francisco, CA 94115, United States",ChIJv8b_-LiAhYAR7pOc3SMANNo,18358,53.7,3687,10.8,124,0.4,6742,19.7,21,0.1,9017,91.1,3.7,138023,0,0
Frances,/biz/frances-san-francisco?osq=Restaurants,94114,0.15751432,4.3,37.7627991,-122.4322474,"3870 17th St, San Francisco, CA 94114, United States",ChIJky2knBt-j4ARXAdR3-GAWM8,24366,70.7,964,2.8,154,0.4,4777,13.9,105,0.3,6822,89.2,4.3,169459,1,1
Pancake Boy,/biz/pancake-boy-san-francisco?osq=Restaurants,94114,0.0471666966666667,4.7,37.7513213,-122.4321812,"4007 24th St, San Francisco, CA 94114, United States",ChIJd9dRZRN-j4ARD1I5IoANJbc,24366,70.7,964,2.8,154,0.4,4777,13.9,105,0.3,6822,89.2,4.3,169459,1,0
Radhaus,/biz/radhaus-san-francisco-4?osq=Restaurants,94123,0.0805730373333333,4.7,37.8064484,-122.4321771,"2 Marina Blvd BUILDING A, San Francisco, CA 94123, United States",ChIJjcRpJhSBhYAROjbxgHdKT6U,20187,77.6,242,0.9,59,0.2,2447,9.4,107,0.4,8563,94.6,2.5,194098,1,1
NOVY Restaurant,/biz/novy-restaurant-san-francisco-6?osq=Restaurants,94114,0.157679353333333,4,37.7515252,-122.4321315,"4000 24th St, San Francisco, CA 94114, United States",ChIJ7QTyqRN-j4ARLHT2CywiO84,24366,70.7,964,2.8,154,0.4,4777,13.9,105,0.3,6822,89.2,4.3,169459,1,1
Udon Mugizo,/biz/udon-mugizo-san-francisco-11?osq=Restaurants,94115,0.17139788,4,37.7849587,-122.4321287,"1581 Webster St #217, San Francisco, CA 94115, United States",ChIJNx4Y_LiAhYARFI7FDc60IAc,18358,53.7,3687,10.8,124,0.4,6742,19.7,21,0.1,9017,91.1,3.7,138023,0,1
Greens Restaurant,/biz/greens-restaurant-san-francisco-5?osq=Restaurants,94123,0.0298620176666667,4.7,37.8066623,-122.4321059,"Building A, 2 Marina Blvd, San Francisco, CA 94123, United States",ChIJceeAXt6AhYARur0rWLmvt1A,20187,77.6,242,0.9,59,0.2,2447,9.4,107,0.4,8563,94.6,2.5,194098,1,1
Cafe R%C3%A9veille,/biz/cafe-r%C3%A9veille-san-francisco-8?osq=Restaurants,94117,0.121723621,5,37.7710495,-122.4320581,"201 Steiner St, San Francisco, CA 94117, United States",ChIJ74VF-qaAhYARb0YeIN1ZqEA,28656,70.4,2120,5.2,204,0.5,4957,12.2,0,0,12173,86.4,2.8,174419,1,1
IZUMIYA,/biz/izumiya-san-francisco-2?osq=Restaurants,94115,0.02573414,4,37.7851509,-122.4320399,"1581 Webster St #270, San Francisco, CA 94115, United States",ChIJZ8d24biAhYARL_Xdnetu_iA,18358,53.7,3687,10.8,124,0.4,6742,19.7,21,0.1,9017,91.1,3.7,138023,0,0
Marufuku Ramen,/biz/marufuku-ramen-san-francisco-5?osq=Restaurants,94115,0.634914599666667,4.4,37.7851005,-122.4320079,"1581 Webster St #235, San Francisco, CA 94115, United States",ChIJsYdOvCx-j4ARJItjWBikyOk,18358,53.7,3687,10.8,124,0.4,6742,19.7,21,0.1,9017,91.1,3.7,138023,0,1
Dinosaurs,/biz/dinosaurs-san-francisco-4?osq=Restaurants,94114,0.109562326333333,3.9,37.7644519,-122.4319773,"2275 Market St, San Francisco, CA 94114, United States",ChIJ3fyEjqeAj4ARtLKCgtCC7AY,24366,70.7,964,2.8,154,0.4,4777,13.9,105,0.3,6822,89.2,4.3,169459,1,0
Santeria,/biz/santeria-san-francisco?osq=Restaurants,94114,0.276298672,4.5,37.764922,-122.4318913,"2251 Market St, San Francisco, CA 94114, United States",ChIJDdvUnv5_j4ARMHcLhGlVxVo,24366,70.7,964,2.8,154,0.4,4777,13.9,105,0.3,6822,89.2,4.3,169459,1,0
Uva Enoteca,/biz/uva-enoteca-san-francisco?osq=Restaurants,94117,0.0385453533333333,3.8,37.7720958,-122.4315968,"568 Haight St, San Francisco, CA 94117, United States",ChIJNaVGk6aAhYARYeQRy60bAqs,28656,70.4,2120,5.2,204,0.5,4957,12.2,0,0,12173,86.4,2.8,174419,1,0
Copas,/biz/copas-san-francisco?osq=Restaurants,94114,0.0829449486666667,4.5,37.7651206,-122.4313774,"2223 Market St, San Francisco, CA 94114, United States",ChIJ10mZOyh_j4ARE6EVkqh51zA,24366,70.7,964,2.8,154,0.4,4777,13.9,105,0.3,6822,89.2,4.3,169459,1,0
Berliner Berliner,/biz/berliner-berliner-san-francisco?osq=Restaurants,94117,0.038611522,4.5,37.7719194,-122.4311817,"545 Haight St, San Francisco, CA 94117, United States",ChIJNWYfODGBhYARrRHo416xM8E,28656,70.4,2120,5.2,204,0.5,4957,12.2,0,0,12173,86.4,2.8,174419,1,1
Saucy Asian,/biz/saucy-asian-san-francisco-2?osq=Restaurants,94114,0.160404675666667,4.3,37.7626531,-122.4309024,"3801 17th St, San Francisco, CA 94114, United States",ChIJYwRy6ht-j4ARFAjMkLksBP8,24366,70.7,964,2.8,154,0.4,4777,13.9,105,0.3,6822,89.2,4.3,169459,1,0
Perilla,/biz/perilla-san-francisco-2?osq=Restaurants,94122,0.160851986333333,4,37.7718749,-122.430865,"525 Haight St, San Francisco, CA 94117, United States",ChIJbZH04-OBhYARjessDjNB0z8,23348,38.8,1140,1.9,125,0.2,27067,45,480,0.8,9495,80,5.4,130708,1,1
Nara Restaurant & Sake Bar,/biz/nara-restaurant-and-sake-bar-san-francisco?osq=Restaurants,94117,0.146355333333333,4.5,37.7722008,-122.4308463,"518 Haight St, San Francisco, CA 94117, United States",ChIJoRtRv6aAhYARyu0Z7MrFBWk,28656,70.4,2120,5.2,204,0.5,4957,12.2,0,0,12173,86.4,2.8,174419,1,1
Willkommen,/biz/willkommen-san-francisco-3?osq=Restaurants,94114,0.108587889333333,4.5,37.766346,-122.4308256,"2198 Market St, San Francisco, CA 94114, United States",ChIJE_JhmbN_j4ARYh6W1Y4Ioms,24366,70.7,964,2.8,154,0.4,4777,13.9,105,0.3,6822,89.2,4.3,169459,1,1
Purple Rice,/biz/purple-rice-san-francisco?osq=Restaurants,94117,0.223423005333333,4.3,37.7719418,-122.4307763,"509 Haight St, San Francisco, CA 94117, United States",ChIJBQXY2L-BhYARamWuJe73iNI,28656,70.4,2120,5.2,204,0.5,4957,12.2,0,0,12173,86.4,2.8,174419,1,1
Eiji,/biz/eiji-san-francisco?osq=Restaurants,94114,0.0992417126666667,4,37.7640639,-122.4307292,"317 Sanchez St, San Francisco, CA 94114, United States",ChIJoRHxCxx-j4ARxvzlXQFASuM,24366,70.7,964,2.8,154,0.4,4777,13.9,105,0.3,6822,89.2,4.3,169459,1,1
Kitchen Story,/biz/kitchen-story-san-francisco?osq=Restaurants,94114,0.178849208333333,4.1,37.7642741,-122.4307241,"3499 16th St, San Francisco, CA 94114, United States",ChIJ_wloDhx-j4AR636PeyqpwKY,24366,70.7,964,2.8,154,0.4,4777,13.9,105,0.3,6822,89.2,4.3,169459,1,0
Ly's Vietnamese Cuisine,/biz/lys-vietnamese-cuisine-san-francisco?osq=Restaurants,94123,0.029746483,4,37.8003933,-122.4306817,"1779 Lombard St, San Francisco, CA 94123, United States",ChIJRSqLkNuAhYARgIFsj9GUrq4,20187,77.6,242,0.9,59,0.2,2447,9.4,107,0.4,8563,94.6,2.5,194098,1,1
YH-Beijing,/biz/yh-beijing-san-francisco-9?osq=Restaurants,94117,0.120994736666667,4.4,37.7721917,-122.4306187,"500 Haight St, San Francisco, CA 94117, United States",ChIJ5Z8qxqaAhYARm_WgusAlTrU,28656,70.4,2120,5.2,204,0.5,4957,12.2,0,0,12173,86.4,2.8,174419,1,1
Iza Ramen Lower Haight,/biz/iza-ramen-lower-haight-san-francisco?osq=Restaurants,94117,0.0085091713333333,4,37.7717801,-122.4305256,"237 Fillmore St, San Francisco, CA 94117, United States",ChIJ70Xwz6aAhYARmM82do-7NEM,28656,70.4,2120,5.2,204,0.5,4957,12.2,0,0,12173,86.4,2.8,174419,1,1
Wooden Spoon,/biz/wooden-spoon-san-francisco?osq=Restaurants,94114,0.178416058333333,4,37.7666508,-122.4304698,"2172 Market St, San Francisco, CA 94114, United States",ChIJB7_2ReF_j4ARs6lccUeGRwo,24366,70.7,964,2.8,154,0.4,4777,13.9,105,0.3,6822,89.2,4.3,169459,1,0
Yuji,/biz/yuji-san-francisco?osq=Restaurants,94115,0.0405282883333333,4.9,37.7857723,-122.4301334,"1700 Post St k, San Francisco, CA 94115, United States",ChIJoXZ6aUuBhYAR2Zgh-8AH7xE,18358,53.7,3687,10.8,124,0.4,6742,19.7,21,0.1,9017,91.1,3.7,138023,0,1
Hinodeya Ramen Bar,/biz/hinodeya-ramen-bar-san-francisco?osq=Restaurants,94115,0.149737513,4.2,37.7862424,-122.430058,"1737 Buchanan St, San Francisco, CA 94115, United States",ChIJ0yhhzriAhYAR-2lnzuizNZM,18358,53.7,3687,10.8,124,0.4,6742,19.7,21,0.1,9017,91.1,3.7,138023,0,1
Bacco,/biz/bacco-san-francisco?osq=Restaurants,94114,0.145556587,4.2,37.7514526,-122.4300389,"3913 24th St, San Francisco, CA 94114, United States",ChIJdf9H7Q1-j4ARz1jC11ruXDc,24366,70.7,964,2.8,154,0.4,4777,13.9,105,0.3,6822,89.2,4.3,169459,1,1
The Laundromat,/biz/the-laundromat-san-francisco?osq=Restaurants,94121,0.0181436116666667,4.8,37.7761416,-122.4298342,"800 Hayes St, San Francisco, CA 94117, United States",ChIJ6WaNf6OAhYARUJeN616KhFs,20005,45.5,763,1.7,68,0.2,18297,41.6,6,0,5747,78.4,5.4,116970,1,0
Hoshinoya,/biz/hoshinoya-san-francisco?osq=Restaurants,94115,0.133667921333333,4.2,37.7861951,-122.4297953,"1740 Buchanan St, San Francisco, CA 94115, United States",ChIJacEKuHKBhYARZJk42AAA_6g,18358,53.7,3687,10.8,124,0.4,6742,19.7,21,0.1,9017,91.1,3.7,138023,0,1
KAIY%C5%8C Cow Hollow,/biz/kaiy%C5%8D-cow-hollow-san-francisco?osq=Restaurants,94123,0.038486671,4.1,37.7979908,-122.4296519,"1838 Union St, San Francisco, CA 94123, United States",ChIJ4RXs7X-BhYAR08JJs5ZVHXM,20187,77.6,242,0.9,59,0.2,2447,9.4,107,0.4,8563,94.6,2.5,194098,1,0
Roaming Goat,/biz/roaming-goat-san-francisco?osq=Restaurants,94123,0.0442329653333333,4.1,37.797971,-122.4295229,"1830 Union St, San Francisco, CA 94123, United States",ChIJgdmfLjOBhYAR7Vxiy37kloM,20187,77.6,242,0.9,59,0.2,2447,9.4,107,0.4,8563,94.6,2.5,194098,1,0
Kui Shin Bo,/biz/kui-shin-bo-san-francisco-2?osq=Restaurants,94115,0.117991208333333,3.8,37.7853725,-122.4294569,"22 Peace Plaza #2, 22 Peace Plz, San Francisco, CA 94115, United States",ChIJN0l8xL6AhYARrlT2wxyRP24,18358,53.7,3687,10.8,124,0.4,6742,19.7,21,0.1,9017,91.1,3.7,138023,0,1
Beit Rima,/biz/beit-rima-san-francisco-3?osq=Restaurants,94114,0.171038438333333,4.5,37.7687195,-122.429274,"138 Church St, San Francisco, CA 94114, United States",ChIJl9NqEC1_j4ARE2Xf-ZIztFM,24366,70.7,964,2.8,154,0.4,4777,13.9,105,0.3,6822,89.2,4.3,169459,1,0
Beit Rima,/biz/beit-rima-san-francisco-4?osq=Restaurants,94117,0.282673411666667,4.4,37.7687195,-122.429274,"138 Church St, San Francisco, CA 94114, United States",ChIJl9NqEC1_j4ARE2Xf-ZIztFM,28656,70.4,2120,5.2,204,0.5,4957,12.2,0,0,12173,86.4,2.8,174419,1,0
Kibatsu,/biz/kibatsu-san-francisco?osq=Restaurants,94117,0.0214246966666667,4.4,37.7724837,-122.4290069,"400 Haight St, San Francisco, CA 94117, United States",ChIJ_6lGs5OBhYARMZbrb4T5Os4,28656,70.4,2120,5.2,204,0.5,4957,12.2,0,0,12173,86.4,2.8,174419,1,0
Saru Sushi Bar - Noe Valley,/biz/saru-sushi-bar-noe-valley-san-francisco-3?osq=Restaurants,94114,0.0172188166666667,4.2,37.7517086,-122.4288385,"3856 24th St, San Francisco, CA 94114, United States",ChIJsSI8kRR-j4ARGA_QES97YLo,24366,70.7,964,2.8,154,0.4,4777,13.9,105,0.3,6822,89.2,4.3,169459,1,0
