Restaurant,Latitude,Longitude,Address,Place-ID,URL,Stars,ZIP,Attractions,Avg. Exposure,White,ofWhite,Black,ofBlack,AmericanIndaian,ofAI,Asian,ofAisan,NativeHawiian,ofNativeHawiian,Edu,ofEDU,Unemployment,Wealth,Hotspot
Habana Cuba Restaurant,37.3301308,-121.8865285,"387 S 1st St Suite 109, San Jose, CA 95113, United States",ChIJuYJQ4VrLj4AR2SC_HS-iUF8,/biz/habana-cuba-restaurant-san-jose?osq=Restaurants,3.9,95113,1,0.123450426666667,820,37,150,6.8,0,0,884,39.9,5,0.2,746,85.6,4.1,124625,0
SoFA Market,37.3303358,-121.8864002,"387 S 1st St, San Jose, CA 95113, United States",ChIJTeOombDMj4ARfWil3-3xh_Q,/biz/sofa-market-san-jose?osq=Restaurants,4.2,95113,1,0.122811468,820,37,150,6.8,0,0,884,39.9,5,0.2,746,85.6,4.1,124625,0
Hapa Musubi,37.4105891,-121.8863946,"1658 S Milpitas Blvd, Milpitas, CA 95035, United States",ChIJ78kSAbvMj4ARyK9x8jmg23A,/biz/hapa-musubi-milpitas-4?osq=Restaurants,4.5,95035,0,0.0260146046666667,11436,14.3,2565,3.2,486,0.6,53762,67.4,136,0.2,10755,68.2,4.4,149223,1
Vietnoms,37.3303006,-121.886382,"387 S 1st St Ste 121, San Jose, CA 95113, United States",ChIJK6gsmrDMj4ARhqe1PcyC7jE,/biz/vietnoms-san-jose?osq=Restaurants,4.2,95113,1,0.137331463333333,820,37,150,6.8,0,0,884,39.9,5,0.2,746,85.6,4.1,124625,0
Umi Hand Roll Bar,37.3301959,-121.8863016,"387 S 1st St, San Jose, CA 95113, United States",ChIJGYhOsYDNj4ARrjZ9tBz_PcQ,/biz/umi-hand-roll-bar-san-jose-2?osq=Restaurants,4.2,95113,1,0.119432980666667,820,37,150,6.8,0,0,884,39.9,5,0.2,746,85.6,4.1,124625,1
Petiscos,37.3300768,-121.8862249,"399 S 1st St, San Jose, CA 95113, United States",ChIJY7fPGXjNj4ARq0505g0V3Ko,/biz/petiscos-san-jose?osq=Restaurants,3.9,95113,1,0.253840203666667,820,37,150,6.8,0,0,884,39.9,5,0.2,746,85.6,4.1,124625,0
Mama Kin,37.3305269,-121.8861817,"374 S 1st St, San Jose, CA 95113, United States",ChIJMWBxYG3Nj4ARTwHM6imJ9_A,/biz/mama-kin-san-jose-2?osq=Restaurants,4.4,95113,1,0.360563826333333,820,37,150,6.8,0,0,884,39.9,5,0.2,746,85.6,4.1,124625,0
Las Delicias De Tonita,37.3317796,-121.8860702,"372 S Third St, San Jose, CA 95112, United States",ChIJ3WNjKv_Nj4ARMXvBOdRtgB4,/biz/las-delicias-de-tonita-san-jose?osq=Restaurants,4.8,95112,1,0.0915874036666667,19694,33.7,2903,5,550,0.9,14867,25.4,268,0.5,6146,51.6,6,83224,0
Island Taste Caribbean Grill,37.3385714,-121.885846,"225 E Santa Clara St, San Jose, CA 95112, United States",ChIJt7I-X47Nj4ARoT85ERrLHh4,/biz/island-taste-caribbean-grill-san-jose-2?osq=Restaurants,4.7,95112,1,0.176186874333333,19694,33.7,2903,5,550,0.9,14867,25.4,268,0.5,6146,51.6,6,83224,1
Gen Korean BBQ House,37.387226,-121.8853339,"1628 Hostetter Rd f, San Jose, CA 95131, United States",ChIJrxJXxhDMj4ARQqM7ixITYxQ,/biz/gen-korean-bbq-house-san-jose?osq=Restaurants,4.2,95131,0,0.155272345666667,4380,13.9,792,2.5,111,0.4,22707,71.9,143,0.5,4524,76.4,5.8,151389,1
The FAB,37.333583,-121.8853244,"110 Paseo de San Antonio, San Jose, CA 95112, United States",ChIJo1TM25nNj4ARkZJrDxuP5VM,/biz/the-fab-san-jose?osq=Restaurants,4.6,95112,1,0.185114794333333,19694,33.7,2903,5,550,0.9,14867,25.4,268,0.5,6146,51.6,6,83224,0
Lee's Sandwiches,37.3384053,-121.8847889,"260 E Santa Clara St, San Jose, CA 95113, United States",ChIJW7ZA0b3Mj4ARYpRDYmu7qso,/biz/lees-sandwiches-san-jose-15?osq=Restaurants,3.4,95112,1,0.082998458,19694,33.7,2903,5,550,0.9,14867,25.4,268,0.5,6146,51.6,6,83224,0
Banh Mi Oven,37.3366405,-121.8846744,"221 E San Fernando St, San Jose, CA 95112, United States",ChIJI8A711bNj4ARDHNdBKoF0fs,/biz/banh-mi-oven-san-jose-3?osq=Restaurants,4.3,95112,1,0.0127489173333333,19694,33.7,2903,5,550,0.9,14867,25.4,268,0.5,6146,51.6,6,83224,0
The Nest Asian Bistro,37.3322747,-121.8845591,"312 S Third St, San Jose, CA 95112, United States",ChIJCQhJgjrNj4ARJX14a9sVO9Q,/biz/the-nest-asian-bistro-san-jose-4?osq=Restaurants,4.2,95112,1,0.174770824,19694,33.7,2903,5,550,0.9,14867,25.4,268,0.5,6146,51.6,6,83224,0
Orchestria Palm Court,37.3289398,-121.8844594,"27 E William St, San Jose, CA 95112, United States",ChIJf2BKKrfMj4ARMNbG9LKvmvo,/biz/orchestria-palm-court-san-jose?osq=Restaurants,4.4,95112,1,0.0348073673333333,19694,33.7,2903,5,550,0.9,14867,25.4,268,0.5,6146,51.6,6,83224,0
Tostadas,37.339131,-121.8839459,"304 E Santa Clara St A, San Jose, CA 95113, United States",ChIJu07VJbvNj4ARU3gdUR9YN80,/biz/tostadas-san-jose?osq=Restaurants,4,95112,1,0.299920826,19694,33.7,2903,5,550,0.9,14867,25.4,268,0.5,6146,51.6,6,83224,1
Tostadas,37.339131,-121.8839459,"304 E Santa Clara St A, San Jose, CA 95113, United States",ChIJu07VJbvNj4ARU3gdUR9YN80,/biz/tostadas-san-jose-3?osq=Restaurants,3.8,95128,1,0.070348422,19004,53.7,1612,4.6,231,0.7,6620,18.7,315,0.9,3933,55.9,3.6,105563,0
China Chen,37.3310057,-121.8836287,"400 S Third St, San Jose, CA 95112, United States",ChIJ9YdtW7fMj4AR5NupPn-HNv4,/biz/china-chen-san-jose?osq=Restaurants,4,95112,1,0.133670495333333,19694,33.7,2903,5,550,0.9,14867,25.4,268,0.5,6146,51.6,6,83224,0
El Camaron De Sinaloa,37.3186372,-121.8831437,"245 Willow St, San Jose, CA 95110, United States",ChIJdRECv0szjoARpQaIYWo_hMo,/biz/el-camaron-de-sinaloa-san-jose?osq=Restaurants,5,95110,1,0.120444574,7204,35.4,645,3.2,273,1.3,3081,15.1,25,0.1,2680,55.6,3.7,119408,0
Kali Noodles and Tea Bar,37.3397841,-121.8823489,"374 E Santa Clara St, San Jose, CA 95113, United States",ChIJBSQ5Tr7Mj4ARJobIVoWH2uw,/biz/kali-noodles-and-tea-bar-san-jose?osq=Restaurants,4.5,95113,1,0.079042953,820,37,150,6.8,0,0,884,39.9,5,0.2,746,85.6,4.1,124625,0
Sushi Koya,37.2904788,-121.8808307,"2424 Almaden Rd, San Jose, CA 95125, United States",ChIJC51vFHMzjoARj9f71TNBxAk,/biz/sushi-koya-san-jose?osq=Restaurants,3.8,95125,1,0.125841295333333,33319,62.3,1243,2.3,344,0.6,8044,15,119,0.2,3985,60.1,3.9,128452,0
Encanto,37.27877,-121.8799271,"2988 Almaden Expy, San Jose, CA 95125, United States",ChIJLXdWPcozjoARxr-WpE8fnlY,/biz/encanto-san-jose?osq=Restaurants,3.9,95125,1,0.497570484333333,33319,62.3,1243,2.3,344,0.6,8044,15,119,0.2,3985,60.1,3.9,128452,1
Kuya's Cuisine,37.2637723,-121.8763275,"4580 Almaden Expy unit 103, San Jose, CA 95118, United States",ChIJO-GAvaEzjoARe8zG23f7nDI,/biz/kuya-s-cuisine-san-jose?osq=Restaurants,3.9,95118,0,0.0452163096666667,18184,55.6,476,1.5,132,0.4,7376,22.6,190,0.6,1881,53.8,5,130745,1
Kuyas,37.2637723,-121.8763275,"4580 Almaden Expy unit 103, San Jose, CA 95118, United States",ChIJO-GAvaEzjoARe8zG23f7nDI,/biz/kuyas-san-jose?osq=Restaurants,4.9,95118,0,0.0135813863333333,18184,55.6,476,1.5,132,0.4,7376,22.6,190,0.6,1881,53.8,5,130745,1
Spartan Taco Truck,37.3331782,-121.8758013,"447 E William St, San Jose, CA 95112, United States",ChIJccXRLNDNj4ARx-k7EDR0bZk,/biz/spartan-taco-truck-san-jose-4?osq=Restaurants,4,95112,1,0.0042730113333333,19694,33.7,2903,5,550,0.9,14867,25.4,268,0.5,6146,51.6,6,83224,0
Cali-Spartan Mexican Kitchen,37.3326634,-121.8753317,"515 S 10th St, San Jose, CA 95112, United States",ChIJDU4G7cjMj4ARFW5OtN3nsJI,/biz/cali-spartan-mexican-kitchen-san-jose-2?osq=Restaurants,3.7,95123,1,0.029886309,34818,49,2280,3.2,551,0.8,18421,25.9,99,0.1,5717,50.4,4.4,124389,1
Hao Hao Pho,37.3331842,-121.8748645,"460 E William St, San Jose, CA 95112, United States",ChIJ_zJNFdPNj4ARvZMHpgpp18M,/biz/hao-hao-pho-san-jose-2?osq=Restaurants,4.8,95112,1,0.187530813,19694,33.7,2903,5,550,0.9,14867,25.4,268,0.5,6146,51.6,6,83224,1
L'Roco Grill,37.2934748,-121.8747182,"699 Curtner Ave #140, San Jose, CA 95125, United States",ChIJd0k4btszjoAR2He8eFJ51kA,/biz/l-roco-grill-san-jose?osq=Restaurants,4.5,95125,1,0.180772646333333,33319,62.3,1243,2.3,344,0.6,8044,15,119,0.2,3985,60.1,3.9,128452,1
One Pot Shabu Shabu - San Jose,37.25891,-121.87463,"5120 Cherry Ave  Ste 10  San Jose, CA 95118  Blossom Valley",-,/biz/one-pot-shabu-shabu-san-jose-san-jose-3?osq=Restaurants,4.3,95118,0,0.129039608333333,18184,55.6,476,1.5,132,0.4,7376,22.6,190,0.6,1881,53.8,5,130745,0
Claw Shack,37.3727785,-121.8738966,"1696 Berryessa Rd, San Jose, CA 95133, United States",ChIJa0fJTEPMj4ARgRNc3LAyxmw,/biz/claw-shack-san-jose?osq=Restaurants,4.3,95133,1,0.188453819333333,3951,13.7,864,3,275,1,17185,59.5,221,0.8,3296,65.9,8.5,110484,0
Tacos el L%C3%ADder,37.30912,-121.86755,"1815 Monterey Hwy  San Jose, CA 95112  Fairgrounds",-,/biz/tacos-el-l%C3%ADder-san-jose?osq=Restaurants,4,95127,1,0.0839716036666667,18221,28.9,829,1.3,631,1,16532,26.2,600,1,3008,31.1,5.5,110887,0
The Halal Guys,37.3029138,-121.8644666,"81 Curtner Ave #20, San Jose, CA 95125, United States",ChIJNVPhzRszjoAR6cs5HypdhcE,/biz/the-halal-guys-san-jose-2?osq=Restaurants,4.5,95125,1,0.0042189463333333,33319,62.3,1243,2.3,344,0.6,8044,15,119,0.2,3985,60.1,3.9,128452,0
Sharks Ice at San Jose,37.3195436,-121.8642309,"1500 S 10th St, San Jose, CA 95112, United States",ChIJ2fqNpS8zjoARe3meHef4vb4,/biz/sharks-ice-at-san-jose-san-jose-2?osq=Restaurants,3.9,95112,1,0.100165723,19694,33.7,2903,5,550,0.9,14867,25.4,268,0.5,6146,51.6,6,83224,0
Slater's 50/50 - San Jose,37.2512755,-121.8618704,"925 Blossom Hill Rd, San Jose, CA 95123, United States",ChIJhYkwRC0zjoARLwdwv3xd4PM,/biz/slaters-50-50-san-jose-san-jose?osq=Restaurants,3.9,95123,1,0.467208839333333,34818,49,2280,3.2,551,0.8,18421,25.9,99,0.1,5717,50.4,4.4,124389,0
Jubba Restaurant,37.257452,-121.8606526,"5330 Terner Way, San Jose, CA 95136, United States",ChIJ_1BR69MzjoARsjSJtBRGdwU,/biz/jubba-restaurant-san-jose?osq=Restaurants,4.1,95136,1,0.174751103,20480,41.9,2475,5.1,313,0.6,15764,32.3,293,0.6,4018,53.3,3.4,131879,1
Fire Wings,37.3294272,-121.8592994,"779 Story Rd #30, San Jose, CA 95122, United States",ChIJh1G26zHNj4ARRK47DlkiCrI,/biz/fire-wings-san-jose-2?osq=Restaurants,4,95122,1,0.008619764,10569,19.5,834,1.5,598,1.1,18953,35,439,0.8,2147,27.9,7.3,90984,0
El Chapulin Oaxaqueno,37.3571802,-121.8590367,"Plata, arroyo Park, San Jose, CA 95116, United States",ChIJPVfQUlTNj4ARGKkU4fx4xUk,/biz/el-chapulin-oaxaqueno-san-jose?osq=Restaurants,5,95113,1,0.0280054823333333,820,37,150,6.8,0,0,884,39.9,5,0.2,746,85.6,4.1,124625,0
ADEGA Restaurant,37.3512263,-121.8584334,"1614 Alum Rock Ave, San Jose, CA 95116, United States",ChIJC797reHMj4ARSaQDCMuHWSQ,/biz/adega-restaurant-san-jose?osq=Restaurants,4,95116,1,0.159345096666667,11063,21.2,1278,2.4,1368,2.6,14722,28.2,353,0.7,2222,27,5,76339,0
Pho Ha Noi,37.3325236,-121.8583806,"969 Story Rd #6048, San Jose, CA 95122, United States",ChIJ2T4Vbn4tjoARh_fM1VyR9do,/biz/pho-ha-noi-san-jose-6?osq=Restaurants,3.9,95122,1,0.008460689,10569,19.5,834,1.5,598,1.1,18953,35,439,0.8,2147,27.9,7.3,90984,0
Sizzle Spot,37.3290081,-121.8583559,"740 Story Rd #1, San Jose, CA 95122, United States",ChIJ-UefxSozjoARUw0nRAh3rBc,/biz/sizzle-spot-san-jose?osq=Restaurants,3.9,95122,1,0.154483519666667,10569,19.5,834,1.5,598,1.1,18953,35,439,0.8,2147,27.9,7.3,90984,0
Bun Bo Hue An Nam,37.3288503,-121.8583455,"740 Story Rd #3, San Jose, CA 95122, United States",ChIJVyuaxSozjoARswLLtoTgs0g,/biz/bun-bo-hue-an-nam-san-jose?osq=Restaurants,4.6,95122,1,0.128394042333333,10569,19.5,834,1.5,598,1.1,18953,35,439,0.8,2147,27.9,7.3,90984,0
Kensho Social,37.3307982,-121.858313,"919 Story Rd #1100, San Jose, CA 95122, United States",ChIJPz4DlI_Nj4ARzvEmkbUgpN0,/biz/kensho-social-san-jose-2?osq=Restaurants,4.1,95122,1,0.194429303666667,10569,19.5,834,1.5,598,1.1,18953,35,439,0.8,2147,27.9,7.3,90984,0
Burma Choice,37.2484109,-121.8578041,"864 Blossom Hill Rd A, San Jose, CA 95123, United States",ChIJo-ysGQ8xjoAR9mfQjQhUBlE,/biz/burma-choice-san-jose-2?osq=Restaurants,4.5,95123,1,0.156441214666667,34818,49,2280,3.2,551,0.8,18421,25.9,99,0.1,5717,50.4,4.4,124389,0
District Seven Kitchen,37.3315753,-121.8577602,"979 Story Rd #7048, San Jose, CA 95122, United States",ChIJlVz_LQ3Nj4ARh17nSNBegvA,/biz/district-seven-kitchen-san-jose?osq=Restaurants,4.2,95122,1,0.153733859666667,10569,19.5,834,1.5,598,1.1,18953,35,439,0.8,2147,27.9,7.3,90984,0
La Barrique Restaurant,37.331969,-121.8577006,"969 Story Rd #6090, San Jose, CA 95122, United States",ChIJ_4WF3NnNj4ARJFkPAgwnZi0,/biz/la-barrique-restaurant-san-jose-2?osq=Restaurants,3.9,95122,1,0.067533651,10569,19.5,834,1.5,598,1.1,18953,35,439,0.8,2147,27.9,7.3,90984,0
Enjoy Seoul,37.3317185,-121.8574759,"979 Story Rd, San Jose, CA 95122, United States",ChIJA8CeoCrNj4ARdYjNwdKNDY4,/biz/enjoy-seoul-san-jose?osq=Restaurants,4,95122,1,0.0811998476666667,10569,19.5,834,1.5,598,1.1,18953,35,439,0.8,2147,27.9,7.3,90984,0
Chubby's Chickn,37.3297651,-121.8573907,"888 Story Rd, San Jose, CA 95122, United States",ChIJR3pngpjNj4ARop3O7RJr7Zc,/biz/chubbys-chickn-san-jose-4?osq=Restaurants,4.3,95122,1,0.0858739133333333,10569,19.5,834,1.5,598,1.1,18953,35,439,0.8,2147,27.9,7.3,90984,0
Banh Cuon Bun Moc Ong Ta,37.3318594,-121.8569779,"999 Story Rd UNIT 9030, San Jose, CA 95122, United States",ChIJ3bZJBI7Nj4ARNbXpsTf32Is,/biz/banh-cuon-bun-moc-ong-ta-san-jose?osq=Restaurants,4.4,95122,1,0.143035413666667,10569,19.5,834,1.5,598,1.1,18953,35,439,0.8,2147,27.9,7.3,90984,0
TP Banh bao 5,37.3316549,-121.8567764,"999 Story Rd UNIT 9015, San Jose, CA 95122, United States",ChIJL-v4hOLNj4ARYi4BA_CS1Z4,/biz/tp-banh-bao-5-san-jose?osq=Restaurants,4.8,95122,1,0.210750837333333,10569,19.5,834,1.5,598,1.1,18953,35,439,0.8,2147,27.9,7.3,90984,1
Cha Cha Sushi,37.2758794,-121.8529556,"547 W Capitol Expy, San Jose, CA 95136, United States",ChIJZXPuq0syjoAR8Y9FHnWb86o,/biz/cha-cha-sushi-san-jose?osq=Restaurants,4,95136,1,0.0382871496666667,20480,41.9,2475,5.1,313,0.6,15764,32.3,293,0.6,4018,53.3,3.4,131879,0
DD Lounge,37.3105710089179,-121.84836034735,"2268 Senter Rd, San Jose, CA 95112, United States",ChIJd6mbnTlrK4cRLNQfVvZMRv4,/biz/dd-lounge-san-jose?osq=Restaurants,4.5,95112,1,0.004294674,19694,33.7,2903,5,550,0.9,14867,25.4,268,0.5,6146,51.6,6,83224,0
Moc Quan Restaurant,37.3087766,-121.8476225,"2384 Senter Rd, San Jose, CA 95112, United States",ChIJnalUGCwzjoARp39XGxJst0M,/biz/moc-quan-restaurant-san-jose?osq=Restaurants,3.5,95112,1,0.05637228,19694,33.7,2903,5,550,0.9,14867,25.4,268,0.5,6146,51.6,6,83224,0
Southern Kitchen,37.2855973,-121.8425333,"3378 Monterey Hwy, San Jose, CA 95111, United States",ChIJxxMq1kQyjoARMCDaBBm5O5E,/biz/southern-kitchen-los-gatos-5?osq=Restaurants,3.9,95030,0,0.154950118666667,10649,78.7,33,0.2,143,1.1,2206,16.3,0,0,434,79.6,4.9,215461,0
Chicken Licious,37.2988343,-121.8396013,"2863 Senter Rd, San Jose, CA 95111, United States",ChIJc1MlCy8zjoAR5WmrrMDmNU4,/biz/chicken-licious-san-jose?osq=Restaurants,3.6,95111,0,0.083730166,16311,26.9,1150,1.9,451,0.7,20910,34.5,402,0.7,2349,27.5,4.9,81166,0
Uncle Quan's Kitchen,37.2979318,-121.8383422,"2893 Senter Rd D, San Jose, CA 95111, United States",ChIJOX4m5kMzjoARx5VnIErRnsQ,/biz/uncle-quans-kitchen-san-jose?osq=Restaurants,3.5,95111,0,0.127775090666667,16311,26.9,1150,1.9,451,0.7,20910,34.5,402,0.7,2349,27.5,4.9,81166,0
Teriyaki Dude,37.279359,-121.833864,"4112C Monterey Hwy C, San Jose, CA 95111, United States",ChIJXcq2eUAyjoAR_Lkd0EVns80,/biz/teriyaki-dude-san-jose-2?osq=Restaurants,4.7,95111,0,0.0085296316666666,16311,26.9,1150,1.9,451,0.7,20910,34.5,402,0.7,2349,27.5,4.9,81166,0
Back A Yard Caribbean Grill,37.2998843,-121.824297,"1011 E Capitol Expy, San Jose, CA 95121, United States",ChIJZ8W98mIyjoARmj6E8X3EnGg,/biz/back-a-yard-caribbean-grill-campbell?osq=Restaurants,3.7,95008,1,0.140306529666667,27741,56.9,1205,2.5,197,0.4,12187,25,14,0,4550,62.8,3,128476,0
Delicias Juquilita,37.3726059,-121.8236217,"4809 Alum Rock Ave, San Jose, CA 95127, United States",ChIJkyTDorrNj4ARyrz5_0GDA2g,/biz/delicias-juquilita-alum-rock?osq=Restaurants,4,95127,1,0.0085765516666666,18221,28.9,829,1.3,631,1,16532,26.2,600,1,3008,31.1,5.5,110887,0
Delicias juquilita,37.3726059,-121.8236217,"4809 Alum Rock Ave, San Jose, CA 95127, United States",ChIJkyTDorrNj4ARyrz5_0GDA2g,/biz/delicias-juquilita-san-jose?osq=Restaurants,3.9,95127,1,0.0089703226666666,18221,28.9,829,1.3,631,1,16532,26.2,600,1,3008,31.1,5.5,110887,0
Bo Ne Phu Yen,37.3219505,-121.8230446,"1818 Tully Rd, San Jose, CA 95122, United States",ChIJjdUTR70yjoARw813QNdfKYY,/biz/bo-ne-phu-yen-san-jose?osq=Restaurants,3.8,95122,1,0.145703515666667,10569,19.5,834,1.5,598,1.1,18953,35,439,0.8,2147,27.9,7.3,90984,0
Taste of Persia,37.3261973,-121.8211378,"2011 Tully Rd, San Jose, CA 95122, United States",ChIJ_ytc8nUzjoARbV8PJ2jwk9o,/biz/taste-of-persia-san-jose?osq=Restaurants,4.3,95122,1,0.08904447,10569,19.5,834,1.5,598,1.1,18953,35,439,0.8,2147,27.9,7.3,90984,0
Terdi Art Bakery,37.3089879,-121.814436,"3005 Silver Creek Rd STE 174, San Jose, CA 95121, United States",ChIJNfUJXskzjoARB3AC5YWHDAM,/biz/terdi-art-bakery-san-jose-2?osq=Restaurants,5,95121,0,0.018403749,7228,19.2,1382,3.7,470,1.2,22494,59.7,157,0.4,2390,50.3,6.2,117991,0
Famous Lao Papaya Restaurant,37.3088114,-121.8142769,"3005 Silver Creek Rd STE 164, San Jose, CA 95121, United States",ChIJx5xGPaAzjoARA6xec4__UuQ,/biz/famous-lao-papaya-restaurant-san-jose-2?osq=Restaurants,4.3,95121,0,0.175423445,7228,19.2,1382,3.7,470,1.2,22494,59.7,157,0.4,2390,50.3,6.2,117991,0
Thai Elephant Express,37.3087506,-121.813537,"3005 Silver Creek Rd, San Jose, CA 95121, United States",ChIJR8Gmg4EyjoARZA5rODLvzxg,/biz/thai-elephant-express-san-jose?osq=Restaurants,4.5,95121,0,0.0897410776666667,7228,19.2,1382,3.7,470,1.2,22494,59.7,157,0.4,2390,50.3,6.2,117991,0
Leung Noodle,37.3087437,-121.8135356,"3005 Silver Creek Rd STE 130, San Jose, CA 95121, United States",ChIJJZPX7bEzjoARlT7suuVqj0w,/biz/leung-noodle-san-jose?osq=Restaurants,4.1,95121,0,0.106895399666667,7228,19.2,1382,3.7,470,1.2,22494,59.7,157,0.4,2390,50.3,6.2,117991,0
Oros Thai Restaurant,37.23631,-121.8051457,"6177 Santa Teresa Blvd, San Jose, CA 95123, United States",ChIJj-BjzC4ujoARQ-VKUYKLi2g,/biz/oros-thai-restaurant-san-jose?osq=Restaurants,3.9,95123,1,0.0170367776666667,34818,49,2280,3.2,551,0.8,18421,25.9,99,0.1,5717,50.4,4.4,124389,0
%C3%81 D%C3%B4ng Pho & Coffee,37.2506775,-121.8045342,"5643 Cottle Rd, San Jose, CA 95123, United States",ChIJD3qizU4vjoARuDiSUu_YEyo,/biz/%C3%A1-d%C3%B4ng-pho-and-coffee-san-jose?osq=Restaurants,4.3,95123,1,0.004746737,34818,49,2280,3.2,551,0.8,18421,25.9,99,0.1,5717,50.4,4.4,124389,0
Ramen Champ,37.2364455,-121.8031019,"6229 Santa Teresa Blvd, San Jose, CA 95119, United States",ChIJCbl9X1rGwoARQC9GGw0Uoys,/biz/ramen-champ-san-jose?osq=Restaurants,4.6,95119,0,0.0553807493333333,4784,46.2,185,1.8,53,0.5,3074,29.7,0,0,967,71,4.3,133017,0
The Crab Bay,37.3154555,-121.7921685,"3210 S White Rd, San Jose, CA 95148, United States",ChIJOcPX-MctjoARU6aS00Awswg,/biz/the-crab-bay-san-jose-2?osq=Restaurants,4.1,95148,1,0.0601720106666667,8770,18.5,1364,2.9,220,0.5,29287,61.9,289,0.6,2772,47.5,5.3,153433,0
Hankki House,37.2323791,-121.7749097,"125 Bernal Rd #60, San Jose, CA 95119, United States",ChIJwSFo1NEvjoARGRlphqqNVao,/biz/hankki-house-san-jose-2?osq=Restaurants,4.3,95119,0,0.0789052516666667,4784,46.2,185,1.8,53,0.5,3074,29.7,0,0,967,71,4.3,133017,0
The Grandview Restaurant,37.3648169,-121.7640633,"15005 Mt Hamilton Rd, Mt Hamilton, CA 95140, United States",ChIJvSL3urYrjoARUHY44YlujEY,/biz/the-grandview-restaurant-san-jose?osq=Restaurants,4,95140,1,0.418220099333333,88,74.6,0,0,0,0,30,25.4,0,0,0,0,0,119303,0