Restaurant,Latitude,Longitude,Address_x,Place-ID,URL,Stars,ZIP,Avg. Exposure,White,ofWhite,Black,ofBlack,AmericanIndaian,ofAI,Asian,ofAisan,NativeHawiian,ofNativeHawiian,Edu,ofEDU,Unemployment,Wealth,Attractions,Hotspot
Il Nido,47.5785424,-122.4111014,"2717 61st Ave SW, Seattle, WA 98116, United States",ChIJP5RfPuJBkFQRxXB_39jXjig,/biz/il-nido-seattle?osq=Restaurants,4.3,98116,0.111423653333333,22281,81.9,891,3.3,66,0.2,1392,5.1,20,0.1,3780,77.5,3.1,124795,1,1
Secret Congee,47.6743338,-122.4066349,"6301 Seaview Ave NW, Seattle, WA 98107, United States",ChIJj83BoEYVkFQRTNN2zLQ3rFo,/biz/secret-congee-seattle?osq=Restaurants,4.3,98107,0.137414350333333,20810,76.7,90,0.3,48,0.2,3534,13,0,0,7259,81,4.7,113531,1,1
Pink Salt Restaurant,47.6394341,-122.400599,"3321 W McGraw St, Seattle, WA 98199, United States",ChIJbf1Dj4AVkFQR8JANqqV1dZc,/biz/pink-salt-restaurant-seattle-2?osq=Restaurants,4.4,98199,0.133420668,17705,77.3,344,1.5,14,0.1,2760,12.1,96,0.4,3576,84,2.2,148878,1,1
Sunny Hill,47.6904269,-122.397965,"3127 NW 85th St, Seattle, WA 98117, United States",ChIJUUj0ydIXkFQRXFgrfw1yq6g,/biz/sunny-hill-seattle?osq=Restaurants,4.4,98117,0.017079609,29658,81.6,530,1.5,150,0.4,2411,6.6,30,0.1,4393,79.1,3.6,146887,1,0
Palisade,47.6303784,-122.3915819,"2601 W Marina Pl, Seattle, WA 98199, United States",ChIJg39eK9Y_kFQRdsvpmPqvLFw,/biz/palisade-seattle?osq=Restaurants,4,98199,0.203638573666667,17705,77.3,344,1.5,14,0.1,2760,12.1,96,0.4,3576,84,2.2,148878,1,1
Rupee Bar,47.6748298,-122.3878118,"6307 24th Ave NW, Seattle, WA 98107, United States",ChIJWT3Ta9AVkFQRuiC77lLA21k,/biz/rupee-bar-seattle?osq=Restaurants,4.3,98107,0.170745877,20810,76.7,90,0.3,48,0.2,3534,13,0,0,7259,81,4.7,113531,1,1
Copine,47.6756873,-122.3872603,"6460 24th Ave NW, Seattle, WA 98107, United States",ChIJu-q9V9AVkFQRBXOOMahzKeo,/biz/copine-seattle?osq=Restaurants,4.5,98107,0.156184801333333,20810,76.7,90,0.3,48,0.2,3534,13,0,0,7259,81,4.7,113531,1,1
Itto's Tapas,47.5647721,-122.3866213,"4160 California Ave SW, Seattle, WA 98116, United States",ChIJ9-hCmvdAkFQRFSDerXaqUPk,/biz/ittos-tapas-seattle-4?osq=Restaurants,4.5,98116,0.0170580286666667,22281,81.9,891,3.3,66,0.2,1392,5.1,20,0.1,3780,77.5,3.1,124795,1,1
Sailfish,47.6685165,-122.3859421,"2221 NW Market St, Seattle, WA 98107, United States",ChIJ8SobRUsVkFQRacLfanLhDDI,/biz/sailfish-seattle?osq=Restaurants,5,98107,0.156990116,20810,76.7,90,0.3,48,0.2,3534,13,0,0,7259,81,4.7,113531,1,1
Crackle Mi Vietnamese Grill,47.6695574,-122.3849259,"5605 22nd Ave NW, Seattle, WA 98107, United States",ChIJX-cXvEwVkFQRj-ybSRleHWI,/biz/crackle-mi-vietnamese-grill-seattle?osq=Restaurants,4.5,98107,0.09467666,20810,76.7,90,0.3,48,0.2,3534,13,0,0,7259,81,4.7,113531,1,1
Parish Northwest,47.6669301,-122.3841149,"5327 Ballard Ave NW, Seattle, WA 98107, United States",ChIJ4Rh3BL4VkFQRlWqnjUMW2io,/biz/parish-northwest-seattle?osq=Restaurants,3.9,98107,0.124157083,20810,76.7,90,0.3,48,0.2,3534,13,0,0,7259,81,4.7,113531,1,1
The Ballard Cut,47.6666088,-122.3836962,"5313 Ballard Ave NW Ste A, Seattle, WA 98107, United States",ChIJ68-ZzHsVkFQRsP7l4Y34PYI,/biz/the-ballard-cut-seattle?osq=Restaurants,4.6,98107,0.144413155333333,20810,76.7,90,0.3,48,0.2,3534,13,0,0,7259,81,4.7,113531,1,1
Asadero Ballard,47.6669209,-122.3826803,"5405 Leary Ave NW, Seattle, WA 98107, United States",ChIJS6quTsYVkFQRCqzcs081o0M,/biz/asadero-ballard-seattle?osq=Restaurants,4.3,98107,0.171546514333333,20810,76.7,90,0.3,48,0.2,3534,13,0,0,7259,81,4.7,113531,1,1
WeRo,47.6661008,-122.3824891,"5210 Ballard Ave NW, Seattle, WA 98107, United States",ChIJZwpdsJoVkFQR0LXashnphmM,/biz/wero-seattle-2?osq=Restaurants,4,98107,0.0213438866666667,20810,76.7,90,0.3,48,0.2,3534,13,0,0,7259,81,4.7,113531,1,1
Marination Ma Kai,47.5894362,-122.3805702,"1660 Harbor Ave SW, Seattle, WA 98126, United States",ChIJsRF59nJAkFQRKis-uc-e_1k,/biz/marination-ma-kai-seattle?osq=Restaurants,4.1,98126,0.143569597,14069,63.9,2873,13,148,0.7,2584,11.7,59,0.3,2921,70,4.8,97638,0,1
The Walrus and the Carpenter,47.663525,-122.3802179,"4743 Ballard Ave NW, Seattle, WA 98107, United States",ChIJb_F7YbgVkFQRbWwGfmPtcpk,/biz/the-walrus-and-the-carpenter-seattle?osq=Restaurants,4.2,98107,0.160696226666667,20810,76.7,90,0.3,48,0.2,3534,13,0,0,7259,81,4.7,113531,1,1
Watson's Counter,47.6739237,-122.3764817,"6201 15th Ave NW, Seattle, WA 98107, United States",ChIJMZ_W6bIVkFQRu6a-pKXBa1c,/biz/watsons-counter-seattle?osq=Restaurants,4.1,98107,0.146220138666667,20810,76.7,90,0.3,48,0.2,3534,13,0,0,7259,81,4.7,113531,1,1
Salty's Waterfront Seafood Grills,47.5865452,-122.3764401,"1936 Harbor Ave SW, Seattle, WA 98126, United States",ChIJf3t-c3NAkFQRi9LDc109NoQ,/biz/saltys-waterfront-seafood-grills-seattle?osq=Restaurants,3.8,98126,0.153275674,14069,63.9,2873,13,148,0.7,2584,11.7,59,0.3,2921,70,4.8,97638,0,1
The Fat Hen,47.679633,-122.3744747,"1418 NW 70th St, Seattle, WA 98117, United States",ChIJUxQeGS0UkFQRNZoXRF6Ba7g,/biz/the-fat-hen-seattle?osq=Restaurants,4.3,98117,0.076402049,29658,81.6,530,1.5,150,0.4,2411,6.6,30,0.1,4393,79.1,3.6,146887,1,1
Burb's Burgers Ballard,47.6659134,-122.3741085,"5101 14th Ave NW, Seattle, WA 98107, United States",ChIJiRBfWG4VkFQRJqZe5ukkIvw,/biz/burbs-burgers-ballard-seattle?osq=Restaurants,4.8,98107,0.0255658246666667,20810,76.7,90,0.3,48,0.2,3534,13,0,0,7259,81,4.7,113531,1,0
Dantini Pizza,47.6307475,-122.3740592,"1417 Elliott Ave W, Seattle, WA 98119, United States",ChIJiStfpWwVkFQRfc_pP7aMFZo,/biz/dantini-pizza-seattle?osq=Restaurants,4.7,98119,0.0344147056666667,18847,72.2,697,2.7,277,1.1,3206,12.3,26,0.1,5477,74.8,3.6,106245,1,1
Champagne Diner,47.6272928,-122.369721,"945 Elliott Ave W #201, Seattle, WA 98119, United States",ChIJGWRZNLAVkFQR20YevDrI7-Y,/biz/champagne-diner-seattle?osq=Restaurants,4.2,98119,0.118832755333333,18847,72.2,697,2.7,277,1.1,3206,12.3,26,0.1,5477,74.8,3.6,106245,1,1
Galos Flame Grilled Chicken,47.6627592,-122.3693054,"907 NW Ballard Way #100, Seattle, WA 98107, United States",ChIJC8QrMBIVkFQRffqJRmngnNY,/biz/galos-flame-grilled-chicken-seattle?osq=Restaurants,3.9,98107,0.149852573666667,20810,76.7,90,0.3,48,0.2,3534,13,0,0,7259,81,4.7,113531,1,1
S/T Hooligan's,47.660239,-122.365721,"4354 Leary Wy NW, Seattle, WA 98107, United States",ChIJg6YIc5AVkFQRfrEBBKYFfHQ,/biz/s-t-hooligans-seattle?osq=Restaurants,4.8,98107,0.143089614,20810,76.7,90,0.3,48,0.2,3534,13,0,0,7259,81,4.7,113531,1,1
Sisters And Brothers,47.6243646,-122.3650067,"544 Elliott Ave W #3910, Seattle, WA 98119, United States",ChIJ__-b8uxBkFQRCbsuH4HBRFY,/biz/sisters-and-brothers-seattle?osq=Restaurants,3.8,98119,0.135659990666667,18847,72.2,697,2.7,277,1.1,3206,12.3,26,0.1,5477,74.8,3.6,106245,1,1
Hamdi,47.6564335,-122.362018,"4012 Leary Wy NW, Seattle, WA 98107, United States",ChIJMwrndPEVkFQRlXfGXp7QSys,/biz/hamdi-seattle?osq=Restaurants,4.7,98103,0.0228612066666667,40302,77.2,1141,2.2,37,0.1,4983,9.5,115,0.2,13027,80.3,3.2,113443,1,1
Eden Hill Restaurant,47.6386933,-122.3571029,"2209 Queen Anne Ave N, Seattle, WA 98109, United States",ChIJCWY5dxIVkFQR3D_QE5SvDvY,/biz/eden-hill-restaurant-seattle-3?osq=Restaurants,4.4,98109,0.125475036333333,19021,64.8,1046,3.6,107,0.4,7081,24.1,33,0.1,10762,86.2,3.7,111059,1,1
Toulouse Petit Kitchen & Lounge,47.624725,-122.3568746,"601 Queen Anne Ave N, Seattle, WA 98109, United States",ChIJ_UHsyUMVkFQRucL7Hw-w7UE,/biz/toulouse-petit-kitchen-and-lounge-seattle?osq=Restaurants,4,98109,0.285203715,19021,64.8,1046,3.6,107,0.4,7081,24.1,33,0.1,10762,86.2,3.7,111059,1,1
Grappa,47.6385683,-122.3567435,"2 W Boston St, Seattle, WA 98109, United States",ChIJaelbcBIVkFQRct1p45ZC9rA,/biz/grappa-seattle?osq=Restaurants,4.2,98109,0.033999014,19021,64.8,1046,3.6,107,0.4,7081,24.1,33,0.1,10762,86.2,3.7,111059,1,1
How To Cook a Wolf,47.6387234,-122.3566423,"2208 Queen Anne Ave N, Seattle, WA 98109, United States",ChIJa-hJdxIVkFQRZ7LNdZtTpv4,/biz/how-to-cook-a-wolf-seattle?osq=Restaurants,4.1,98109,0.229929169,19021,64.8,1046,3.6,107,0.4,7081,24.1,33,0.1,10762,86.2,3.7,111059,1,1
How to Cook a Wolf,47.6387234,-122.3566423,"2208 Queen Anne Ave N, Seattle, WA 98109, United States",ChIJa-hJdxIVkFQRZ7LNdZtTpv4,/biz/how-to-cook-a-wolf-seattle-2?osq=Restaurants,3.9,98112,0.0170272813333333,19445,79.7,765,3.1,131,0.5,2164,8.9,17,0.1,3976,86.9,6.4,133267,1,1
Blackstar Kebabs,47.7193861,-122.3562072,"217 N 125th St, Seattle, WA 98133, United States",ChIJUwXX6uoXkFQRzUgdHF_SaC0,/biz/blackstar-kebabs-seattle?osq=Restaurants,4.3,98119,0.132594459,18847,72.2,697,2.7,277,1.1,3206,12.3,26,0.1,5477,74.8,3.6,106245,1,1
Paju,47.624392,-122.356115,"11 Mercer St, Seattle, WA 98109, United States",ChIJXcSoyoEVkFQRkS7RCcI00W4,/biz/paju-seattle-2?osq=Restaurants,4.5,98109,0.166216692666667,19021,64.8,1046,3.6,107,0.4,7081,24.1,33,0.1,10762,86.2,3.7,111059,1,1
Flintcreek Cattle,47.6904655,-122.3555423,"8421 Greenwood Ave N, Seattle, WA 98103, United States",ChIJPyXoviEUkFQRkIk-z2C6wxc,/biz/flintcreek-cattle-seattle-2?osq=Restaurants,4.4,98103,0.0042157323333333,40302,77.2,1141,2.2,37,0.1,4983,9.5,115,0.2,13027,80.3,3.2,113443,1,1
Moon Tree Sushi And Tapas,47.623931,-122.3552546,"516 1st Ave N, Seattle, WA 98109, United States",ChIJsYRXKbGqmlQRxJSq7KTm7o8,/biz/moon-tree-sushi-and-tapas-seattle?osq=Restaurants,4.6,98109,0.140726747,19021,64.8,1046,3.6,107,0.4,7081,24.1,33,0.1,10762,86.2,3.7,111059,1,1
C%C3%94BA,47.6242609004478,-122.355136244318,"530 1st Ave N  Seattle, WA 98109  Republican St & Mercer St  Lower Queen Anne",-,/biz/c%C3%B4ba-seattle-2?osq=Restaurants,4.3,98109,0.0126636973333333,19021,64.8,1046,3.6,107,0.4,7081,24.1,33,0.1,10762,86.2,3.7,111059,1,0
The Chicken Supply,47.6829025,-122.3549734,"7410 Greenwood Ave N, Seattle, WA 98103, United States",ChIJiZjQRGIVkFQRW9aqw8vwuqs,/biz/the-chicken-supply-seattle?osq=Restaurants,4.8,98103,0.138665372333333,40302,77.2,1141,2.2,37,0.1,4983,9.5,115,0.2,13027,80.3,3.2,113443,1,0
Windy City Pie,47.6723448,-122.354122,"5918 Phinney Ave N, Seattle, WA 98103, United States",ChIJYaB7fNRBkFQRmc2ZixO1zs4,/biz/windy-city-pie-seattle?osq=Restaurants,4.2,98103,0.0042125363333333,40302,77.2,1141,2.2,37,0.1,4983,9.5,115,0.2,13027,80.3,3.2,113443,1,0
Six Seven Restaurant,47.6123578,-122.3527254,"2411 Alaskan Wy Pier 67, Seattle, WA 98121, United States",ChIJhdZMaVIVkFQRi8VtUoNN7Qo,/biz/six-seven-restaurant-seattle-3?osq=Restaurants,4,98121,0.310497643,11309,53.8,837,4,18,0.1,6539,31.1,0,0,8044,88.2,4.1,135823,1,1
RASAI,47.6514678,-122.3526049,"473 N 36th St A, Seattle, WA 98103, United States",ChIJoSc0bnEVkFQRvpGzJW_Jeyc,/biz/rasai-seattle-3?osq=Restaurants,4,98103,0.140683751333333,40302,77.2,1141,2.2,37,0.1,4983,9.5,115,0.2,13027,80.3,3.2,113443,1,1
SWeL Restaurant,47.6506977,-122.3517785,"3417 Evanston Ave N UNIT 104, Seattle, WA 98103, United States",ChIJ_2PuQQcVkFQRf38j7opf3_4,/biz/swel-restaurant-seattle-2?osq=Restaurants,4.6,98103,0.004231989,40302,77.2,1141,2.2,37,0.1,4983,9.5,115,0.2,13027,80.3,3.2,113443,1,1
Salu-Salo Filipino Kitchen,47.6502210118433,-122.351766946766,"3401 Evanston Ave N, Seattle, WA 98103, United States",ChIJhbLiX3Mt3YARRaSI0DxM6uQ,/biz/salu-salo-filipino-kitchen-seattle-2?osq=Restaurants,4.8,98103,0.135658902666667,40302,77.2,1141,2.2,37,0.1,4983,9.5,115,0.2,13027,80.3,3.2,113443,1,1
19 GOLD,47.6515266,-122.350467,"3601 Fremont Ave N #101, Seattle, WA 98103, United States",ChIJubClpnYVkFQRDClLRAhB178,/biz/19-gold-seattle?osq=Restaurants,4.4,98103,0.132328159666667,40302,77.2,1141,2.2,37,0.1,4983,9.5,115,0.2,13027,80.3,3.2,113443,1,1
Le Coin,47.6578322,-122.3502598,"4201 Fremont Ave N, Seattle, WA 98103, United States",ChIJ-9QHml4VkFQRlEmUeSj0ysg,/biz/le-coin-seattle?osq=Restaurants,4.5,98103,0.135335064,40302,77.2,1141,2.2,37,0.1,4983,9.5,115,0.2,13027,80.3,3.2,113443,1,1
Lupo,47.6591431,-122.3502094,"4303 Fremont Ave N, Seattle, WA 98103, United States",ChIJB2r1NlMUkFQRMPEnsDpRkjY,/biz/lupo-seattle-3?osq=Restaurants,4.5,98103,0.0042125363333333,40302,77.2,1141,2.2,37,0.1,4983,9.5,115,0.2,13027,80.3,3.2,113443,1,1
Kin Len Thai Night Bites,47.6512737,-122.3501248,"3517 Fremont Ave N, Seattle, WA 98103, United States",ChIJAcrA3ZMVkFQRS16FQgt6wqs,/biz/kin-len-thai-night-bites-seattle-2?osq=Restaurants,4.3,98103,0.135245236666667,40302,77.2,1141,2.2,37,0.1,4983,9.5,115,0.2,13027,80.3,3.2,113443,1,0
Some Random Bar,47.6154998,-122.3498465,"2604 1st Ave, Seattle, WA 98121, United States",ChIJs0wbQE4VkFQRXDfBCoEe708,/biz/some-random-bar-seattle?osq=Restaurants,4.5,98121,0.179504657666667,11309,53.8,837,4,18,0.1,6539,31.1,0,0,8044,88.2,4.1,135823,1,1
Fremont Bowl,47.6590361,-122.3498285,"4258 Fremont Ave N Ste #4262, Seattle, WA 98103, United States",ChIJgV02SFMUkFQR5t7rmPBc6gI,/biz/fremont-bowl-seattle-2?osq=Restaurants,4.4,98103,0.004235297,40302,77.2,1141,2.2,37,0.1,4983,9.5,115,0.2,13027,80.3,3.2,113443,1,1
Black Bottle,47.6154276,-122.3497142,"2600 1st Ave, Seattle, WA 98121, United States",ChIJ85VcQU4VkFQRbXE1N1laIMY,/biz/black-bottle-seattle-2?osq=Restaurants,3.9,98121,0.107106725666667,11309,53.8,837,4,18,0.1,6539,31.1,0,0,8044,88.2,4.1,135823,1,0
RockCreek Seafood & Spirits,47.6594856,-122.3496932,"4300 Fremont Ave N, Seattle, WA 98103, United States",ChIJ27JSH1MUkFQR1baxwA59nhk,/biz/rockcreek-seafood-and-spirits-seattle?osq=Restaurants,4.4,98103,0.135591495666667,40302,77.2,1141,2.2,37,0.1,4983,9.5,115,0.2,13027,80.3,3.2,113443,1,1
Esters Enoteca,47.6501225,-122.3496245,"3416 Fremont Ave N, Seattle, WA 98103, United States",ChIJAV8i0zkVkFQRsicBeuZ0wdY,/biz/esters-enoteca-seattle?osq=Restaurants,4.5,98103,0.0254164143333333,40302,77.2,1141,2.2,37,0.1,4983,9.5,115,0.2,13027,80.3,3.2,113443,1,1
Sushi Blossom,47.6176129,-122.3490479,"2720 3rd Ave, Seattle, WA 98121, United States",ChIJt7OYoFBrkFQRNnREW4oMMs4,/biz/sushi-blossom-seattle-4?osq=Restaurants,4.8,98121,0.036482403,11309,53.8,837,4,18,0.1,6539,31.1,0,0,8044,88.2,4.1,135823,1,1
SZN,47.6270155,-122.3478792,"823 5th Ave N, Seattle, WA 98109, United States",ChIJf83fwX0VkFQR66z9i-YKsoo,/biz/szn-seattle?osq=Restaurants,4.1,98109,0.0490805356666667,19021,64.8,1046,3.6,107,0.4,7081,24.1,33,0.1,10762,86.2,3.7,111059,1,1
Cafe Turko,47.649398,-122.347778,"750 N 34th St, Seattle, WA 98103, United States",ChIJx-hLLQEVkFQRLCuaoUU__C4,/biz/cafe-turko-seattle-4?osq=Restaurants,4.3,98103,0.0388692536666667,40302,77.2,1141,2.2,37,0.1,4983,9.5,115,0.2,13027,80.3,3.2,113443,1,1
Karaage Setsuna,47.6150913,-122.3477633,"2429 2nd Ave, Seattle, WA 98121, United States",ChIJqZKYe04VkFQREw6b8VUjwkg,/biz/karaage-setsuna-seattle?osq=Restaurants,4.4,98121,0.127027475,11309,53.8,837,4,18,0.1,6539,31.1,0,0,8044,88.2,4.1,135823,1,1
Tilikum Place Cafe,47.6179441,-122.3476806,"407 Cedar St, Seattle, WA 98121, United States",ChIJ6TtIO08VkFQRRNn6uHOo27g,/biz/tilikum-place-cafe-seattle-3?osq=Restaurants,4.3,98121,0.421895463333333,11309,53.8,837,4,18,0.1,6539,31.1,0,0,8044,88.2,4.1,135823,1,1
wa'z,47.6180419,-122.3475534,"411 Cedar St, Seattle, WA 98121, United States",ChIJDfrPOk8VkFQRcU4MAd8ge_8,/biz/wa-z-seattle?osq=Restaurants,4.5,98121,0.0085146096666666,11309,53.8,837,4,18,0.1,6539,31.1,0,0,8044,88.2,4.1,135823,1,1
Cafe Opla,47.6110132,-122.3475165,"2200 Alaskan Wy #120, Seattle, WA 98121, United States",ChIJxbeJhFIVkFQRJXdfn17jAsk,/biz/cafe-opla-seattle?osq=Restaurants,4.1,98121,0.0758168846666667,11309,53.8,837,4,18,0.1,6539,31.1,0,0,8044,88.2,4.1,135823,1,1
Shiro's,47.6147775,-122.3474324,"2401 2nd Ave, Seattle, WA 98121, United States",ChIJUwKffU4VkFQRVMTVWrCtcLE,/biz/shiros-seattle?osq=Restaurants,4.3,98121,0.135366991333333,11309,53.8,837,4,18,0.1,6539,31.1,0,0,8044,88.2,4.1,135823,1,1
Bongos,47.6767482,-122.3468104,"6501 Aurora Ave N, Seattle, WA 98103, United States",ChIJA9bQvzgUkFQRpFNnEu5lcPk,/biz/bongos-seattle?osq=Restaurants,4.6,98103,0.161754550666667,40302,77.2,1141,2.2,37,0.1,4983,9.5,115,0.2,13027,80.3,3.2,113443,1,0
Canlis,47.6430933,-122.3467535,"2576 Aurora Ave N, Seattle, WA 98109, United States",ChIJRXCfNwUVkFQRxraD8U-dANE,/biz/canlis-seattle?osq=Restaurants,4.1,98109,0.133889433333333,19021,64.8,1046,3.6,107,0.4,7081,24.1,33,0.1,10762,86.2,3.7,111059,1,1
Petra Bistro,47.6166669,-122.3465717,"2501 4th Ave, Seattle, WA 98121, United States",ChIJcT5VOshckFQRJC9PHk4mjyM,/biz/petra-bistro-seattle?osq=Restaurants,4.3,98121,0.0693894086666667,11309,53.8,837,4,18,0.1,6539,31.1,0,0,8044,88.2,4.1,135823,1,1
Shinya Shokudo - Seattle,47.6153644,-122.3465503,"2401 3rd Ave, Seattle, WA 98121, United States",ChIJ-9XO9NsVkFQRM-3sknljYm4,/biz/shinya-shokudo-seattle-seattle-2?osq=Restaurants,4,98121,0.136779663,11309,53.8,837,4,18,0.1,6539,31.1,0,0,8044,88.2,4.1,135823,1,0
Bangrak Market,47.6143105,-122.3464699,"2319 2nd Ave, Seattle, WA 98121, United States",ChIJI-BoPiQVkFQR4oyXmWwhGbI,/biz/bangrak-market-seattle?osq=Restaurants,4.2,98121,0.194243375666667,11309,53.8,837,4,18,0.1,6539,31.1,0,0,8044,88.2,4.1,135823,1,1
Chiho Bistro,47.6148746,-122.3464274,"2330 2nd Ave, Seattle, WA 98121, United States",ChIJn3FkYQYVkFQRHzoP_DJA-4Y,/biz/chiho-bistro-seattle?osq=Restaurants,4.6,98121,0.144939165,11309,53.8,837,4,18,0.1,6539,31.1,0,0,8044,88.2,4.1,135823,1,1
Lai Rai Restaurant and Bar,47.6134198,-122.3462787,"2234 1st Ave, Seattle, WA 98121, United States",ChIJH2Ta2O4VkFQRzrEAzPhzjd0,/biz/lai-rai-restaurant-and-bar-seattle?osq=Restaurants,4.5,98121,0.004262477,11309,53.8,837,4,18,0.1,6539,31.1,0,0,8044,88.2,4.1,135823,1,1
Wasabi Sushi & Izakaya,47.6141611,-122.3461889,"2311 2nd Ave, Seattle, WA 98121, United States",ChIJrRIczU0VkFQRCy-ASSOUXHY,/biz/wasabi-sushi-and-izakaya-seattle?osq=Restaurants,4.1,98121,0.0042189463333333,11309,53.8,837,4,18,0.1,6539,31.1,0,0,8044,88.2,4.1,135823,1,0
Umi Sake House,47.6133004,-122.3461008,"2230 1st Ave, Seattle, WA 98121, United States",ChIJlwUFuk0VkFQRzdTvH0McgL0,/biz/umi-sake-house-seattle?osq=Restaurants,4.1,98121,0.0651531613333333,11309,53.8,837,4,18,0.1,6539,31.1,0,0,8044,88.2,4.1,135823,1,1
Rocco's,47.6144632,-122.346061,"2312 2nd Ave, Seattle, WA 98121, United States",ChIJ5-MKSkwVkFQR6uTnu8Akzf0,/biz/roccos-seattle?osq=Restaurants,4.2,98121,0.137946354,11309,53.8,837,4,18,0.1,6539,31.1,0,0,8044,88.2,4.1,135823,1,1
List,47.6132631,-122.3460463,"2226 1st Ave, Seattle, WA 98121, United States",ChIJr8lZuk0VkFQR-fjeDQnny5I,/biz/list-seattle?osq=Restaurants,4.3,98121,0.211593493,11309,53.8,837,4,18,0.1,6539,31.1,0,0,8044,88.2,4.1,135823,1,1
Citizen,47.6256943,-122.3459624,"706 Taylor Ave N, Seattle, WA 98109, United States",ChIJHVQ7VkcVkFQRqX1RPUYV9DQ,/biz/citizen-seattle?osq=Restaurants,3.8,98109,0.132918026,19021,64.8,1046,3.6,107,0.4,7081,24.1,33,0.1,10762,86.2,3.7,111059,1,1
Tavol%C3%A0ta,47.61581,-122.34568,"2323 2nd Ave  Seattle, WA 98121  Battery St & State Route 99  Belltown",-,/biz/tavol%C3%A0ta-seattle-6?osq=Restaurants,4,98121,0.157629355333333,11309,53.8,837,4,18,0.1,6539,31.1,0,0,8044,88.2,4.1,135823,1,1
Hatch Cantina,47.6142952,-122.3456437,"200 Bell St, Seattle, WA 98121, United States",ChIJgYW-hfEVkFQRC-tTG6s4qDY,/biz/hatch-cantina-seattle?osq=Restaurants,4.3,98121,0.0297129873333333,11309,53.8,837,4,18,0.1,6539,31.1,0,0,8044,88.2,4.1,135823,1,1
Aburiya Bento House,47.6113741,-122.3449459,"2100 Western Ave b, Seattle, WA 98121, United States",ChIJFZ8dQE0VkFQRUsLgjcNSAIk,/biz/aburiya-bento-house-seattle-2?osq=Restaurants,4.4,98121,0.151713733666667,11309,53.8,837,4,18,0.1,6539,31.1,0,0,8044,88.2,4.1,135823,1,0
Aerlume,47.6106445,-122.3447539,"2003 Western Ave Suite C, Seattle, WA 98121, United States",ChIJ-42sd3QVkFQRuLT1DqxuGsM,/biz/aerlume-seattle-2?osq=Restaurants,4.1,98121,0.0042125363333333,11309,53.8,837,4,18,0.1,6539,31.1,0,0,8044,88.2,4.1,135823,1,1
Korean Bamboo,47.6147685,-122.344478,"2236 3rd Ave, Seattle, WA 98121, United States",ChIJy3tqPUwVkFQRuEM8cw5X8aY,/biz/korean-bamboo-seattle-3?osq=Restaurants,4.1,98121,0.124223309666667,11309,53.8,837,4,18,0.1,6539,31.1,0,0,8044,88.2,4.1,135823,1,0
