Restaurant,Latitude,Longitude,Address_x,Place-ID,URL,Stars,ZIP,Avg. Exposure,White,ofWhite,Black,ofBlack,AmericanIndaian,ofAI,Asian,ofAisan,NativeHawiian,ofNativeHawiian,Edu,ofEDU,Unemployment,Wealth,Attractions,Hotspot
Sugo Hand Roll Bar,47.6106632,-122.3443931,"2001 Western Ave #110, Seattle, WA 98121, United States",ChIJu7etpnAVkFQRVxcLsAKUXsY,/biz/sugo-hand-roll-bar-seattle-2?osq=Restaurants,4.1,98121,0.172258851333333,11309,53.8,837,4,18,0.1,6539,31.1,0,0,8044,88.2,4.1,135823,1,0
Kamonegi,47.6541207,-122.3443815,"1054 N 39th St, Seattle, WA 98103, United States",ChIJL3l1VVUUkFQR9DzkOndnea8,/biz/kamonegi-seattle?osq=Restaurants,4.2,98103,0.183219413333333,40302,77.2,1141,2.2,37,0.1,4983,9.5,115,0.2,13027,80.3,3.2,113443,1,0
My Friend Derek's,47.6506808,-122.3442012,"3601 Woodland Park Ave N, Seattle, WA 98103, United States",ChIJk56DkvYVkFQRSUYWuOae1As,/biz/my-friend-dereks-seattle?osq=Restaurants,4.9,98103,0.128600839333333,40302,77.2,1141,2.2,37,0.1,4983,9.5,115,0.2,13027,80.3,3.2,113443,1,1
Hannyatou,47.6539785,-122.3441822,"1060 N 39th St, Seattle, WA 98103, United States",ChIJzQO_lT0VkFQR0Zgt6C8CO44,/biz/hannyatou-seattle-2?osq=Restaurants,4.7,98103,0.149660566666667,40302,77.2,1141,2.2,37,0.1,4983,9.5,115,0.2,13027,80.3,3.2,113443,1,0
Niku Niku Japanese Barbecue,47.7248023,-122.3432746,"13200 Aurora Ave N APT G, Seattle, WA 98133, United States",ChIJSU_qS-kRkFQRSLQgggoeu4Q,/biz/niku-niku-japanese-barbecue-seattle?osq=Restaurants,4.5,98133,0.170754860333333,31163,62.1,5006,10,131,0.3,7538,15,270,0.5,5238,55.8,4,77602,0,0
Maiz Molino,47.6169993,-122.3431173,"2325 6th Ave, Seattle, WA 98121, United States",ChIJD9qH4UUVkFQRSD5K9TrQwow,/biz/maiz-molino-seattle?osq=Restaurants,4.8,98121,0.166422285666667,11309,53.8,837,4,18,0.1,6539,31.1,0,0,8044,88.2,4.1,135823,1,1
Manolin,47.6510002,-122.3431121,"3621 Stone Way N, Seattle, WA 98103, United States",ChIJB0SMyQEVkFQRTtRHdDmDrAU,/biz/manolin-seattle?osq=Restaurants,4.3,98103,0.139709848,40302,77.2,1141,2.2,37,0.1,4983,9.5,115,0.2,13027,80.3,3.2,113443,1,0
Aroom Coffee,47.6532088,-122.3428299,"3801 Stone Way N Suite C, Seattle, WA 98103, United States",ChIJXdf_zd0VkFQRCZssDEesjrA,/biz/aroom-coffee-seattle?osq=Restaurants,4.8,98103,0.0044398303333333,40302,77.2,1141,2.2,37,0.1,4983,9.5,115,0.2,13027,80.3,3.2,113443,1,1
G.H. Pasta Co.,47.616764,-122.3426122,"2305 6th Ave, Seattle, WA 98121, United States",ChIJn1snurkVkFQRoXSWAz8fGlA,/biz/g-h-pasta-co-seattle?osq=Restaurants,4.3,98121,0.0428717906666667,11309,53.8,837,4,18,0.1,6539,31.1,0,0,8044,88.2,4.1,135823,1,0
Tanoor,47.6269424,-122.3425929,"803 Dexter Ave N, Seattle, WA 98109, United States",ChIJB4cLynUVkFQRjp-bK-ONsjg,/biz/tanoor-seattle-3?osq=Restaurants,4.5,98109,0.195929657666667,19021,64.8,1046,3.6,107,0.4,7081,24.1,33,0.1,10762,86.2,3.7,111059,1,1
The Pink Door,47.6103652,-122.3425604,"1919 Post Alley, Seattle, WA 98101, United States",ChIJ91YOzrJqkFQRKmSW0B1qrbo,/biz/the-pink-door-seattle-4?osq=Restaurants,4.4,98101,0.950790633333333,8296,57.1,1182,8.1,38,0.3,4037,27.8,0,0,4346,85.5,2.8,96893,1,1
Old Stove Brewing,47.6094509,-122.3425459,"1901 Western Ave, Seattle, WA 98101, United States",ChIJy5yh7LJqkFQRwDkAcw9At84,/biz/old-stove-brewing-seattle-3?osq=Restaurants,4.3,98101,0.195788863333333,8296,57.1,1182,8.1,38,0.3,4037,27.8,0,0,4346,85.5,2.8,96893,1,1
True North Taproom,47.6267422,-122.3425282,"801 Dexter Ave N, Seattle, WA 98109, United States",ChIJpXh81zgVkFQRnBVH3Ima5nI,/biz/true-north-taproom-seattle?osq=Restaurants,4.7,98109,0.143196216666667,19021,64.8,1046,3.6,107,0.4,7081,24.1,33,0.1,10762,86.2,3.7,111059,1,0
Joule,47.6496691,-122.3424523,"3506 Stone Way N, Seattle, WA 98103, United States",ChIJuYtsjwEVkFQRob4r6zLnnzw,/biz/joule-seattle?osq=Restaurants,4,98103,0.148748859666667,40302,77.2,1141,2.2,37,0.1,4983,9.5,115,0.2,13027,80.3,3.2,113443,1,1
Piroshky Piroshky,47.6099152,-122.3423799,"1908 Pike Pl, Seattle, WA 98101, United States",ChIJRVYKxrJqkFQRFo-ZLZKrfRs,/biz/piroshky-piroshky-seattle?osq=Restaurants,4.3,98101,0.239096356,8296,57.1,1182,8.1,38,0.3,4037,27.8,0,0,4346,85.5,2.8,96893,1,1
Stone Korean Restaurant,47.6272525,-122.3421365,"900 Dexter Ave N, Seattle, WA 98109, United States",ChIJ38esPvIVkFQRfUKcORRZdW8,/biz/stone-korean-restaurant-seattle-2?osq=Restaurants,4.1,98109,0.172031108666667,19021,64.8,1046,3.6,107,0.4,7081,24.1,33,0.1,10762,86.2,3.7,111059,1,0
Beecher's Handmade Cheese,47.6095818,-122.3418983,"1600 Pike Pl, Seattle, WA 98101, United States",ChIJ-cM_wrJqkFQR-c9Pb593-yk,/biz/beechers-handmade-cheese-seattle?osq=Restaurants,4.3,98101,0.0605448196666667,8296,57.1,1182,8.1,38,0.3,4037,27.8,0,0,4346,85.5,2.8,96893,1,1
Shaker + Spear,47.61351,-122.34175,"2000 2nd Ave  Seattle, WA 98121  Lenora St & Virginia St  Belltown",-,/biz/shaker-spear-seattle-2?osq=Restaurants,4.4,98121,0.275988703666667,11309,53.8,837,4,18,0.1,6539,31.1,0,0,8044,88.2,4.1,135823,1,1
Biscuit Bitch,47.610365,-122.3417,"1909 1st Ave, Seattle, WA 98101, United States",ChIJ9Z7V1rJqkFQR4PQw1WfZh3M,/biz/biscuit-bitch-seattle?osq=Restaurants,4.1,98101,0.297354959,8296,57.1,1182,8.1,38,0.3,4037,27.8,0,0,4346,85.5,2.8,96893,1,1
Biscuit Bitch,47.610365,-122.3417,"1909 1st Ave, Seattle, WA 98101, United States",ChIJ9Z7V1rJqkFQR4PQw1WfZh3M,/biz/biscuit-bitch-seattle-9?osq=Restaurants,4.3,98121,0.146706147,11309,53.8,837,4,18,0.1,6539,31.1,0,0,8044,88.2,4.1,135823,1,1
Zig Zag Cafe,47.6083333,-122.3416667,"1501 Western Ave Ste 202, Seattle, WA 98101, United States",ChIJUQY5irJqkFQRNyEM-1Nq3oQ,/biz/zig-zag-cafe-seattle-2?osq=Restaurants,4.3,98101,0.158115134666667,8296,57.1,1182,8.1,38,0.3,4037,27.8,0,0,4346,85.5,2.8,96893,1,0
Sushi Kashiba,47.6099177,-122.3415365,"86 Pine St Suite #1, Seattle, WA 98101, United States",ChIJFS-l3bJqkFQRLsPudqgFD-4,/biz/sushi-kashiba-seattle?osq=Restaurants,4.4,98101,0.132261500333333,8296,57.1,1182,8.1,38,0.3,4037,27.8,0,0,4346,85.5,2.8,96893,1,1
Conversation,47.6105739,-122.3412987,"110 Stewart St, Seattle, WA 98101, United States",ChIJbXcZ2LJqkFQRpTSIOx58B4w,/biz/conversation-seattle?osq=Restaurants,3.9,98101,0.135176658333333,8296,57.1,1182,8.1,38,0.3,4037,27.8,0,0,4346,85.5,2.8,96893,1,0
Pike Place Chowder,47.6094243,-122.3412192,"1530 Post Alley, Seattle, WA 98101, United States",ChIJldHS8bJqkFQRJ3mW7Hb1pQ0,/biz/pike-place-chowder-seattle?osq=Restaurants,4.4,98101,0.185734067333333,8296,57.1,1182,8.1,38,0.3,4037,27.8,0,0,4346,85.5,2.8,96893,1,1
Market Grill,47.6090843,-122.3409379,"1509 Pike Pl #3, Seattle, WA 98101, United States",ChIJU2Vb9rJqkFQR9JH9oyUp8ns,/biz/market-grill-seattle?osq=Restaurants,4.3,98101,0.174771738333333,8296,57.1,1182,8.1,38,0.3,4037,27.8,0,0,4346,85.5,2.8,96893,1,0
Serious Pie Downtown,47.6128598,-122.3406134,"2001 4th Ave, Seattle, WA 98121, United States",ChIJSXeVvUwVkFQRcNZSuiadHdA,/biz/serious-pie-downtown-seattle-2?osq=Restaurants,4.1,98121,0.165920750666667,11309,53.8,837,4,18,0.1,6539,31.1,0,0,8044,88.2,4.1,135823,1,0
Radiator Whiskey,47.608994,-122.3405592,"94 Pike St #30, Seattle, WA 98101, United States",ChIJt6GM-bJqkFQRE8bmHiV_3ws,/biz/radiator-whiskey-seattle?osq=Restaurants,4.4,98101,0.213945445,8296,57.1,1182,8.1,38,0.3,4037,27.8,0,0,4346,85.5,2.8,96893,1,1
The Crumpet Shop,47.6090398,-122.3405168,"1503 1st Ave, Seattle, WA 98101, United States",ChIJBx-J_rJqkFQRlLepwvXHbuo,/biz/the-crumpet-shop-seattle?osq=Restaurants,4.5,98101,0.0042125363333333,8296,57.1,1182,8.1,38,0.3,4037,27.8,0,0,4346,85.5,2.8,96893,1,1
Assaggio Ristorante,47.6134065,-122.3403308,"2010 4th Ave, Seattle, WA 98121, United States",ChIJdXyoYksVkFQRtVlTL_VhW-c,/biz/assaggio-ristorante-seattle?osq=Restaurants,4,98121,0.139016234,11309,53.8,837,4,18,0.1,6539,31.1,0,0,8044,88.2,4.1,135823,1,0
The Victor Tavern,47.6153745,-122.3403211,"2121 6th Ave, Seattle, WA 98121, United States",ChIJ2fJh2RoVkFQRm2sEB9TX1bo,/biz/the-victor-tavern-seattle?osq=Restaurants,4,98121,0.132719868333333,11309,53.8,837,4,18,0.1,6539,31.1,0,0,8044,88.2,4.1,135823,1,0
Elliott's Oyster House,47.6054633,-122.3402518,"1201 Alaskan Wy Ste 100, Seattle, WA 98101, United States",ChIJfToLAa5qkFQRRKwO4L3kGUU,/biz/elliotts-oyster-house-seattle-2?osq=Restaurants,3.9,98101,0.248742657,8296,57.1,1182,8.1,38,0.3,4037,27.8,0,0,4346,85.5,2.8,96893,1,0
2120,47.6156966,-122.3402339,"2120 6th Ave, Seattle, WA 98121, United States",ChIJ1cTwwEsVkFQR-DZTmpDOOWI,/biz/2120-seattle?osq=Restaurants,4.2,98121,0.240613722666667,11309,53.8,837,4,18,0.1,6539,31.1,0,0,8044,88.2,4.1,135823,1,0
Lola,47.6133184,-122.3401856,"2000 4th Ave, Seattle, WA 98121, United States",ChIJF1wFnkwVkFQRTgUNrzxCBtQ,/biz/lola-seattle?osq=Restaurants,4.1,98121,0.251776937666667,11309,53.8,837,4,18,0.1,6539,31.1,0,0,8044,88.2,4.1,135823,1,0
Hurry Curry of Tokyo - Seattle,47.6219142,-122.3400841,"825 Harrison St, Seattle, WA 98109, United States",ChIJR_81-DcVkFQRA45NENHOdPc,/biz/hurry-curry-of-tokyo-seattle-seattle?osq=Restaurants,3.3,98109,0.122529235,19021,64.8,1046,3.6,107,0.4,7081,24.1,33,0.1,10762,86.2,3.7,111059,1,1
Pasta Casalinga,47.6084776,-122.3399556,"93 Pike St #201, Seattle, WA 98101, United States",ChIJAdP3V7JqkFQRh3g6UpDngzY,/biz/pasta-casalinga-seattle?osq=Restaurants,4.6,98101,0.142780161,8296,57.1,1182,8.1,38,0.3,4037,27.8,0,0,4346,85.5,2.8,96893,1,1
mkt.,47.6215227,-122.3399096,"325 9th Ave N, Seattle, WA 98109, United States",ChIJ4apwmMUVkFQRfVYu-Q1HtlA,/biz/mkt-seattle?osq=Restaurants,4.4,98103,0.133684022,40302,77.2,1141,2.2,37,0.1,4983,9.5,115,0.2,13027,80.3,3.2,113443,1,0
Jack's Chicken Shack,47.6205241,-122.3396127,"228 9th Ave N, Seattle, WA 98109, United States",ChIJp6l5ihgVkFQRs7CGZMuS82g,/biz/jacks-chicken-shack-seattle?osq=Restaurants,4.2,98109,0.0857586483333333,19021,64.8,1046,3.6,107,0.4,7081,24.1,33,0.1,10762,86.2,3.7,111059,1,1
Evoke Cafe Bar,47.6205512,-122.3395949,"234 9th Ave N, Seattle, WA 98109, United States",ChIJq8K12DcVkFQRdPGoNaBvVUQ,/biz/evoke-cafe-bar-seattle?osq=Restaurants,5,98109,0.0043817386666666,19021,64.8,1046,3.6,107,0.4,7081,24.1,33,0.1,10762,86.2,3.7,111059,1,1
La Palmera Family Restaurant,47.6241627,-122.3395719,"901 Mercer St, Seattle, WA 98109, United States",ChIJXarlsTkVkFQRXVFAPGOq3nU,/biz/la-palmera-family-restaurant-seattle?osq=Restaurants,3.9,98109,0.139861935,19021,64.8,1046,3.6,107,0.4,7081,24.1,33,0.1,10762,86.2,3.7,111059,1,1
Art Marble 21,47.6265993,-122.3395,"731 Westlake Ave N, Seattle, WA 98109, United States",ChIJi_27bjkVkFQRmUzT1V160Gg,/biz/art-marble-21-seattle-2?osq=Restaurants,3.3,98109,0.136095302,19021,64.8,1046,3.6,107,0.4,7081,24.1,33,0.1,10762,86.2,3.7,111059,1,0
Ben Paris,47.6093707,-122.3393561,"130 Pike St, Seattle, WA 98101, United States",ChIJtRCZSe9rkFQRxl4Y_upZoF0,/biz/ben-paris-seattle?osq=Restaurants,4.1,98101,0.131718185,8296,57.1,1182,8.1,38,0.3,4037,27.8,0,0,4346,85.5,2.8,96893,1,1
Sizzle&Crunch,47.6239414,-122.3391927,"500 9th Ave N ste 150, Seattle, WA 98109, United States",ChIJR64lnCAVkFQRqGLApG7WTqw,/biz/sizzle-and-crunch-seattle-2?osq=Restaurants,4,98109,0.1630528,19021,64.8,1046,3.6,107,0.4,7081,24.1,33,0.1,10762,86.2,3.7,111059,1,0
Maria Sabina Mexican Restaurant & Bar,47.626102,-122.3391079,"711 Westlake Ave N, Seattle, WA 98109, United States",ChIJMaw2QUwVkFQR4MPaPS7YqCM,/biz/maria-sabina-mexican-restaurant-and-bar-seattle?osq=Restaurants,4.6,98109,0.175714425333333,19021,64.8,1046,3.6,107,0.4,7081,24.1,33,0.1,10762,86.2,3.7,111059,1,1
Japonessa Sushi Cocina,47.6080322,-122.338974,"1400 1st Ave, Seattle, WA 98101, United States",ChIJUwksT7JqkFQR3kjlZYrA0XY,/biz/japonessa-sushi-cocina-seattle?osq=Restaurants,4.1,98101,0.170359515333333,8296,57.1,1182,8.1,38,0.3,4037,27.8,0,0,4346,85.5,2.8,96893,1,0
re:public,47.6229136,-122.3386539,"429 Westlake Ave N, Seattle, WA 98109, United States",ChIJZ7vyKjgVkFQR5znRuHMGFxg,/biz/re-public-seattle-2?osq=Restaurants,3.8,98109,0.229717641666667,19021,64.8,1046,3.6,107,0.4,7081,24.1,33,0.1,10762,86.2,3.7,111059,1,1
The Butcher's Table,47.6175093,-122.3385542,"2121 Westlake Ave, Seattle, WA 98121, United States",ChIJpylJiEkVkFQRNfzgg6jksp8,/biz/the-butchers-table-seattle?osq=Restaurants,4.1,98121,0.153092288,11309,53.8,837,4,18,0.1,6539,31.1,0,0,8044,88.2,4.1,135823,1,1
Marination,47.6147031,-122.3385215,"2000 6th Ave, Seattle, WA 98121, United States",ChIJSzFUr0sVkFQRsxbiyJvLEKM,/biz/marination-seattle-2?osq=Restaurants,3.8,98121,0.130226713,11309,53.8,837,4,18,0.1,6539,31.1,0,0,8044,88.2,4.1,135823,1,1
Von's 1000 Spirits,47.6066052,-122.3384085,"1225 1st Ave, Seattle, WA 98101, United States",ChIJYSjPILJqkFQRE-m7s1g6K0Y,/biz/vons-1000-spirits-seattle-4?osq=Restaurants,4.4,98101,0.204365956,8296,57.1,1182,8.1,38,0.3,4037,27.8,0,0,4346,85.5,2.8,96893,1,1
Katsu-ya Seattle,47.6193103,-122.3382151,"122 Westlake Ave N, Seattle, WA 98109, United States",ChIJBV8Qe9wVkFQRfpwZ8B2ERw4,/biz/katsu-ya-seattle-seattle?osq=Restaurants,4.5,98109,0.321080952666667,19021,64.8,1046,3.6,107,0.4,7081,24.1,33,0.1,10762,86.2,3.7,111059,1,1
The MARKET Seattle,47.607309,-122.3381331,"1300 1st Ave, Seattle, WA 98101, United States",ChIJqSlBVlZrkFQR7eIn0z-R7ag,/biz/the-market-seattle-seattle-3?osq=Restaurants,4.3,98101,0.193844973333333,8296,57.1,1182,8.1,38,0.3,4037,27.8,0,0,4346,85.5,2.8,96893,1,1
Cinque Terre Ristorante,47.6150536,-122.3380046,"2001 Westlake Ave, Seattle, WA 98121, United States",ChIJ1SMKqUsVkFQRLqd5ovPxvuE,/biz/cinque-terre-ristorante-seattle?osq=Restaurants,4,98121,0.107048095333333,11309,53.8,837,4,18,0.1,6539,31.1,0,0,8044,88.2,4.1,135823,1,1
Skalka,47.6049225,-122.3377708,"77 Spring St, Seattle, WA 98104, United States",ChIJiZZ2--prkFQRrDTwYSQHtW0,/biz/skalka-seattle-4?osq=Restaurants,4.6,98104,0.256967978,7231,50,1448,10,107,0.7,3958,27.4,63,0.4,2853,58.9,5.6,60955,1,0
Kaosamai Thai Food Truck,47.6196007,-122.3376246,"975 John St, Seattle, WA 98109, United States",ChIJFdX0qoQVkFQRpnbOW4ga0SY,/biz/kaosamai-thai-food-truck-seattle-4?osq=Restaurants,4.2,98109,0.0127093356666667,19021,64.8,1046,3.6,107,0.4,7081,24.1,33,0.1,10762,86.2,3.7,111059,1,0
iconiq,47.6123793,-122.3374736,"1601 5th Ave Suite 900, Seattle, WA 98101, United States",ChIJG_I5CdgTz2IRNuXtuxeIAzE,/biz/iconiq-seattle?osq=Restaurants,4.3,98144,0.143175408,15339,48.5,4794,15.1,298,0.9,6521,20.6,214,0.7,5350,72,4,90239,0,1
Barolo Ristorante,47.6146633,-122.3374525,"1940 Westlake Ave, Seattle, WA 98101, United States",ChIJX6U7AksVkFQRrEjQU0XxtsQ,/biz/barolo-ristorante-seattle?osq=Restaurants,4,98101,0.055136587,8296,57.1,1182,8.1,38,0.3,4037,27.8,0,0,4346,85.5,2.8,96893,1,1
Portage Bay Cafe,47.621843,-122.3374189,"391 Terry Ave N, Seattle, WA 98109, United States",ChIJ7ZC5oTcVkFQR4tJqYR-hWbU,/biz/portage-bay-cafe-seattle-19?osq=Restaurants,3.9,98105,0.012770871,31201,63.1,1315,2.7,478,1,11387,23,80,0.2,7311,75.9,5.7,73343,1,1
Xi'an Noodles,47.6122462,-122.3372983,"400 Pine St, Seattle, WA 98101, United States",ChIJe0eTbIxrkFQRf7uDwmHaPHs,/biz/xian-noodles-seattle-9?osq=Restaurants,4.3,98105,0.155505742666667,31201,63.1,1315,2.7,478,1,11387,23,80,0.2,7311,75.9,5.7,73343,1,1
Wild Ginger,47.6089658,-122.3372014,"1401 3rd Ave, Seattle, WA 98101, United States",ChIJHUQoo7NqkFQRj20DssNIn8c,/biz/wild-ginger-seattle-5?osq=Restaurants,4.1,98121,0.104077667666667,11309,53.8,837,4,18,0.1,6539,31.1,0,0,8044,88.2,4.1,135823,1,1
Le Caviste,47.6147368,-122.3371773,"1919 7th Ave, Seattle, WA 98101, United States",ChIJWf0s40oVkFQRSA0HCWXNDwM,/biz/le-caviste-seattle?osq=Restaurants,4.6,98101,0.077923089,8296,57.1,1182,8.1,38,0.3,4037,27.8,0,0,4346,85.5,2.8,96893,1,1
Cafe Madeline,47.615103,-122.3371302,"700 Stewart St, Seattle, WA 98101, United States",ChIJ604YhmYVkFQRK08f6JNADWk,/biz/cafe-madeline-seattle?osq=Restaurants,4.9,98101,0.089826464,8296,57.1,1182,8.1,38,0.3,4037,27.8,0,0,4346,85.5,2.8,96893,1,1
ALTITUDE Sky Lounge,47.6211254,-122.3369869,"Astra Hotel Seattle, 300 Terry Ave N Atop, Seattle, WA 98109, United States",ChIJa5VOj_gVkFQRFiCxxZP4vTI,/biz/altitude-sky-lounge-seattle?osq=Restaurants,3.9,98109,0.124467763,19021,64.8,1046,3.6,107,0.4,7081,24.1,33,0.1,10762,86.2,3.7,111059,1,1
Kathmandu Momocha,47.6238049,-122.3369837,"520 Terry Ave N, Seattle, WA 98109, United States",ChIJrWstfk0RkFQRtQTSqiy37AQ,/biz/kathmandu-momocha-seattle-3?osq=Restaurants,4.5,98109,0.0948035006666667,19021,64.8,1046,3.6,107,0.4,7081,24.1,33,0.1,10762,86.2,3.7,111059,1,1
Almanqal Mediterranean Grill,47.6614987,-122.336979,"1712 N 45th St, Seattle, WA 98103, United States",ChIJQUK0S1cUkFQRb8Nocu-tyAc,/biz/almanqal-mediterranean-grill-seattle?osq=Restaurants,4.5,98103,0.0831682006666667,40302,77.2,1141,2.2,37,0.1,4983,9.5,115,0.2,13027,80.3,3.2,113443,1,1
Cactus Restaurants,47.6217948,-122.3369462,"350 Terry Ave N, Seattle, WA 98109, United States",ChIJCz0voDcVkFQRH2R4cNL9j8E,/biz/cactus-restaurants-seattle-3?osq=Restaurants,4.1,98109,0.161364660666667,19021,64.8,1046,3.6,107,0.4,7081,24.1,33,0.1,10762,86.2,3.7,111059,1,1
Ba Bar Green,47.6233692,-122.3369207,"500 Terry Ave N, Seattle, WA 98109, United States",ChIJBRUg48wVkFQRsn4jD6_myiE,/biz/ba-bar-green-seattle?osq=Restaurants,4.5,98109,0.151174072333333,19021,64.8,1046,3.6,107,0.4,7081,24.1,33,0.1,10762,86.2,3.7,111059,1,1
Manna,47.6230785,-122.3369198,"446 Terry Ave N, Seattle, WA 98109, United States",ChIJX2g8Y30VkFQRxoui6WnEadg,/biz/manna-seattle?osq=Restaurants,3.7,98109,0.0220871826666667,19021,64.8,1046,3.6,107,0.4,7081,24.1,33,0.1,10762,86.2,3.7,111059,1,1
Local Public Eatery,47.6221942,-122.3365534,"404 Terry Ave N, Seattle, WA 98109, United States",ChIJLYDanzcVkFQRtGt9wJI_AnQ,/biz/local-public-eatery-seattle-6?osq=Restaurants,3.9,98109,0.195115130333333,19021,64.8,1046,3.6,107,0.4,7081,24.1,33,0.1,10762,86.2,3.7,111059,1,1
Dumpling The Noodle,47.6612816,-122.3364443,"1723 N 45th St, Seattle, WA 98103, United States",ChIJHZ7t5OgVkFQRto_-BHbLrIU,/biz/dumpling-the-noodle-seattle?osq=Restaurants,4.3,98103,0.136642455333333,40302,77.2,1141,2.2,37,0.1,4983,9.5,115,0.2,13027,80.3,3.2,113443,1,1
Habitant,47.6124386,-122.3363822,"500 Pine St, Seattle, WA 98101, United States",ChIJQ-UQyrRqkFQRFjvSjy1-dR4,/biz/habitant-seattle-4?osq=Restaurants,4.4,98101,0.0945264226666667,8296,57.1,1182,8.1,38,0.3,4037,27.8,0,0,4346,85.5,2.8,96893,1,1
Haidilao Hot Pot - Seattle,47.612587,-122.3353584,"600 Pine St Suite 355, Seattle, WA 98101, United States",ChIJb-fHC-9rkFQR6GgwSRE8f2Y,/biz/haidilao-hot-pot-seattle-seattle?osq=Restaurants,4.5,98101,0.125248812666667,8296,57.1,1182,8.1,38,0.3,4037,27.8,0,0,4346,85.5,2.8,96893,1,1
Din Tai Fung,47.6125343,-122.3353015,"600 Pine St #403, Seattle, WA 98101, United States",ChIJPemT0bRqkFQREiTAzMgdB0M,/biz/din-tai-fung-seattle-14?osq=Restaurants,4.1,98101,0.135357154666667,8296,57.1,1182,8.1,38,0.3,4037,27.8,0,0,4346,85.5,2.8,96893,1,1
Moto,47.6118319,-122.335283,"1527 6th Ave, Seattle, WA 98101, United States",ChIJz3Sq7rRqkFQRha945xh943o,/biz/moto-seattle?osq=Restaurants,4.8,98116,0.138595505666667,22281,81.9,891,3.3,66,0.2,1392,5.1,20,0.1,3780,77.5,3.1,124795,1,1
SPIN Seattle,47.6117468,-122.3352052,"1511 6th Ave, Seattle, WA 98101, United States",ChIJ12_LwbRqkFQRzOw8m9gOL2Q,/biz/spin-seattle-seattle?osq=Restaurants,4,98101,0.00422543,8296,57.1,1182,8.1,38,0.3,4037,27.8,0,0,4346,85.5,2.8,96893,1,1
84 Yesler,47.6019388,-122.3351362,"84 Yesler Way, Seattle, WA 98104, United States",ChIJLfKGWwtrkFQR7Clu6qi2Kxo,/biz/84-yesler-seattle?osq=Restaurants,4.8,98104,0.145641684666667,7231,50,1448,10,107,0.7,3958,27.4,63,0.4,2853,58.9,5.6,60955,1,0
Denny Lodge,47.6237776,-122.335088,"501 Fairview Ave N, Seattle, WA 98109, United States",ChIJW9_QXt8VkFQRjxIfTNLIlPc,/biz/denny-lodge-seattle?osq=Restaurants,4,98109,0.155957284666667,19021,64.8,1046,3.6,107,0.4,7081,24.1,33,0.1,10762,86.2,3.7,111059,1,1
Daniel's Broiler,47.6149201,-122.3350842,"808 Howell St, Seattle, WA 98101, United States",ChIJSb26i-wVkFQR5tQNg6z3kRA,/biz/daniels-broiler-seattle-7?osq=Restaurants,3.6,98109,0.165045251666667,19021,64.8,1046,3.6,107,0.4,7081,24.1,33,0.1,10762,86.2,3.7,111059,1,1
