Restaurant,Latitude,Longitude,Address_x,Place-ID,URL,Stars,ZIP,Avg. Exposure,White,ofWhite,Black,ofBlack,AmericanIndaian,ofAI,Asian,ofAisan,NativeHawiian,ofNativeHawiian,Edu,ofEDU,Unemployment,Wealth,Attractions,Hotspot
Purple Caf%C3%A9 and Wine Bar,47.60802,-122.3349472,"1225 4th Ave, Seattle, WA 98101, United States",ChIJC2j55LNqkFQRRqBoRA_a_3A,/biz/purple-caf%C3%A9-and-wine-bar-seattle-3?osq=Restaurants,4,98101,0.153578787,8296,57.1,1182,8.1,38,0.3,4037,27.8,0,0,4346,85.5,2.8,96893,1,1
Bentoful,47.6237978,-122.3349258,"501 Fairview Ave N, Seattle, WA 98109, United States",ChIJXWLmcfwVkFQRgR32VtoRhtE,/biz/bentoful-seattle-3?osq=Restaurants,4.6,98109,0.160326739666667,19021,64.8,1046,3.6,107,0.4,7081,24.1,33,0.1,10762,86.2,3.7,111059,1,1
Il Terrazzo Carmine,47.5988117,-122.3345893,"411 1st Ave S, Seattle, WA 98104, United States",ChIJM0ls76RqkFQRXb9WD2irbCo,/biz/il-terrazzo-carmine-seattle?osq=Restaurants,4.3,98104,0.160348409666667,7231,50,1448,10,107,0.7,3958,27.4,63,0.4,2853,58.9,5.6,60955,1,1
Señor Carb%C3%B3n - Peruvian Cuisine,47.6023662,-122.3345875,"625 1st Ave, Seattle, WA 98104, United States",ChIJ1dYD1g1rkFQRK0RMqkJqBWA,/biz/se%C3%B1or-carb%C3%B3n-peruvian-cuisine-seattle?osq=Restaurants,4.5,98104,0.103526587333333,7231,50,1448,10,107,0.7,3958,27.4,63,0.4,2853,58.9,5.6,60955,1,0
Dead Line,47.60119,-122.3339979,"114 1st Ave S, Seattle, WA 98104, United States",ChIJr7ePtbpqkFQR-Q44duvMqLo,/biz/dead-line-seattle?osq=Restaurants,4.4,98104,0.134758020333333,7231,50,1448,10,107,0.7,3958,27.4,63,0.4,2853,58.9,5.6,60955,1,0
Damn the Weather,47.6011218,-122.3339961,"116 1st Ave S, Seattle, WA 98104, United States",ChIJUfxntbpqkFQRxoN_1GvKcTU,/biz/damn-the-weather-seattle?osq=Restaurants,3.9,98104,0.184491806666667,7231,50,1448,10,107,0.7,3958,27.4,63,0.4,2853,58.9,5.6,60955,1,0
El Grito Taqueria,47.6206914,-122.3339881,"234 Fairview Ave N, Seattle, WA 98109, United States",ChIJiZ837jYVkFQRREqaPuHcEqg,/biz/el-grito-taqueria-seattle?osq=Restaurants,3.9,98109,0.136951167666667,19021,64.8,1046,3.6,107,0.4,7081,24.1,33,0.1,10762,86.2,3.7,111059,1,0
The Stop,47.6023949,-122.3339031,"616 1st Ave, Seattle, WA 98104, United States",ChIJhaKsIGJrkFQRPTd_gHaQDWI,/biz/the-stop-seattle-3?osq=Restaurants,4.7,98104,0.0213016213333333,7231,50,1448,10,107,0.7,3958,27.4,63,0.4,2853,58.9,5.6,60955,1,1
Bar Harbor,47.622485,-122.3338633,"400 Fairview Ave N #105, Seattle, WA 98109, United States",ChIJIXGeJDcVkFQRoS1IiN9C3TY,/biz/bar-harbor-seattle?osq=Restaurants,4,98109,0.163793984,19021,64.8,1046,3.6,107,0.4,7081,24.1,33,0.1,10762,86.2,3.7,111059,1,0
Mala & Satay,47.6203845,-122.3338629,"224 Fairview Ave N, Seattle, WA 98109, United States",ChIJvWCAKdoVkFQRtRyepJU2oIY,/biz/mala-and-satay-seattle-2?osq=Restaurants,4.2,98109,0.138395553,19021,64.8,1046,3.6,107,0.4,7081,24.1,33,0.1,10762,86.2,3.7,111059,1,0
The George,47.6079914,-122.3338074,"411 University St, Seattle, WA 98101, United States",ChIJkSxTm_xrkFQRyBwGa8MfLvQ,/biz/the-george-seattle-4?osq=Restaurants,3.7,98101,0.148876148666667,8296,57.1,1182,8.1,38,0.3,4037,27.8,0,0,4346,85.5,2.8,96893,1,0
Paseo,47.586423,-122.333777,"1760 1st Ave S, Seattle, WA 98134, United States",ChIJF4bCasxqkFQR7p1hxM6owhA,/biz/paseo-seattle-11?osq=Restaurants,4.4,98103,0.19601715,40302,77.2,1141,2.2,37,0.1,4983,9.5,115,0.2,13027,80.3,3.2,113443,1,0
Paseo,47.586423,-122.333777,"1760 1st Ave S, Seattle, WA 98134, United States",ChIJF4bCasxqkFQR7p1hxM6owhA,/biz/paseo-seattle-12?osq=Restaurants,3.9,98134,0.111277167333333,512,63.4,86,10.6,7,0.9,101,12.5,0,0,100,55.6,12.2,64375,1,1
TangleTown Public House,47.668782,-122.3335229,"2106 N 55th St, Seattle, WA 98103, United States",ChIJIehIU_gVkFQRPh8EYcYJIJs,/biz/tangletown-public-house-seattle-3?osq=Restaurants,3.8,98103,0.059819031,40302,77.2,1141,2.2,37,0.1,4983,9.5,115,0.2,13027,80.3,3.2,113443,1,1
Gantry Public House,47.5944202,-122.333444,"904 Occidental Ave S, Seattle, WA 98134, United States",ChIJ3-GfowBrkFQRBObKAzpBs3A,/biz/gantry-public-house-seattle?osq=Restaurants,4.1,98134,0.108094516,512,63.4,86,10.6,7,0.9,101,12.5,0,0,100,55.6,12.2,64375,1,1
Chan Seattle,47.6131124,-122.3334204,"724 Pine St, Seattle, WA 98101, United States",ChIJsShv3bJqkFQRSqYTgc7r_0w,/biz/chan-seattle-seattle-2?osq=Restaurants,4.3,98101,0.364674241666667,8296,57.1,1182,8.1,38,0.3,4037,27.8,0,0,4346,85.5,2.8,96893,1,1
Drunken Chicken - Temp. CLOSED,47.6131124,-122.3334204,"724 Pine St, Seattle, WA 98101, United States",ChIJsShv3bJqkFQRSqYTgc7r_0w,/biz/drunken-chicken-seattle?osq=Restaurants,4.2,98103,0.0721830363333333,40302,77.2,1141,2.2,37,0.1,4983,9.5,115,0.2,13027,80.3,3.2,113443,1,0
Lakeside South Lake Union,47.6277544,-122.3331704,"901 Fairview Ave N suite b, Seattle, WA 98109, United States",ChIJq4AjVtcDkVQRQw3Ja6WXGh0,/biz/lakeside-south-lake-union-seattle?osq=Restaurants,4.2,98109,0.137978006,19021,64.8,1046,3.6,107,0.4,7081,24.1,33,0.1,10762,86.2,3.7,111059,1,1
Cortina,47.610257,-122.3328019,"621 Union St, Seattle, WA 98101, United States",ChIJTyQoov1rkFQRZYHgoMIeSxw,/biz/cortina-seattle-3?osq=Restaurants,3.9,98101,0.12554115,8296,57.1,1182,8.1,38,0.3,4037,27.8,0,0,4346,85.5,2.8,96893,1,1
The London Plane,47.5999526,-122.3326483,"300 Occidental Ave S, Seattle, WA 98104, United States",ChIJBVnSKrtqkFQR09xyG4XmhtE,/biz/the-london-plane-seattle-4?osq=Restaurants,3.9,98104,0.171348331333333,7231,50,1448,10,107,0.7,3958,27.4,63,0.4,2853,58.9,5.6,60955,1,1
The Carlile Room,47.613529,-122.332408,"820 Pine St, Seattle, WA 98101, United States",ChIJJZURTrVqkFQRwzsuIzqfVmo,/biz/the-carlile-room-seattle?osq=Restaurants,4,98101,0.162896886,8296,57.1,1182,8.1,38,0.3,4037,27.8,0,0,4346,85.5,2.8,96893,1,0
Dough Zone - Seattle Downtown Pine St.,47.6132572,-122.3323527,"815 Pine St, Seattle, WA 98101, United States",ChIJoSxoXp1rkFQRCGgq6rhU78U,/biz/dough-zone-seattle-downtown-pine-st-seattle-2?osq=Restaurants,4.1,98101,0.26586834,8296,57.1,1182,8.1,38,0.3,4037,27.8,0,0,4346,85.5,2.8,96893,1,1
Kokkaku,47.6614859,-122.3320586,"6904, 2208 N 45th St, Seattle, WA 98103, United States",ChIJGwr-u1kUkFQRhx4t_F6_36Y,/biz/kokkaku-seattle?osq=Restaurants,4.1,98103,0.140688335666667,40302,77.2,1141,2.2,37,0.1,4983,9.5,115,0.2,13027,80.3,3.2,113443,1,0
Birch,47.6291083,-122.3318471,"1001 Fairview Ave N #2250, Seattle, WA 98109, United States",ChIJuxuyD8sVkFQRujWfUdxO1DQ,/biz/birch-seattle?osq=Restaurants,4.4,98109,0.171968512333333,19021,64.8,1046,3.6,107,0.4,7081,24.1,33,0.1,10762,86.2,3.7,111059,1,0
The White Swan Public House,47.629124,-122.33172,"1001 Fairview Ave N, Seattle, WA 98109, United States",ChIJkz9ZtSQVkFQRLJ8yVdXAD58,/biz/the-white-swan-public-house-seattle-2?osq=Restaurants,3.9,98109,0.197823353,19021,64.8,1046,3.6,107,0.4,7081,24.1,33,0.1,10762,86.2,3.7,111059,1,1
I Love Sushi On Lake Union,47.6288139,-122.3317028,"1001 Fairview Ave N, Seattle, WA 98109, United States",ChIJ4_fDyiQVkFQRkFxG9lkivhs,/biz/i-love-sushi-on-lake-union-seattle-2?osq=Restaurants,3.5,98109,0.0085091713333333,19021,64.8,1046,3.6,107,0.4,7081,24.1,33,0.1,10762,86.2,3.7,111059,1,1
Teinei,47.6232931,-122.3315126,"1256 Republican St #5538, Seattle, WA 98109, United States",ChIJu5p1wjAVkFQRwZLpQ1dgTjk,/biz/teinei-seattle?osq=Restaurants,3.8,98109,0.162130678333333,19021,64.8,1046,3.6,107,0.4,7081,24.1,33,0.1,10762,86.2,3.7,111059,1,1
Pioneer Square D&E,47.599534,-122.3313399,"314 2nd Ave S, Seattle, WA 98104, United States",ChIJ_9RRNLtqkFQRxftHu8816QE,/biz/pioneer-square-d-and-e-seattle-2?osq=Restaurants,4.2,98104,0.0517989746666667,7231,50,1448,10,107,0.7,3958,27.4,63,0.4,2853,58.9,5.6,60955,1,1
Good Bar - Seattle,47.6002244,-122.3313341,"240 2nd Ave S, Seattle, WA 98104, United States",ChIJG2K5JrtqkFQRsT22hSRqrrc,/biz/good-bar-seattle-seattle?osq=Restaurants,4.2,98104,0.130921354,7231,50,1448,10,107,0.7,3958,27.4,63,0.4,2853,58.9,5.6,60955,1,0
Charlotte Restaurant & Lounge,47.6055078,-122.3312475,"LOTTE HOTEL SEATTLE, 809 5th Ave 16th Floor, Seattle, WA 98104, United States",ChIJMYXksdJrkFQRoQB2nkiNzH0,/biz/charlotte-restaurant-and-lounge-seattle?osq=Restaurants,4.3,98104,0.157857734666667,7231,50,1448,10,107,0.7,3958,27.4,63,0.4,2853,58.9,5.6,60955,1,1
Korochka Tavern,47.6612404,-122.3305777,"2317 N 45th St, Seattle, WA 98103, United States",ChIJeaXlXmMRkFQRqRExg5NHzew,/biz/korochka-tavern-seattle-2?osq=Restaurants,4.9,98103,0.0129141306666667,40302,77.2,1141,2.2,37,0.1,4983,9.5,115,0.2,13027,80.3,3.2,113443,1,0
Caf%C3%A9 Hagen,47.62082,-122.33043,"1252 Thomas St  Seattle, WA 98109  N Pontius Ave & N Yale Ave  South Lake Union",-,/biz/caf%C3%A9-hagen-seattle?osq=Restaurants,4.2,98109,0.169050954333333,19021,64.8,1046,3.6,107,0.4,7081,24.1,33,0.1,10762,86.2,3.7,111059,1,0
Duke's Seafood,47.6298609,-122.3304216,"1111 Fairview Ave N, Seattle, WA 98109, United States",ChIJMY6CBjsVkFQRFGfv6bY3WV0,/biz/dukes-seafood-seattle-8?osq=Restaurants,4,98109,0.214193233666667,19021,64.8,1046,3.6,107,0.4,7081,24.1,33,0.1,10762,86.2,3.7,111059,1,0
Noodle/Bar,47.622477,-122.3302537,"422 Yale Ave N Suite A, Seattle, WA 98109, United States",ChIJvQquFugVkFQRwl1XPhWCkR4,/biz/noodle-bar-seattle?osq=Restaurants,4.3,98109,0.127293084,19021,64.8,1046,3.6,107,0.4,7081,24.1,33,0.1,10762,86.2,3.7,111059,1,0
Taylor Shellfish Farms - Seattle,47.6146712685471,-122.32814185966,"1521 Melrose Ave  Seattle, WA 98122  Pike St & Minor Ave  Capitol Hill",-,/biz/taylor-shellfish-farms-seattle-seattle?osq=Restaurants,4.2,98122,0.047064941,25123,60.5,4408,10.6,358,0.9,5550,13.4,29,0.1,10766,76.1,6.6,87418,0,1
Ristorante Machiavelli,47.615013,-122.3280631,"1215 Pine St, Seattle, WA 98101, United States",ChIJk1V5KstqkFQRHUJnnpEuba4,/biz/ristorante-machiavelli-seattle-2?osq=Restaurants,4.1,98101,0.004231989,8296,57.1,1182,8.1,38,0.3,4037,27.8,0,0,4346,85.5,2.8,96893,1,1
Terra Plata,47.6144039,-122.3280596,"1501 Melrose Ave, Seattle, WA 98122, United States",ChIJl5bQVy8UkFQRYrkP5JjaAec,/biz/terra-plata-seattle?osq=Restaurants,3.7,98122,0.138047573,25123,60.5,4408,10.6,358,0.9,5550,13.4,29,0.1,10766,76.1,6.6,87418,0,1
Taylor Shellfish Oyster Bar,47.6146314,-122.3280564,"1521 Melrose Ave, Seattle, WA 98122, United States",ChIJT_Lx3MpqkFQR68340dFD_uE,/biz/taylor-shellfish-oyster-bar-seattle-2?osq=Restaurants,4.3,98104,0.161219381,7231,50,1448,10,107,0.7,3958,27.4,63,0.4,2853,58.9,5.6,60955,1,1
Stateside,47.6141375,-122.3276509,"300 E Pike St #1200, Seattle, WA 98122, United States",ChIJt2ad4MpqkFQRtXng92Lc-ik,/biz/stateside-seattle-3?osq=Restaurants,4.1,98122,0.141145582333333,25123,60.5,4408,10.6,358,0.9,5550,13.4,29,0.1,10766,76.1,6.6,87418,0,1
Mamnoon,47.614385,-122.327591,"1508 Melrose Ave, Seattle, WA 98122, United States",ChIJPUFs2cpqkFQRi34BjPyrnqU,/biz/mamnoon-seattle?osq=Restaurants,3.9,98122,0.143645728,25123,60.5,4408,10.6,358,0.9,5550,13.4,29,0.1,10766,76.1,6.6,87418,0,1
Dough Zone - International District,47.5978947,-122.3275345,"504 5th Ave S #109, Seattle, WA 98104, United States",ChIJIfHalrxqkFQRaVg8DKk28po,/biz/dough-zone-international-district-seattle?osq=Restaurants,4.1,98104,0.124183424,7231,50,1448,10,107,0.7,3958,27.4,63,0.4,2853,58.9,5.6,60955,1,0
Kizuki Ramen & Izakaya,47.615382,-122.3271498,"320 E Pine St, Seattle, WA 98122, United States",ChIJsaflMstqkFQR5SEdWDIEiGs,/biz/kizuki-ramen-and-izakaya-seattle-6?osq=Restaurants,3.8,98122,0.137232885666667,25123,60.5,4408,10.6,358,0.9,5550,13.4,29,0.1,10766,76.1,6.6,87418,0,0
Tsukushinbo,47.615382,-122.3271498,"320 E Pine St, Seattle, WA 98122, United States",ChIJsaflMstqkFQR5SEdWDIEiGs,/biz/tsukushinbo-seattle?osq=Restaurants,4.2,98104,0.158378488,7231,50,1448,10,107,0.7,3958,27.4,63,0.4,2853,58.9,5.6,60955,1,1
Stella,47.6089267,-122.3267932,"900 Madison St, Seattle, WA 98104, United States",ChIJV-_PFbZqkFQRaFDh61tO98s,/biz/stella-seattle?osq=Restaurants,4.1,98104,0.059821917,7231,50,1448,10,107,0.7,3958,27.4,63,0.4,2853,58.9,5.6,60955,1,1
Derby,47.582849,-122.3267889,"2233 6th Ave S, Seattle, WA 98134, United States",ChIJMzFYM51qkFQRpMWvFRYiuNM,/biz/derby-seattle?osq=Restaurants,3.7,98134,0.0390369083333333,512,63.4,86,10.6,7,0.9,101,12.5,0,0,100,55.6,12.2,64375,1,1
Harry's Fine Foods,47.6243813,-122.3267724,"601 Bellevue Ave E, Seattle, WA 98102, United States",ChIJ326YLzAVkFQRIG2AIJa83-Q,/biz/harrys-fine-foods-seattle-3?osq=Restaurants,4.2,98102,0.127588127,18373,72.3,662,2.6,108,0.4,3253,12.8,134,0.5,9864,88.1,4.7,102466,1,1
Finch & Pine,47.6256354,-122.3267697,"711 Bellevue Ave E Ste 100, Seattle, WA 98102, United States",ChIJrYgq_JMVkFQRd7AlZIAYGRk,/biz/finch-and-pine-seattle?osq=Restaurants,4.6,98102,0.123342427333333,18373,72.3,662,2.6,108,0.4,3253,12.8,134,0.5,9864,88.1,4.7,102466,1,1
Chengdu Memory,47.5993354,-122.326732,"520 S Jackson St, Seattle, WA 98104, United States",ChIJpcnQTZxrkFQRwcYwLkI8ItM,/biz/chengdu-memory-seattle?osq=Restaurants,4.3,98104,0.132004754,7231,50,1448,10,107,0.7,3958,27.4,63,0.4,2853,58.9,5.6,60955,1,1
A+ Hong Kong Kitchen,47.5985279,-122.3265099,"419 6th Ave S, Seattle, WA 98104, United States",ChIJRa6XiLxqkFQRhREHDZZihzE,/biz/a-hong-kong-kitchen-seattle?osq=Restaurants,4.2,98104,0.143083843666667,7231,50,1448,10,107,0.7,3958,27.4,63,0.4,2853,58.9,5.6,60955,1,1
Yalla Seattle,47.6180713,-122.3261903,"1510 E Olive Way, Seattle, WA 98122, United States",ChIJp1F4N7MVkFQRrn-YjfzFzz8,/biz/yalla-seattle-seattle?osq=Restaurants,4.6,98122,0.0169249726666667,25123,60.5,4408,10.6,358,0.9,5550,13.4,29,0.1,10766,76.1,6.6,87418,0,1
Gangnam Seattle,47.5978459,-122.3260806,"516 6th Ave S, Seattle, WA 98104, United States",ChIJn6uyDp1rkFQRIbrUM0FBJEg,/biz/gangnam-seattle-seattle?osq=Restaurants,4.5,98104,0.139902216,7231,50,1448,10,107,0.7,3958,27.4,63,0.4,2853,58.9,5.6,60955,1,1
Maneki,47.5998055853393,-122.326036473155,"304 6th Ave S  Seattle, WA 98104  Main St & Jackson St  Japantown, Chinatown International District",-,/biz/maneki-seattle?osq=Restaurants,4.2,98104,0.0602197126666667,7231,50,1448,10,107,0.7,3958,27.4,63,0.4,2853,58.9,5.6,60955,1,1
Kauai Family Restaurant,47.5455139,-122.3259395,"6324 6th Ave S, Seattle, WA 98108, United States",ChIJVeptZZRBkFQR5gIbLkhByaM,/biz/kauai-family-restaurant-seattle?osq=Restaurants,4.3,98108,0.145654307,6665,28.1,4549,19.1,624,2.6,8858,37.3,49,0.2,1841,50,5.4,74985,1,0
Itsumono Seattle,47.599373,-122.3258157,"610 S Jackson St, Seattle, WA 98104, United States",ChIJ4ddzd7xqkFQR3ysPAKkjWzw,/biz/itsumono-seattle-seattle-2?osq=Restaurants,4.4,98104,0.138494119666667,7231,50,1448,10,107,0.7,3958,27.4,63,0.4,2853,58.9,5.6,60955,1,1
Tian Fu,47.7087551,-122.3256581,"300 NE Northgate Way, Seattle, WA 98125, United States",ChIJ-wqz0XYRkFQR5MqxsG-3xno,/biz/tian-fu-seattle-4?osq=Restaurants,4.2,98125,0.155300788333333,28694,66.1,3640,8.4,223,0.5,6714,15.5,49,0.1,5332,59.1,4.2,82439,0,1
B-Side,47.6207509,-122.3256349,"421 E Thomas St, Seattle, WA 98102, United States",ChIJa7rmMjIVkFQROVmVuSDqlV4,/biz/b-side-seattle-2?osq=Restaurants,4.5,98102,0.0678256576666667,18373,72.3,662,2.6,108,0.4,3253,12.8,134,0.5,9864,88.1,4.7,102466,1,0
Cornelly,47.6245064,-122.3255826,"601 Summit Ave E #103, Seattle, WA 98102, United States",ChIJD7j8Kn8VkFQRs45HqN6u57Y,/biz/cornelly-seattle?osq=Restaurants,4.5,98102,0.047831607,18373,72.3,662,2.6,108,0.4,3253,12.8,134,0.5,9864,88.1,4.7,102466,1,1
Son of A Butcher,47.6393916,-122.3255479,"2236 Eastlake Ave E, Seattle, WA 98102, United States",ChIJQeMeEFAVkFQRIr-idrA9XPo,/biz/son-of-a-butcher-seattle-3?osq=Restaurants,3.8,98102,0.150171779333333,18373,72.3,662,2.6,108,0.4,3253,12.8,134,0.5,9864,88.1,4.7,102466,1,1
Tavol%C3%A0ta - Capitol Hill,47.61408,-122.32553,"501 E Pike St  Seattle, WA 98122  Summit Ave & Belmont Ave  First Hill, Capitol Hill",-,/biz/tavol%C3%A0ta-capitol-hill-seattle-3?osq=Restaurants,4,98122,0.132411728,25123,60.5,4408,10.6,358,0.9,5550,13.4,29,0.1,10766,76.1,6.6,87418,0,1
Tamari Bar,47.6154379,-122.3253807,"500 E Pine St, Seattle, WA 98122, United States",ChIJ7_eIRctqkFQRguCK7heBC84,/biz/tamari-bar-seattle?osq=Restaurants,4.2,98122,0.152897509666667,25123,60.5,4408,10.6,358,0.9,5550,13.4,29,0.1,10766,76.1,6.6,87418,0,1
Meet Korean BBQ,47.6143322,-122.3252057,"500 E Pike St, Seattle, WA 98122, United States",ChIJ7aNQ3flrkFQROVIst4KmMSA,/biz/meet-korean-bbq-seattle?osq=Restaurants,4.3,98122,0.175410356666667,25123,60.5,4408,10.6,358,0.9,5550,13.4,29,0.1,10766,76.1,6.6,87418,0,1
Mike's Noodle House,47.5985971,-122.3249225,"418 Maynard Ave S, Seattle, WA 98104, United States",ChIJTVaFaLxqkFQR42Oyj9kuuqg,/biz/mikes-noodle-house-seattle?osq=Restaurants,4,98104,0.143444899666667,7231,50,1448,10,107,0.7,3958,27.4,63,0.4,2853,58.9,5.6,60955,1,0
Kau Kau Barbeque,47.598458,-122.3246879,"656 S King St, Seattle, WA 98104, United States",ChIJ_RikQrxqkFQRH1VyS-G5DNI,/biz/kau-kau-barbeque-seattle?osq=Restaurants,3.8,98104,0.113596031333333,7231,50,1448,10,107,0.7,3958,27.4,63,0.4,2853,58.9,5.6,60955,1,0
Tapas Lab,47.6795243,-122.3244031,"7012 Woodlawn Ave NE, Seattle, WA 98115, United States",ChIJ2UC2qm0UkFQR1rBy9rv_chU,/biz/tapas-lab-seattle?osq=Restaurants,4.5,98115,0.130430435,41021,76.3,971,1.8,100,0.2,6840,12.7,85,0.2,9150,83.9,3.8,128443,1,0
Eight Row,47.6800976,-122.3243827,"7102 Woodlawn Ave NE, Seattle, WA 98115, United States",ChIJoel7xswVkFQRtdmNc1xgmWs,/biz/eight-row-seattle?osq=Restaurants,4.3,98115,0.107966319,41021,76.3,971,1.8,100,0.2,6840,12.7,85,0.2,9150,83.9,3.8,128443,1,0
Fog%C3%B3n Cocina Mexicana,47.6153469,-122.3242893,"600 E Pine St, Seattle, WA 98122, United States",ChIJy8StXstqkFQR0BueEWK83Uw,/biz/fog%C3%B3n-cocina-mexicana-seattle-2?osq=Restaurants,4.4,98122,0.172582835333333,25123,60.5,4408,10.6,358,0.9,5550,13.4,29,0.1,10766,76.1,6.6,87418,0,0
Di Fiora,47.6128683,-122.3242173,"1320 University St suite 1, Seattle, WA 98101, United States",ChIJLUfoDStrkFQR4036u4yjPys,/biz/di-fiora-seattle?osq=Restaurants,4.3,98101,0.160486506666667,8296,57.1,1182,8.1,38,0.3,4037,27.8,0,0,4346,85.5,2.8,96893,1,0
Biang Biang Noodles,47.613919,-122.3241441,"601 E Pike St Unit 100, Seattle, WA 98122, United States",ChIJYYN0DHRrkFQRbz4HEE2Zxbk,/biz/biang-biang-noodles-seattle-2?osq=Restaurants,4.3,98122,0.556478987333333,25123,60.5,4408,10.6,358,0.9,5550,13.4,29,0.1,10766,76.1,6.6,87418,0,1
Gan Bei,47.597685,-122.3241332,"670 S Weller St, Seattle, WA 98104, United States",ChIJja-Cs3JrkFQRhaqHEXFnaOc,/biz/gan-bei-seattle?osq=Restaurants,4.2,98104,0.0788838153333333,7231,50,1448,10,107,0.7,3958,27.4,63,0.4,2853,58.9,5.6,60955,1,0
Baegopa,47.5980376,-122.3239228,"509 7th Ave S, Seattle, WA 98104, United States",ChIJz973fv1rkFQRr2oj-wlpQuU,/biz/baegopa-seattle?osq=Restaurants,3.8,98104,0.081188175,7231,50,1448,10,107,0.7,3958,27.4,63,0.4,2853,58.9,5.6,60955,1,0
Harbor City Restaurant,47.59825,-122.3233536,"707 S King St, Seattle, WA 98104, United States",ChIJGRIXOLxqkFQRw8ZZjoRUtJQ,/biz/harbor-city-restaurant-seattle?osq=Restaurants,3.8,98104,0.16713135,7231,50,1448,10,107,0.7,3958,27.4,63,0.4,2853,58.9,5.6,60955,1,0
Kona Kitchen - Seattle,47.6906376,-122.3231592,"8501 5th Ave NE, Seattle, WA 98115, United States",ChIJS9EgJgkUkFQRf06djJkWzn4,/biz/kona-kitchen-seattle-seattle-3?osq=Restaurants,4,98115,0.135669455,41021,76.3,971,1.8,100,0.2,6840,12.7,85,0.2,9150,83.9,3.8,128443,1,0
Taku,47.614192,-122.3231553,"706 E Pike St, Seattle, WA 98122, United States",ChIJtxZRjZ1rkFQRL4ezJz5Gi1A,/biz/taku-seattle?osq=Restaurants,3.7,98122,0.147295685666667,25123,60.5,4408,10.6,358,0.9,5550,13.4,29,0.1,10766,76.1,6.6,87418,0,0
Rey Amargo Chocolate Shop,47.6141819,-122.3223938,"722 E Pike St, Seattle, WA 98122, United States",ChIJcYb_a4hrkFQRGCi_ml1HkSM,/biz/rey-amargo-chocolate-shop-seattle?osq=Restaurants,3.3,98122,0.0088047606666666,25123,60.5,4408,10.6,358,0.9,5550,13.4,29,0.1,10766,76.1,6.6,87418,0,0
Life On Mars,47.6143076,-122.3223545,"722 E Pike St, Seattle, WA 98122, United States",ChIJORzcDIFrkFQRBD4M3ifUkEI,/biz/life-on-mars-seattle?osq=Restaurants,3.9,98122,0.025382637,25123,60.5,4408,10.6,358,0.9,5550,13.4,29,0.1,10766,76.1,6.6,87418,0,0
Pelicana Chicken,47.6151074,-122.3222966,"725 E Pine St, Seattle, WA 98122, United States",ChIJ5__5_qxrkFQR4ZuydOsHfCY,/biz/pelicana-chicken-seattle?osq=Restaurants,3.8,98122,0.14246999,25123,60.5,4408,10.6,358,0.9,5550,13.4,29,0.1,10766,76.1,6.6,87418,0,0
