Restaurant,Latitude,Longitude,Address_x,Place-ID,URL,Stars,ZIP,Avg. Exposure,White,ofWhite,Black,ofBlack,AmericanIndaian,ofAI,Asian,ofAisan,NativeHawiian,ofNativeHawiian,Edu,ofEDU,Unemployment,Wealth,Attractions,Hotspot
Cook Weaver,47.6251845,-122.3217843,"806 E Roy St, Seattle, WA 98102, United States",ChIJD7b9_i4VkFQRrIMJBHyvY9g,/biz/cook-weaver-seattle-2?osq=Restaurants,4.7,98102,0.134359580666667,18373,72.3,662,2.6,108,0.4,3253,12.8,134,0.5,9864,88.1,4.7,102466,1,0
Tacos Chukis,47.6205603,-122.3214258,"219 Broadway E, Seattle, WA 98102, United States",ChIJL2gQeTIVkFQREoqp0MpRH1U,/biz/tacos-chukis-seattle-5?osq=Restaurants,4.3,98109,0.147976075666667,19021,64.8,1046,3.6,107,0.4,7081,24.1,33,0.1,10762,86.2,3.7,111059,1,0
Tacos Chukis,47.6205603,-122.3214258,"219 Broadway E, Seattle, WA 98102, United States",ChIJL2gQeTIVkFQREoqp0MpRH1U,/biz/tacos-chukis-seattle?osq=Restaurants,4.5,98102,0.133913254333333,18373,72.3,662,2.6,108,0.4,3253,12.8,134,0.5,9864,88.1,4.7,102466,1,0
Taneda Sushi in Kaiseki,47.6205778,-122.3212986,"219 Broadway E Unit# 14, Seattle, WA 98102, United States",ChIJXcM6TZwVkFQR_DSKVibXe2c,/biz/taneda-sushi-in-kaiseki-seattle-2?osq=Restaurants,4.9,98102,0.112892717666667,18373,72.3,662,2.6,108,0.4,3253,12.8,134,0.5,9864,88.1,4.7,102466,1,0
Ishoni Yakiniku,47.6246184,-122.3212368,"611 Broadway E, Seattle, WA 98102, United States",ChIJjYnhQJoVkFQRoZICxNhtBFs,/biz/ishoni-yakiniku-seattle?osq=Restaurants,4.4,98102,0.296395076,18373,72.3,662,2.6,108,0.4,3253,12.8,134,0.5,9864,88.1,4.7,102466,1,0
Altura,47.6248082,-122.3211485,"617 Broadway E, Seattle, WA 98102, United States",ChIJ3_rU9i4VkFQRrHhRHqVXjWg,/biz/altura-seattle?osq=Restaurants,4.4,98102,0.143387791333333,18373,72.3,662,2.6,108,0.4,3253,12.8,134,0.5,9864,88.1,4.7,102466,1,0
Witness,47.6223367,-122.3207457,"410 Broadway E, Seattle, WA 98102, United States",ChIJdb1b3S0VkFQR-dFBfhpLxIE,/biz/witness-seattle?osq=Restaurants,4.2,98102,0.160940698,18373,72.3,662,2.6,108,0.4,3253,12.8,134,0.5,9864,88.1,4.7,102466,1,0
Due' Cucina Italiana - Capitol Hill,47.6224369,-122.320743,"412 Broadway E, Seattle, WA 98102, United States",ChIJKbbZ3C0VkFQRa_QQ8Hw-jQo,/biz/due-cucina-italiana-capitol-hill-seattle?osq=Restaurants,4.3,98102,0.161723276666667,18373,72.3,662,2.6,108,0.4,3253,12.8,134,0.5,9864,88.1,4.7,102466,1,0
Carrello,47.6249584,-122.3206748,"622 Broadway E, Seattle, WA 98102, United States",ChIJFV1SZbgVkFQR5hSNheuVhrE,/biz/carrello-seattle?osq=Restaurants,4.2,98102,0.136857733,18373,72.3,662,2.6,108,0.4,3253,12.8,134,0.5,9864,88.1,4.7,102466,1,0
Olmstead,47.6215626,-122.3206264,"314 Broadway E, Seattle, WA 98102, United States",ChIJ8YzlfTsVkFQR7wM4xpRWRIM,/biz/olmstead-seattle?osq=Restaurants,4,98102,0.170683915666667,18373,72.3,662,2.6,108,0.4,3253,12.8,134,0.5,9864,88.1,4.7,102466,1,0
Seoul Tofu & Jjim,47.6222499,-122.3206002,"406 Broadway E, Seattle, WA 98102, United States",ChIJ8UzkU24VkFQRLhCuWd1JSM4,/biz/seoul-tofu-and-jjim-seattle?osq=Restaurants,4.7,98102,0.138610802666667,18373,72.3,662,2.6,108,0.4,3253,12.8,134,0.5,9864,88.1,4.7,102466,1,0
Lionhead,47.624876,-122.3205985,"618 Broadway E, Seattle, WA 98102, United States",ChIJoy-0T8lqkFQRp7mHWGFqIsw,/biz/lionhead-seattle-2?osq=Restaurants,4,98102,0.136375306666667,18373,72.3,662,2.6,108,0.4,3253,12.8,134,0.5,9864,88.1,4.7,102466,1,0
Herb & Bitter Public House,47.62361,-122.320586,"516 Broadway E, Seattle, WA 98102, United States",ChIJ64mDfC4VkFQRd_7T8t4v_6A,/biz/herb-and-bitter-public-house-seattle?osq=Restaurants,4.1,98102,0.134662029,18373,72.3,662,2.6,108,0.4,3253,12.8,134,0.5,9864,88.1,4.7,102466,1,1
Phnom Penh Noodle House,47.5990399,-122.3205623,"913 S Jackson St suite A, Seattle, WA 98104, United States",ChIJqzBcQrxqkFQRigqNyjZ4OeM,/biz/phnom-penh-noodle-house-seattle-2?osq=Restaurants,4.4,98104,0.148269244333333,7231,50,1448,10,107,0.7,3958,27.4,63,0.4,2853,58.9,5.6,60955,1,0
Boca Argentine Bakery & Pizzeria,47.6228073,-122.3205297,"426 Broadway E, Seattle, WA 98102, United States",ChIJwU1v8dMVkFQRl7fnt7xUGxE,/biz/boca-argentine-bakery-and-pizzeria-seattle?osq=Restaurants,4.6,98102,0.127588151,18373,72.3,662,2.6,108,0.4,3253,12.8,134,0.5,9864,88.1,4.7,102466,1,0
Rondo,47.6207211,-122.3205147,"224 Broadway E, Seattle, WA 98102, United States",ChIJGdAxATMVkFQR6yvhh0A7Dgw,/biz/rondo-seattle-2?osq=Restaurants,4.3,98102,0.167762649666667,18373,72.3,662,2.6,108,0.4,3253,12.8,134,0.5,9864,88.1,4.7,102466,1,0
D' La Santa,47.641242,-122.320328,"2359 10th Ave E, Seattle, WA 98102, United States",ChIJ-wvlxuAUkFQROsUMFbnzvqM,/biz/d-la-santa-seattle?osq=Restaurants,4.6,98102,0.171496361,18373,72.3,662,2.6,108,0.4,3253,12.8,134,0.5,9864,88.1,4.7,102466,1,0
Oddfellows Cafe & Bar,47.6148992,-122.3196431,"1525 10th Ave, Seattle, WA 98122, United States",ChIJZ7BwWsxqkFQRW7n0QdDE1eg,/biz/oddfellows-cafe-and-bar-seattle-2?osq=Restaurants,3.8,98122,0.0855704663333333,25123,60.5,4408,10.6,358,0.9,5550,13.4,29,0.1,10766,76.1,6.6,87418,0,1
Betsu Ten Jin,47.613394,-122.3196115,"954 E Union St #102, Seattle, WA 98122, United States",ChIJISfOEcxqkFQRgL7X1kMrKLk,/biz/betsu-ten-jin-seattle-2?osq=Restaurants,4,98122,0.0470750326666667,25123,60.5,4408,10.6,358,0.9,5550,13.4,29,0.1,10766,76.1,6.6,87418,0,0
Fern Thai Capitol Hill,47.6130525,-122.3192713,"1400 10th Ave, Seattle, WA 98122, United States",ChIJe1fy2ZlrkFQR7OUhqcLtZAY,/biz/fern-thai-capitol-hill-seattle-3?osq=Restaurants,4.7,98122,0.209875436,25123,60.5,4408,10.6,358,0.9,5550,13.4,29,0.1,10766,76.1,6.6,87418,0,1
Quinn's,47.6139839,-122.3192244,"1001 E Pike St, Seattle, WA 98122, United States",ChIJcZXtQMxqkFQR6xReCKlFxCM,/biz/quinns-seattle?osq=Restaurants,4.1,98122,0.130040778666667,25123,60.5,4408,10.6,358,0.9,5550,13.4,29,0.1,10766,76.1,6.6,87418,0,0
Bateau,47.6130479,-122.3185711,"1040 E Union St, Seattle, WA 98122, United States",ChIJI5PDGcxqkFQRdwpp6UPUjyk,/biz/bateau-seattle?osq=Restaurants,3.8,98122,0.119666332333333,25123,60.5,4408,10.6,358,0.9,5550,13.4,29,0.1,10766,76.1,6.6,87418,0,0
Tamarind Tree Restaurant,47.5998349,-122.3178232,"1036 S Jackson St, Seattle, WA 98104, United States",ChIJ7X0a_75qkFQRGtdtQ0aAEQ8,/biz/tamarind-tree-restaurant-seattle?osq=Restaurants,3.9,98104,0.117973033666667,7231,50,1448,10,107,0.7,3958,27.4,63,0.4,2853,58.9,5.6,60955,1,0
Don Lucho's Restaurant & Pisco Bar,47.6865638,-122.3177518,"7919 Roosevelt Way NE, Seattle, WA 98115, United States",ChIJXbOMpzoVkFQROR3PSKiSYpU,/biz/don-luchos-restaurant-and-pisco-bar-seattle-4?osq=Restaurants,4.4,98115,0.135104581333333,41021,76.3,971,1.8,100,0.2,6840,12.7,85,0.2,9150,83.9,3.8,128443,1,0
Karachi Cowboys,47.6146106,-122.3171338,"1517 12th Ave Suite 100, Seattle, WA 98122, United States",ChIJ-8IMS3drkFQRx4MRNJnzpq4,/biz/karachi-cowboys-seattle?osq=Restaurants,4.1,98122,0.123995341,25123,60.5,4408,10.6,358,0.9,5550,13.4,29,0.1,10766,76.1,6.6,87418,0,0
MariPili Tapas Bar,47.6120786,-122.3171112,"1117 12th Ave, Seattle, WA 98122, United States",ChIJXwgyn75rkFQRHWM_NXhQge8,/biz/maripili-tapas-bar-seattle-3?osq=Restaurants,3.8,98122,0.0085023216666666,25123,60.5,4408,10.6,358,0.9,5550,13.4,29,0.1,10766,76.1,6.6,87418,0,0
Soju Anju Bar,47.6158998,-122.3170593,"1621 12th Ave, Seattle, WA 98122, United States",ChIJERIl38RrkFQRRawlLSX1qBM,/biz/soju-anju-bar-seattle?osq=Restaurants,3.9,98122,0.166252366,25123,60.5,4408,10.6,358,0.9,5550,13.4,29,0.1,10766,76.1,6.6,87418,0,1
Momiji,47.6141,-122.31685,"1522 12th Ave  Seattle, WA 98122  Pine St & Pike St  Capitol Hill",-,/biz/momiji-seattle?osq=Restaurants,4.1,98122,0.152083527,25123,60.5,4408,10.6,358,0.9,5550,13.4,29,0.1,10766,76.1,6.6,87418,0,0
Blotto,47.6186004,-122.3167084,"1830 12th Ave, Seattle, WA 98122, United States",ChIJqdX4o4ZrkFQRItbpOWa2NQk,/biz/blotto-seattle?osq=Restaurants,4.7,98122,0.0267858713333333,25123,60.5,4408,10.6,358,0.9,5550,13.4,29,0.1,10766,76.1,6.6,87418,0,0
Violet,47.6173159,-122.3166259,"1734 12th Ave, Seattle, WA 98122, United States",ChIJmy8oI71rkFQRgQCROPXxbv0,/biz/violet-seattle-2?osq=Restaurants,4.4,98122,0.134636059333333,25123,60.5,4408,10.6,358,0.9,5550,13.4,29,0.1,10766,76.1,6.6,87418,0,0
Ba Bar,47.6069979,-122.3166003,"550 12th Ave, Seattle, WA 98122, United States",ChIJnWShMMZqkFQRNz0WW0Mea9E,/biz/ba-bar-seattle-8?osq=Restaurants,3.5,98109,0.0786662423333333,19021,64.8,1046,3.6,107,0.4,7081,24.1,33,0.1,10762,86.2,3.7,111059,1,0
Ma'ono Fried Chicken,47.6156608,-122.3165229,"1610 12th Ave, Seattle, WA 98122, United States",ChIJvwCQnM1qkFQRBvs3QNpR28M,/biz/maono-fried-chicken-seattle?osq=Restaurants,3.9,98105,0.0042453386666666,31201,63.1,1315,2.7,478,1,11387,23,80,0.2,7311,75.9,5.7,73343,1,1
Morfire,47.6179117,-122.3164736,"1806 12th Ave Suite 100, Seattle, WA 98122, United States",ChIJI4e8pNJqkFQRdbfBV6eYjQU,/biz/morfire-seattle?osq=Restaurants,4.4,98122,0.0513313926666667,25123,60.5,4408,10.6,358,0.9,5550,13.4,29,0.1,10766,76.1,6.6,87418,0,1
Ramen Danbo,47.6154096,-122.3162245,"1222 E Pine St, Seattle, WA 98122, United States",ChIJG6lbkM1qkFQRP8iOMgqQvvo,/biz/ramen-danbo-seattle-2?osq=Restaurants,4.3,98122,0.165515642333333,25123,60.5,4408,10.6,358,0.9,5550,13.4,29,0.1,10766,76.1,6.6,87418,0,0
Angkor Wok,47.661561,-122.3162103,"1100 NE 45th St, Seattle, WA 98105, United States",ChIJR5ZftsIVkFQRF-Q-B07rm40,/biz/angkor-wok-seattle?osq=Restaurants,5,98105,0.0300781733333333,31201,63.1,1315,2.7,478,1,11387,23,80,0.2,7311,75.9,5.7,73343,1,0
Mojito,47.6843985,-122.3160677,"7545 Lake City Way NE, Seattle, WA 98115, United States",ChIJi5Mg6GMUkFQRrk0pLKY_FLY,/biz/mojito-seattle?osq=Restaurants,4.4,98115,0.0042730113333333,41021,76.3,971,1.8,100,0.2,6840,12.7,85,0.2,9150,83.9,3.8,128443,1,1
Pho Bac S%C3%BAp Shop,47.5995007,-122.3153913,"1240 S Jackson St, Seattle, WA 98144, United States",ChIJH9RlmL9qkFQRGqqK2ThKJdg,/biz/pho-bac-s%C3%BAp-shop-seattle-6?osq=Restaurants,4,98144,0.0424028496666667,15339,48.5,4794,15.1,298,0.9,6521,20.6,214,0.7,5350,72,4,90239,0,0
The Boat,47.5993515,-122.314785,"1314 S Jackson St, Seattle, WA 98144, United States",ChIJBSlumL9qkFQR1gL5BrsVzGU,/biz/the-boat-seattle?osq=Restaurants,4.3,98144,0.276976736666667,15339,48.5,4794,15.1,298,0.9,6521,20.6,214,0.7,5350,72,4,90239,0,0
L'Oursin,47.6060804,-122.314614,"1315 E Jefferson St, Seattle, WA 98122, United States",ChIJ0ZaxXcZqkFQRwNsTFw102q4,/biz/l-oursin-seattle?osq=Restaurants,4.1,98122,0.101009786333333,25123,60.5,4408,10.6,358,0.9,5550,13.4,29,0.1,10766,76.1,6.6,87418,0,1
Cascina Spinasse,47.61508,-122.314478,"1531 14th Ave, Seattle, WA 98122, United States",ChIJy73n9s1qkFQRRslGmCZxvv8,/biz/cascina-spinasse-seattle?osq=Restaurants,4.4,98122,0.163784432,25123,60.5,4408,10.6,358,0.9,5550,13.4,29,0.1,10766,76.1,6.6,87418,0,1
Nue,47.6147255,-122.3144481,"1519 14th Ave, Seattle, WA 98122, United States",ChIJz91V-s1qkFQRTaAOUkM_jKo,/biz/nue-seattle?osq=Restaurants,4.2,98122,0.455466302666667,25123,60.5,4408,10.6,358,0.9,5550,13.4,29,0.1,10766,76.1,6.6,87418,0,1
Skillet Capitol Hill,47.613069,-122.313972,"1400 E Union St, Seattle, WA 98122, United States",ChIJpzOka85qkFQR2U4oqZ7q_Rg,/biz/skillet-capitol-hill-seattle-2?osq=Restaurants,3.9,98122,0.175648110666667,25123,60.5,4408,10.6,358,0.9,5550,13.4,29,0.1,10766,76.1,6.6,87418,0,0
Bugis,47.6595395,-122.3133301,"4241 University Way NE, Seattle, WA 98105, United States",ChIJE3ocBUcVkFQRHbSqK3ZiyDc,/biz/bugis-seattle-3?osq=Restaurants,4.3,98105,0.0552911536666667,31201,63.1,1315,2.7,478,1,11387,23,80,0.2,7311,75.9,5.7,73343,1,1
Master Bing,47.6623684,-122.3132785,"4537A University Way NE, Seattle, WA 98105, United States",ChIJg25gHqoVkFQR6h9A8jZWA2E,/biz/master-bing-seattle?osq=Restaurants,4.2,98105,0.154839049666667,31201,63.1,1315,2.7,478,1,11387,23,80,0.2,7311,75.9,5.7,73343,1,0
Money Frog,47.615194,-122.3130177,"1449 E Pine St, Seattle, WA 98122, United States",ChIJO8Da39UUkFQRMFXa3wSCkR0,/biz/money-frog-seattle-2?osq=Restaurants,4.8,98112,0.147393833333333,19445,79.7,765,3.1,131,0.5,2164,8.9,17,0.1,3976,86.9,6.4,133267,1,0
Kedai Makan,47.6151941,-122.3130161,"1449 E Pine St, Seattle, WA 98122, United States",ChIJ7_FjejMVkFQRt3sIrOcrwVU,/biz/kedai-makan-seattle-4?osq=Restaurants,4.3,98122,0.0247686666666667,25123,60.5,4408,10.6,358,0.9,5550,13.4,29,0.1,10766,76.1,6.6,87418,0,0
Musang Seattle,47.5803213,-122.3128684,"2524 Beacon Ave S, Seattle, WA 98144, United States",ChIJB_pIoJ5rkFQRm3JNLrcxLQg,/biz/musang-seattle-seattle-2?osq=Restaurants,4.5,98144,0.235058621333333,15339,48.5,4794,15.1,298,0.9,6521,20.6,214,0.7,5350,72,4,90239,0,0
Tanuki Izakaya,47.6682472,-122.3128652,"5266 University Way NE, Seattle, WA 98105, United States",ChIJ2wVsqZEVkFQRs6umuN8wZYc,/biz/tanuki-izakaya-seattle?osq=Restaurants,3.8,98105,0.139945423666667,31201,63.1,1315,2.7,478,1,11387,23,80,0.2,7311,75.9,5.7,73343,1,0
Kobuta And Ookami,47.6192619,-122.312858,"121 15th Ave E, Seattle, WA 98112, United States",ChIJ559YzkZrkFQR6wQBHqjKo94,/biz/kobuta-and-ookami-seattle-2?osq=Restaurants,4.2,98112,0.206844386333333,19445,79.7,765,3.1,131,0.5,2164,8.9,17,0.1,3976,86.9,6.4,133267,1,0
Bar Cotto,47.6150882,-122.3126065,"1546 15th Ave, Seattle, WA 98122, United States",ChIJgdL2AtJqkFQRm0Ile_zHgu4,/biz/bar-cotto-seattle?osq=Restaurants,4.5,98122,0.0936710126666667,25123,60.5,4408,10.6,358,0.9,5550,13.4,29,0.1,10766,76.1,6.6,87418,0,0
Smith,47.6215257,-122.3125332,"332 15th Ave E, Seattle, WA 98112, United States",ChIJ063LXysVkFQReHZcXG4sAP8,/biz/smith-seattle?osq=Restaurants,3.8,98112,0.0725498933333333,19445,79.7,765,3.1,131,0.5,2164,8.9,17,0.1,3976,86.9,6.4,133267,1,0
Homer,47.5766264,-122.310007,"3013 Beacon Ave S, Seattle, WA 98144, United States",ChIJv6pR2CNrkFQR_5STwtLx2mA,/biz/homer-seattle?osq=Restaurants,4.4,98144,0.160345793,15339,48.5,4794,15.1,298,0.9,6521,20.6,214,0.7,5350,72,4,90239,0,0
Taurus Ox,47.6271465,-122.3076314,"903 19th Ave E, Seattle, WA 98112, United States",ChIJfwLg_H9rkFQRb_tvz1CMlR4,/biz/taurus-ox-seattle?osq=Restaurants,4.6,98122,0.227292974666667,25123,60.5,4408,10.6,358,0.9,5550,13.4,29,0.1,10766,76.1,6.6,87418,0,0
Bounty Kitchen - Capitol Hill,47.6241841,-122.3071577,"550 19th Ave E, Seattle, WA 98112, United States",ChIJkUjNRmEVkFQRXMTHLjywGpg,/biz/bounty-kitchen-capitol-hill-seattle?osq=Restaurants,4.2,98112,0.05512345,19445,79.7,765,3.1,131,0.5,2164,8.9,17,0.1,3976,86.9,6.4,133267,1,0
JuneBaby,47.675966,-122.304181,"2122 NE 65th St, Seattle, WA 98115, United States",ChIJMbK_k3kUkFQRIWL4yy1N0Go,/biz/junebaby-seattle?osq=Restaurants,3.8,98115,0.136064669666667,41021,76.3,971,1.8,100,0.2,6840,12.7,85,0.2,9150,83.9,3.8,128443,1,0
UMINORI,47.6183712,-122.3039258,"2106 E Madison St, Seattle, WA 98112, United States",ChIJU9uXcfBrkFQRqRLz7kzFcOo,/biz/uminori-seattle?osq=Restaurants,4.3,98112,0.193652933666667,19445,79.7,765,3.1,131,0.5,2164,8.9,17,0.1,3976,86.9,6.4,133267,1,0
Buddha Bruddah,47.5835567,-122.302336,"2201 Rainier Ave S, Seattle, WA 98144, United States",ChIJtc6BvjcVkFQRZOXhGugeDNs,/biz/buddha-bruddah-seattle-2?osq=Restaurants,4.2,98144,0.025670929,15339,48.5,4794,15.1,298,0.9,6521,20.6,214,0.7,5350,72,4,90239,0,0
COMMUNION Restaurant and Bar,47.6130818,-122.3016427,"2350 E Union St, Seattle, WA 98122, United States",ChIJuTGWZA9rkFQRS8bDs0wnsXU,/biz/communion-restaurant-and-bar-seattle?osq=Restaurants,4.4,98122,0.249211011333333,25123,60.5,4408,10.6,358,0.9,5550,13.4,29,0.1,10766,76.1,6.6,87418,0,0
Simply Soulful,47.5989955,-122.3012374,"2321 S Jackson St, Seattle, WA 98144, United States",ChIJaaeqlSxrkFQRpe92w7Fbdug,/biz/simply-soulful-seattle?osq=Restaurants,4.3,98144,0.008509542,15339,48.5,4794,15.1,298,0.9,6521,20.6,214,0.7,5350,72,4,90239,0,0
Wood Shop BBQ,47.5991549,-122.2992363,"2513 S Jackson St, Seattle, WA 98144, United States",ChIJ70RbBOlqkFQRK3Mg8oWCLwI,/biz/wood-shop-bbq-seattle?osq=Restaurants,4.5,98144,0.101319026666667,15339,48.5,4794,15.1,298,0.9,6521,20.6,214,0.7,5350,72,4,90239,0,0
Reckless Noodle House,47.5991535,-122.2990836,"2519 S Jackson St, Seattle, WA 98144, United States",ChIJZRuWBOlqkFQRbvwNZLpZmAQ,/biz/reckless-noodle-house-seattle-2?osq=Restaurants,4.5,98144,0.183909208333333,15339,48.5,4794,15.1,298,0.9,6521,20.6,214,0.7,5350,72,4,90239,0,0
Eureka!,47.6619252,-122.2990801,"2614 NE 46th St, Seattle, WA 98105, United States",ChIJj4m2RY8UkFQRfbvu27xpFOQ,/biz/eureka-seattle-4?osq=Restaurants,3.9,98105,0.0084379113333333,31201,63.1,1315,2.7,478,1,11387,23,80,0.2,7311,75.9,5.7,73343,1,0
The Zouave Restaurant,47.6756831,-122.2987877,"2615 NE 65th St, Seattle, WA 98115, United States",ChIJoxc87HgUkFQR0XIL3iu1798,/biz/the-zouave-restaurant-seattle?osq=Restaurants,4.4,98115,0.0042189463333333,41021,76.3,971,1.8,100,0.2,6840,12.7,85,0.2,9150,83.9,3.8,128443,1,0
The Harvest Vine,47.6225848,-122.2973183,"2701 E Madison St, Seattle, WA 98112, United States",ChIJeSiRdCtrkFQRJ3TrP453MpE,/biz/the-harvest-vine-seattle?osq=Restaurants,4.3,98112,0.129234592666667,19445,79.7,765,3.1,131,0.5,2164,8.9,17,0.1,3976,86.9,6.4,133267,1,0
Azuki Handmade Japanese Udon Noodles,47.6227507,-122.2969042,"2711 E Madison St, Seattle, WA 98112, United States",ChIJIaD86eJrkFQR0uAPkcrWZrY,/biz/azuki-handmade-japanese-udon-noodles-seattle?osq=Restaurants,4.4,98112,0.143410346,19445,79.7,765,3.1,131,0.5,2164,8.9,17,0.1,3976,86.9,6.4,133267,1,0
Fat's Fried Chicken & Waffles,47.6081102,-122.2964476,"2726 E Cherry St, Seattle, WA 98122, United States",ChIJjb3CBNxqkFQRuCQYWYOagqs,/biz/fats-fried-chicken-and-waffles-seattle?osq=Restaurants,4.3,98122,0.101757164,25123,60.5,4408,10.6,358,0.9,5550,13.4,29,0.1,10766,76.1,6.6,87418,0,1
Kamp Social House,47.623739,-122.2962827,"2800 E Madison St, Seattle, WA 98112, United States",ChIJBWblobZrkFQRuL8x36Vy8vE,/biz/kamp-social-house-seattle?osq=Restaurants,4.7,98112,0.136018142666667,19445,79.7,765,3.1,131,0.5,2164,8.9,17,0.1,3976,86.9,6.4,133267,1,0
Cafe Flora,47.624027,-122.295116,"2901 E Madison St, Seattle, WA 98112, United States",ChIJC80ulCxrkFQRucfjtniqYcw,/biz/cafe-flora-seattle?osq=Restaurants,4,98112,0.142566061,19445,79.7,765,3.1,131,0.5,2164,8.9,17,0.1,3976,86.9,6.4,133267,1,0
Botteco Brazil,47.7354481,-122.2930148,"14561 Bothell Way NE, Shoreline, WA 98155, United States",ChIJg3Lq0coRkFQRgMtKxR3MY30,/biz/botteco-brazil-seattle-2?osq=Restaurants,4.8,98109,0.0084984413333333,19021,64.8,1046,3.6,107,0.4,7081,24.1,33,0.1,10762,86.2,3.7,111059,1,0
Vendemmia,47.6124713,-122.2891796,"1126 34th Ave, Seattle, WA 98122, United States",ChIJBfE1QCdrkFQRG2-YTdrJgY8,/biz/vendemmia-seattle?osq=Restaurants,4.3,98122,0.138354807333333,25123,60.5,4408,10.6,358,0.9,5550,13.4,29,0.1,10766,76.1,6.6,87418,0,0
Island Soul Rum Bar & Soul Shack,47.558118,-122.2855107,"4869 Rainier Ave S, Seattle, WA 98118, United States",ChIJI-FOJQxqkFQRbPmFYyYEUtk,/biz/island-soul-rum-bar-and-soul-shack-seattle?osq=Restaurants,4.1,98118,0.038371581,18254,37.3,9916,20.3,361,0.7,13087,26.7,351,0.7,5541,56.4,4.4,94790,1,0
Off Alley,47.5576561,-122.2851166,"1/2, 4903, Rainier Ave S, Seattle, WA 98118, United States",ChIJGSpTk6NpkFQRNM9-NClqtDg,/biz/off-alley-seattle?osq=Restaurants,3.9,98118,0.0126798643333333,18254,37.3,9916,20.3,361,0.7,13087,26.7,351,0.7,5541,56.4,4.4,94790,1,0
Meet the Moon,47.6021319,-122.2849017,"120 Lakeside Ave, Seattle, WA 98122, United States",ChIJbY-HZeFqkFQR74iqi0KSb5s,/biz/meet-the-moon-seattle?osq=Restaurants,3.9,98122,0.214284057333333,25123,60.5,4408,10.6,358,0.9,5550,13.4,29,0.1,10766,76.1,6.6,87418,0,0
Hanok,47.6339689,-122.2804238,"4021 E Madison St, Seattle, WA 98112, United States",ChIJnTpOibUUkFQR6i_7BmuY0P8,/biz/hanok-seattle-2?osq=Restaurants,4.6,98112,0.140458954333333,19445,79.7,765,3.1,131,0.5,2164,8.9,17,0.1,3976,86.9,6.4,133267,1,0
Archipelago,47.5517052,-122.2782465,"5607 Rainier Ave S, Seattle, WA 98118, United States",ChIJn8apbJ1rkFQRktUnPAol1Bg,/biz/archipelago-seattle-3?osq=Restaurants,4.8,98118,0.119336271333333,18254,37.3,9916,20.3,361,0.7,13087,26.7,351,0.7,5541,56.4,4.4,94790,1,0
Takai by Kashiba,47.6118892,-122.2012468,"180 Bellevue Way NE, Bellevue, WA 98004, United States",ChIJB8PPeYdskFQRKkBJfiZLuXE,/biz/takai-by-kashiba-bellevue?osq=Restaurants,4.5,98004,0.0042837413333333,20160,52.2,750,1.9,109,0.3,14417,37.3,144,0.4,7552,82.6,4.2,154403,0,0
Bigfoot Long's,47.4844166,-122.1985002,"1408 Bronson Way N, Renton, WA 98055, United States",ChIJYfnyGQFokFQRZp8RPhs2s-c,/biz/bigfoot-long-s-seattle?osq=Restaurants,5,98107,0.0213882476666667,20810,76.7,90,0.3,48,0.2,3534,13,0,0,7259,81,4.7,113531,1,0